type,age,BUP_NI,MET_NI,REL_NI,OD_NI,ABS_NI,BUP_INJ,MET_INJ,REL_INJ,OD_INJ,ABS_INJ,,,,,,,,,,,
pe,1,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,2,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,3,,,,,,,,,4259.79729,,,,,,,,OAT.P,ABS.P,AR1.P,REL.P,INC.P
pe,4,,,,,,,,,4259.79729,,,,,,,,828.9403612,458.5438948,3500.335075,3500.335075,4259.79729
pe,5,,,,,,,,,4259.79729,,,,,,,,686.9037592,399.1315447,3046.805685,3046.805685,4259.79729
pe,6,,,,,,,,,4259.79729,,,,,,,,566.833812,345.9409359,2640.770503,2640.770503,4259.79729
pe,7,,,,,,,,,4259.79729,,,,,,,,465.9003576,298.4960578,2278.595861,2278.595861,4259.79729
pe,8,,,,,,,,,4259.79729,,,,,,,,381.5097376,256.3549402,1956.90794,1956.90794,4259.79729
pe,9,,,,,,,,,4259.79729,,,,,,,,311.3123776,219.1014314,1672.53001,1672.53001,4259.79729
pe,10,,,,,,,,,4259.79729,,,,,,,,253.204061,186.3392,1422.436641,1422.436641,4259.79729
pe,11,,,,,,,,,4259.79729,,,,,,,,205.3216533,157.6872868,1203.719746,1203.719746,4259.79729
pe,12,,,,,,,,,4259.79729,,,,,,,,166.0327627,132.7771647,1013.566143,1013.566143,4259.79729
pe,13,,,,,,,,,4259.79729,,,,,,,,133.9215806,111.2520643,849.2523991,849.2523991,4259.79729
pe,14,,,,,,,,,4259.79729,,,,,,,,107.771507,92.76748943,708.1487743,708.1487743,4259.79729
pe,15,,,,,,,,,4259.79729,,,,,,,,86.54629154,76.99288609,587.7319549,587.7319549,4259.79729
pe,16,,,,,,,,,4259.79729,,Blocks,OAT.H,ABS.H,AR1.H,REL.H,INC.H,69.37023338,63.61410475,485.603853,485.603853,4259.79729
pe,17,,,,,,,,,4259.79729,,25,,,,,,,,,,
pe,18,,,,,,,,,4259.79729,,30,,,,,,,,,,
pe,19,,,,,,,,,4259.79729,,35,1330.607674,551.3274313,4208.606346,4208.606346,,,,,,
pe,20,,,,,,,,,4259.79729,,40,1146.74871,496.2704352,3788.323933,3788.323933,,,,,,
pe,21,,,,,,,,,4259.79729,,45,985.0040643,445.0945301,3397.668169,3397.668169,,,,,,
pe,22,,,,,,,,,4259.79729,,50,843.3837696,397.6992231,3035.871932,3035.871932,,,,,,
pe,23,,,,,,,,,4259.79729,,55,719.9457657,353.9823929,2702.155671,2702.155671,,,,,,
pe,24,,,,,,,,,4259.79729,,60,612.8228856,313.8344108,2395.682525,2395.682525,,,,,,
pe,25,,,,,,,1772.699072,5141.222696,4259.79729,673.5001731,65,520.2425634,277.1353605,2115.537103,2115.537103,,,,,,
pe,26,,,,,,,,,4259.79729,,70,440.5432085,243.752814,1860.708504,1860.708504,,,,,,
pe,27,,,,,,,,,4259.79729,,75,372.1848172,213.5405997,1630.080914,1630.080914,,,,,,
pe,28,,,,,,,,,4259.79729,,80,313.7550374,186.3390411,1422.435429,1422.435429,,,,,,
pe,29,,,,,,,,,4259.79729,,85,263.9718668,161.9763074,1236.460362,1236.460362,,,,,,
pe,30,,,,,,,1538.591238,4659.294658,4259.79729,610.3676001,,,,,,,,,,,
pe,31,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,32,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,33,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,34,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,35,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,36,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,37,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,38,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,39,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,40,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,41,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,42,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,43,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,44,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,45,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,46,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,47,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,48,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,49,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,50,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,51,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,52,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,53,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,54,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,55,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,56,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,57,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,58,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,59,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,60,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,61,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,62,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,63,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,64,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,65,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,66,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,67,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,68,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,69,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,70,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,71,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,72,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,73,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,74,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,75,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,76,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,77,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,78,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,79,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,80,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,81,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,82,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,83,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,84,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,85,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,86,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,87,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,88,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,89,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,90,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,91,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,92,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,93,,,,,,,,,4259.79729,,,,,,,,,,,,
pe,94,,,,,,,,,4259.79729,,,,,,,,,,,,
shape,1,,,,,,,,,,,,,,,,,,,,,
shape,2,,,,,,,,,,,,,,,,,,,,,
shape,3,,,,,,,,,,,,,,,,,,,,,
shape,4,,,,,,,,,,,,,,,,,,,,,
shape,5,,,,,,,,,,,,,,,,,,,,,
shape,6,,,,,,,,,,,,,,,,,,,,,
shape,7,,,,,,,,,,,,,,,,,,,,,
shape,8,,,,,,,,,,,,,,,,,,,,,
shape,9,,,,,,,,,,,,,,,,,,,,,
shape,10,,,,,,,,,,,,,,,,,,,,,
shape,11,,,,,,,,,,,,,,,,,,,,,
shape,12,,,,,,,,,,,,,,,,,,,,,
shape,13,,,,,,,,,,,,,,,,,,,,,
shape,14,,,,,,,,,,,,,,,,,,,,,
shape,15,,,,,,,,,,,,,,,,,,,,,
shape,16,,,,,,,,,,,,,,,,,,,,,
shape,17,,,,,,,,,,,,,,,,,,,,,
shape,18,,,,,,,,,,,,,,,,,,,,,
shape,19,,,,,,,,,,,,,,,,,,,,,
shape,20,,,,,,,,,,,,,,,,,,,,,
shape,21,,,,,,,,,,,,,,,,,,,,,
shape,22,,,,,,,,,,,,,,,,,,,,,
shape,23,,,,,,,,,,,,,,,,,,,,,
shape,24,,,,,,,,,,,,,,,,,,,,,
shape,25,,,,,,,,,,,,,,,,,,,,,
shape,26,,,,,,,,,,,,,,,,,,,,,
shape,27,,,,,,,,,,,,,,,,,,,,,
shape,28,,,,,,,,,,,,,,,,,,,,,
shape,29,,,,,,,,,,,,,,,,,,,,,
shape,30,,,,,,,,,,,,,,,,,,,,,
shape,31,,,,,,,,,,,,,,,,,,,,,
shape,32,,,,,,,,,,,,,,,,,,,,,
shape,33,,,,,,,,,,,,,,,,,,,,,
shape,34,,,,,,,,,,,,,,,,,,,,,
shape,35,,,,,,,,,,,,,,,,,,,,,
shape,36,,,,,,,,,,,,,,,,,,,,,
shape,37,,,,,,,,,,,,,,,,,,,,,
shape,38,,,,,,,,,,,,,,,,,,,,,
shape,39,,,,,,,,,,,,,,,,,,,,,
shape,40,,,,,,,,,,,,,,,,,,,,,
shape,41,,,,,,,,,,,,,,,,,,,,,
shape,42,,,,,,,,,,,,,,,,,,,,,
shape,43,,,,,,,,,,,,,,,,,,,,,
shape,44,,,,,,,,,,,,,,,,,,,,,
shape,45,,,,,,,,,,,,,,,,,,,,,
shape,46,,,,,,,,,,,,,,,,,,,,,
shape,47,,,,,,,,,,,,,,,,,,,,,
shape,48,,,,,,,,,,,,,,,,,,,,,
shape,49,,,,,,,,,,,,,,,,,,,,,
shape,50,,,,,,,,,,,,,,,,,,,,,
shape,51,,,,,,,,,,,,,,,,,,,,,
shape,52,,,,,,,,,,,,,,,,,,,,,
shape,53,,,,,,,,,,,,,,,,,,,,,
shape,54,,,,,,,,,,,,,,,,,,,,,
shape,55,,,,,,,,,,,,,,,,,,,,,
shape,56,,,,,,,,,,,,,,,,,,,,,
shape,57,,,,,,,,,,,,,,,,,,,,,
shape,58,,,,,,,,,,,,,,,,,,,,,
shape,59,,,,,,,,,,,,,,,,,,,,,
shape,60,,,,,,,,,,,,,,,,,,,,,
shape,61,,,,,,,,,,,,,,,,,,,,,
shape,62,,,,,,,,,,,,,,,,,,,,,
shape,63,,,,,,,,,,,,,,,,,,,,,
shape,64,,,,,,,,,,,,,,,,,,,,,
shape,65,,,,,,,,,,,,,,,,,,,,,
shape,66,,,,,,,,,,,,,,,,,,,,,
shape,67,,,,,,,,,,,,,,,,,,,,,
shape,68,,,,,,,,,,,,,,,,,,,,,
shape,69,,,,,,,,,,,,,,,,,,,,,
shape,70,,,,,,,,,,,,,,,,,,,,,
shape,71,,,,,,,,,,,,,,,,,,,,,
shape,72,,,,,,,,,,,,,,,,,,,,,
shape,73,,,,,,,,,,,,,,,,,,,,,
shape,74,,,,,,,,,,,,,,,,,,,,,
shape,75,,,,,,,,,,,,,,,,,,,,,
shape,76,,,,,,,,,,,,,,,,,,,,,
shape,77,,,,,,,,,,,,,,,,,,,,,
shape,78,,,,,,,,,,,,,,,,,,,,,
shape,79,,,,,,,,,,,,,,,,,,,,,
shape,80,,,,,,,,,,,,,,,,,,,,,
shape,81,,,,,,,,,,,,,,,,,,,,,
shape,82,,,,,,,,,,,,,,,,,,,,,
shape,83,,,,,,,,,,,,,,,,,,,,,
shape,84,,,,,,,,,,,,,,,,,,,,,
shape,85,,,,,,,,,,,,,,,,,,,,,
shape,86,,,,,,,,,,,,,,,,,,,,,
shape,87,,,,,,,,,,,,,,,,,,,,,
shape,88,,,,,,,,,,,,,,,,,,,,,
shape,89,,,,,,,,,,,,,,,,,,,,,
shape,90,,,,,,,,,,,,,,,,,,,,,
shape,91,,,,,,,,,,,,,,,,,,,,,
shape,92,,,,,,,,,,,,,,,,,,,,,
shape,93,,,,,,,,,,,,,,,,,,,,,
shape,94,,,,,,,,,,,,,,,,,,,,,
scale,1,,,,,,,,,,,,,,,,,,,,,
scale,2,,,,,,,,,,,,,,,,,,,,,
scale,3,,,,,,,,,,,,,,,,,,,,,
scale,4,,,,,,,,,,,,,,,,,,,,,
scale,5,,,,,,,,,,,,,,,,,,,,,
scale,6,,,,,,,,,,,,,,,,,,,,,
scale,7,,,,,,,,,,,,,,,,,,,,,
scale,8,,,,,,,,,,,,,,,,,,,,,
scale,9,,,,,,,,,,,,,,,,,,,,,
scale,10,,,,,,,,,,,,,,,,,,,,,
scale,11,,,,,,,,,,,,,,,,,,,,,
scale,12,,,,,,,,,,,,,,,,,,,,,
scale,13,,,,,,,,,,,,,,,,,,,,,
scale,14,,,,,,,,,,,,,,,,,,,,,
scale,15,,,,,,,,,,,,,,,,,,,,,
scale,16,,,,,,,,,,,,,,,,,,,,,
scale,17,,,,,,,,,,,,,,,,,,,,,
scale,18,,,,,,,,,,,,,,,,,,,,,
scale,19,,,,,,,,,,,,,,,,,,,,,
scale,20,,,,,,,,,,,,,,,,,,,,,
scale,21,,,,,,,,,,,,,,,,,,,,,
scale,22,,,,,,,,,,,,,,,,,,,,,
scale,23,,,,,,,,,,,,,,,,,,,,,
scale,24,,,,,,,,,,,,,,,,,,,,,
scale,25,,,,,,,,,,,,,,,,,,,,,
scale,26,,,,,,,,,,,,,,,,,,,,,
scale,27,,,,,,,,,,,,,,,,,,,,,
scale,28,,,,,,,,,,,,,,,,,,,,,
scale,29,,,,,,,,,,,,,,,,,,,,,
scale,30,,,,,,,,,,,,,,,,,,,,,
scale,31,,,,,,,,,,,,,,,,,,,,,
scale,32,,,,,,,,,,,,,,,,,,,,,
scale,33,,,,,,,,,,,,,,,,,,,,,
scale,34,,,,,,,,,,,,,,,,,,,,,
scale,35,,,,,,,,,,,,,,,,,,,,,
scale,36,,,,,,,,,,,,,,,,,,,,,
scale,37,,,,,,,,,,,,,,,,,,,,,
scale,38,,,,,,,,,,,,,,,,,,,,,
scale,39,,,,,,,,,,,,,,,,,,,,,
scale,40,,,,,,,,,,,,,,,,,,,,,
scale,41,,,,,,,,,,,,,,,,,,,,,
scale,42,,,,,,,,,,,,,,,,,,,,,
scale,43,,,,,,,,,,,,,,,,,,,,,
scale,44,,,,,,,,,,,,,,,,,,,,,
scale,45,,,,,,,,,,,,,,,,,,,,,
scale,46,,,,,,,,,,,,,,,,,,,,,
scale,47,,,,,,,,,,,,,,,,,,,,,
scale,48,,,,,,,,,,,,,,,,,,,,,
scale,49,,,,,,,,,,,,,,,,,,,,,
scale,50,,,,,,,,,,,,,,,,,,,,,
scale,51,,,,,,,,,,,,,,,,,,,,,
scale,52,,,,,,,,,,,,,,,,,,,,,
scale,53,,,,,,,,,,,,,,,,,,,,,
scale,54,,,,,,,,,,,,,,,,,,,,,
scale,55,,,,,,,,,,,,,,,,,,,,,
scale,56,,,,,,,,,,,,,,,,,,,,,
scale,57,,,,,,,,,,,,,,,,,,,,,
scale,58,,,,,,,,,,,,,,,,,,,,,
scale,59,,,,,,,,,,,,,,,,,,,,,
scale,60,,,,,,,,,,,,,,,,,,,,,
scale,61,,,,,,,,,,,,,,,,,,,,,
scale,62,,,,,,,,,,,,,,,,,,,,,
scale,63,,,,,,,,,,,,,,,,,,,,,
scale,64,,,,,,,,,,,,,,,,,,,,,
scale,65,,,,,,,,,,,,,,,,,,,,,
scale,66,,,,,,,,,,,,,,,,,,,,,
scale,67,,,,,,,,,,,,,,,,,,,,,
scale,68,,,,,,,,,,,,,,,,,,,,,
scale,69,,,,,,,,,,,,,,,,,,,,,
scale,70,,,,,,,,,,,,,,,,,,,,,
scale,71,,,,,,,,,,,,,,,,,,,,,
scale,72,,,,,,,,,,,,,,,,,,,,,
scale,73,,,,,,,,,,,,,,,,,,,,,
scale,74,,,,,,,,,,,,,,,,,,,,,
scale,75,,,,,,,,,,,,,,,,,,,,,
scale,76,,,,,,,,,,,,,,,,,,,,,
scale,77,,,,,,,,,,,,,,,,,,,,,
scale,78,,,,,,,,,,,,,,,,,,,,,
scale,79,,,,,,,,,,,,,,,,,,,,,
scale,80,,,,,,,,,,,,,,,,,,,,,
scale,81,,,,,,,,,,,,,,,,,,,,,
scale,82,,,,,,,,,,,,,,,,,,,,,
scale,83,,,,,,,,,,,,,,,,,,,,,
scale,84,,,,,,,,,,,,,,,,,,,,,
scale,85,,,,,,,,,,,,,,,,,,,,,
scale,86,,,,,,,,,,,,,,,,,,,,,
scale,87,,,,,,,,,,,,,,,,,,,,,
scale,88,,,,,,,,,,,,,,,,,,,,,
scale,89,,,,,,,,,,,,,,,,,,,,,
scale,90,,,,,,,,,,,,,,,,,,,,,
scale,91,,,,,,,,,,,,,,,,,,,,,
scale,92,,,,,,,,,,,,,,,,,,,,,
scale,93,,,,,,,,,,,,,,,,,,,,,
scale,94,,,,,,,,,,,,,,,,,,,,,
