,BUP_NI,BUPC_NI,MET_NI,METC_NI,REL_NI,ABS_NI,BUP_INJ,BUPC_INJ,MET_INJ,METC_INJ,REL_INJ,ABS_INJ
BUP_NI,0,0,0.023809524,0.023809524,0.673635308,0.278745645,0,0,0,0,0,0
BUPC_NI,0,0,0,0,0,0,0,0,0,0,0,0
MET_NI,0,0,0,0,0,0,0,0,0,0,0,0
METC_NI,0,0,0,0,0,0,0,0,0,0,0,0
REL_NI,0.30952381,0,0.035714286,0.5,0,0.154761905,0,0,0,0,0,0
ABS_NI,0.271777003,0,0,0.071428571,0.656794425,0,0,0,0,0,0,0
ODN_NI,0.116686701,0,0.01346385,0.188493901,0.623012197,0.05834335,0,0,0,0,0,0
BUP_INJ,0,0,0,0,0,0,0,0,0.023809524,0.023809524,0.673635308,0.278745645
BUPC_INJ,0,0,0,0,0,0,0,0,0,0,0,0
MET_INJ,0,0,0,0,0,0,0,0,0,0,0,0
METC_INJ,0,0,0,0,0,0,0,0,0,0,0,0
REL_INJ,0,0,0,0,0,0,0.30952381,0,0.035714286,0.5,0,0.154761905
ABS_INJ,0,0,0,0,0,0,0.271777003,0,0,0.071428571,0.656794425,0
ODN_INJ,0,0,0,0,0,0,0.116686701,0,0.01346385,0.188493901,0.623012197,0.05834335
