,BUP_NI,BUPC_NI,MET_NI,METC_NI,REL_NI,ABS_NI,BUP_INJ,BUPC_INJ,MET_INJ,METC_INJ,REL_INJ,ABS_INJ
BUP_NI,0,0.523809524,0.023809524,0.023809524,0.417715286,0.010856143,0,0,0,0,0,0
BUPC_NI,0.486486486,0,0,0.081081081,0.428068665,0.004363767,0,0,0,0,0,0
MET_NI,0.045454545,0,0,0.545454545,0.402828136,0.006262773,0,0,0,0,0,0
METC_NI,0,0.038461538,0.461538462,0,0.497470401,0.002529599,0,0,0,0,0,0
REL_NI,0.104846141,0.183480747,0.059306093,0.652367018,0,0,0,0,0,0,0,0
ABS_NI,0,0,0,0,1,0,0,0,0,0,0,0
ODN_NI,0.042059247,0.073603683,0.023790762,0.261698384,0.598847924,0,0,0,0,0,0,0
BUP_INJ,0,0,0,0,0,0,0,0.523809524,0.023809524,0.023809524,0.417715286,0.010856143
BUPC_INJ,0,0,0,0,0,0,0.486486486,0,0,0.081081081,0.428068665,0.004363767
MET_INJ,0,0,0,0,0,0,0.045454545,0,0,0.545454545,0.402828136,0.006262773
METC_INJ,0,0,0,0,0,0,0,0.038461538,0.461538462,0,0.497470401,0.002529599
REL_INJ,0,0,0,0,0,0,0.104846141,0.183480747,0.059306093,0.652367018,0,0
ABS_INJ,0,0,0,0,0,0,0,0,0,0,1,0
ODN_INJ,0,0,0,0,0,0,0.042059247,0.073603683,0.023790762,0.261698384,0.598847924,0
