,p_weibull_shape_BUP,p_weibull_scale_BUP
1,0.591423892,0.500390268
10,0.591423892,0.475755695
20,0.591423892,0.451892296
30,0.591423892,0.430998539
40,0.591423892,0.412516199
50,0.591423892,0.396022664
60,0.591423892,0.381191479
70,0.591423892,0.367766038
80,0.591423892,0.355541549
90,0.591423892,0.344352372
100,0.591423892,0.334062931
110,0.591423892,0.324561072
120,0.591423892,0.31575313
130,0.591423892,0.307560199
140,0.591423892,0.299915289
150,0.591423892,0.292761113
160,0.591423892,0.286048362
170,0.591423892,0.279734339
171,0.591423892,0.279123393
172,0.591423892,0.278516023
173,0.591423892,0.277912197
174,0.591423892,0.277311881
175,0.591423892,0.276715041
176,0.591423892,0.276121646
177,0.591423892,0.275531662
178,0.591423892,0.274945057
179,0.591423892,0.274361802
180,0.591423892,0.273781863
181,0.591423892,0.273205212
182,0.591423892,0.272631817
183,0.591423892,0.272061649
184,0.591423892,0.271494678
185,0.591423892,0.270930876
186,0.591423892,0.270370213
187,0.591423892,0.269812661
188,0.591423892,0.269258192
189,0.591423892,0.268706779
190,0.591423892,0.268158393
191,0.591423892,0.267613009
192,0.591423892,0.267070599
193,0.591423892,0.266531138
194,0.591423892,0.265994598
195,0.591423892,0.265460955
196,0.591423892,0.264930184
197,0.591423892,0.264402258
198,0.591423892,0.263877153
199,0.591423892,0.263354845
200,0.591423892,0.26283531
201,0.591423892,0.262318523
202,0.591423892,0.261804462
203,0.591423892,0.261293102
204,0.591423892,0.260784421
205,0.591423892,0.260278396
206,0.591423892,0.259775005
207,0.591423892,0.259274225
208,0.591423892,0.258776034
209,0.591423892,0.25828041
210,0.591423892,0.257787333
211,0.591423892,0.25729678
212,0.591423892,0.256808731
213,0.591423892,0.256323165
214,0.591423892,0.255840062
215,0.591423892,0.255359401
