,p_weibull_shape_BUP,p_weibull_scale_BUP,p_fent_exp_2020
1,0.591423892,0.503343678,0.850116369
1.25,0.591423892,0.441112862,0.850116369
1.5,0.591423892,0.396022664,0.850116369
1.75,0.591423892,0.361514824,0.850116369
2,0.591423892,0.334062931,0.850116369
2.25,0.591423892,0.311584226,0.850116369
2.5,0.591423892,0.292761113,0.850116369
2.75,0.591423892,0.276715041,0.850116369
3,0.591423892,0.26283531,0.850116369
3.25,0.591423892,0.250682818,0.850116369
3.5,0.591423892,0.239932886,0.850116369
3.75,0.591423892,0.230339708,0.850116369
4,0.591423892,0.221713407,0.850116369
4.25,0.591423892,0.213904732,0.850116369
4.5,0.591423892,0.20679457,0.850116369
