,p_weibull_shape_BUP,p_weibull_scale_BUP,p_fent_exp_2020
1,0.591423892,0.500390268,0.701996245
25,0.591423892,0.441112862,0.701996245
50,0.591423892,0.396022664,0.701996245
75,0.591423892,0.361514824,0.701996245
100,0.591423892,0.334062931,0.701996245
125,0.591423892,0.311584226,0.701996245
150,0.591423892,0.292761113,0.701996245
151,0.591423892,0.292070726,0.701996245
152,0.591423892,0.291384703,0.701996245
153,0.591423892,0.290702998,0.701996245
154,0.591423892,0.290025568,0.701996245
155,0.591423892,0.289352369,0.701996245
156,0.591423892,0.288683359,0.701996245
157,0.591423892,0.288018494,0.701996245
158,0.591423892,0.287357734,0.701996245
159,0.591423892,0.286701037,0.701996245
160,0.591423892,0.286048362,0.701996245
161,0.591423892,0.285399671,0.701996245
162,0.591423892,0.284754923,0.701996245
163,0.591423892,0.284114079,0.701996245
164,0.591423892,0.283477101,0.701996245
165,0.591423892,0.282843952,0.701996245
166,0.591423892,0.282214593,0.701996245
167,0.591423892,0.281588989,0.701996245
168,0.591423892,0.280967102,0.701996245
169,0.591423892,0.280348897,0.701996245
170,0.591423892,0.279734339,0.701996245
171,0.591423892,0.279123393,0.701996245
172,0.591423892,0.278516023,0.701996245
173,0.591423892,0.277912197,0.701996245
174,0.591423892,0.277311881,0.701996245
175,0.591423892,0.276715041,0.701996245
176,0.591423892,0.276121646,0.701996245
177,0.591423892,0.275531662,0.701996245
178,0.591423892,0.274945057,0.701996245
179,0.591423892,0.274361802,0.701996245
180,0.591423892,0.273781863,0.701996245
181,0.591423892,0.273205212,0.701996245
182,0.591423892,0.272631817,0.701996245
183,0.591423892,0.272061649,0.701996245
184,0.591423892,0.271494678,0.701996245
185,0.591423892,0.270930876,0.701996245
186,0.591423892,0.270370213,0.701996245
187,0.591423892,0.269812661,0.701996245
188,0.591423892,0.269258192,0.701996245
189,0.591423892,0.268706779,0.701996245
190,0.591423892,0.268158393,0.701996245
191,0.591423892,0.267613009,0.701996245
192,0.591423892,0.267070599,0.701996245
193,0.591423892,0.266531138,0.701996245
194,0.591423892,0.265994598,0.701996245
195,0.591423892,0.265460955,0.701996245
196,0.591423892,0.264930184,0.701996245
197,0.591423892,0.264402258,0.701996245
198,0.591423892,0.263877153,0.701996245
199,0.591423892,0.263354845,0.701996245
200,0.591423892,0.26283531,0.701996245
