,p_weibull_shape_BUP,p_weibull_scale_BUP
pe_bnx_threshold_1,1.254730831,0.57035322
pe_bnx_threshold_2,1.254730831,0.563345926
pe_bnx_threshold_3,1.254730831,0.556491836
pe_bnx_threshold_4,1.254730831,0.54978616
pe_bnx_threshold_5,1.254730831,0.543224304
pe_bnx_threshold_6,1.254730831,0.536801857
pe_bnx_threshold_7,1.254730831,0.530514583
pe_bnx_threshold_8,1.254730831,0.524358415
pe_bnx_threshold_9,1.254730831,0.518329441
pe_bnx_threshold_10,1.254730831,0.512423903
pe_bnx_threshold_11,1.254730831,0.506638186
pe_bnx_threshold_12,1.254730831,0.50096881
pe_bnx_threshold_13,1.254730831,0.49541243
pe_bnx_threshold_14,1.254730831,0.489965823
pe_bnx_threshold_15,1.254730831,0.484625885
pe_bnx_threshold_16,1.254730831,0.479389627
pe_bnx_threshold_17,1.254730831,0.474254167
pe_bnx_threshold_18,1.254730831,0.469216729
pe_bnx_threshold_19,1.254730831,0.464274635
pe_bnx_threshold_20,1.254730831,0.4594253
pe_bnx_threshold_21,1.254730831,0.454666234
pe_bnx_threshold_22,1.254730831,0.449995029
pe_bnx_threshold_23,1.254730831,0.445409364
pe_bnx_threshold_24,1.254730831,0.440906996
pe_bnx_threshold_25,1.254730831,0.436485758
pe_bnx_threshold_26,1.254730831,0.432143556
pe_bnx_threshold_27,1.254730831,0.427878367
pe_bnx_threshold_28,1.254730831,0.423688235
pe_bnx_threshold_29,1.254730831,0.419571267
pe_bnx_threshold_30,1.254730831,0.415525635
pe_bnx_threshold_31,1.254730831,0.411549566
pe_bnx_threshold_32,1.254730831,0.407641349
pe_bnx_threshold_33,1.254730831,0.403799323
pe_bnx_threshold_34,1.254730831,0.400021883
pe_bnx_threshold_35,1.254730831,0.396307472
pe_bnx_threshold_36,1.254730831,0.392654585
pe_bnx_threshold_37,1.254730831,0.389061761
pe_bnx_threshold_38,1.254730831,0.385527584
pe_bnx_threshold_39,1.254730831,0.382050682
pe_bnx_threshold_40,1.254730831,0.378629726
pe_bnx_threshold_41,1.254730831,0.375263424
pe_bnx_threshold_42,1.254730831,0.371950526
pe_bnx_threshold_43,1.254730831,0.368689817
pe_bnx_threshold_44,1.254730831,0.365480119
pe_bnx_threshold_45,1.254730831,0.362320286
pe_bnx_threshold_46,1.254730831,0.35920921
pe_bnx_threshold_47,1.254730831,0.356145811
pe_bnx_threshold_48,1.254730831,0.353129041
pe_bnx_threshold_49,1.254730831,0.350157883
pe_bnx_threshold_50,1.254730831,0.347231348
pe_bnx_threshold_51,1.254730831,0.344348476
pe_bnx_threshold_52,1.254730831,0.341508331
pe_bnx_threshold_53,1.254730831,0.338710006
pe_bnx_threshold_54,1.254730831,0.335952617
pe_bnx_threshold_55,1.254730831,0.333235306
pe_bnx_threshold_56,1.254730831,0.330557238
pe_bnx_threshold_57,1.254730831,0.327917599
pe_bnx_threshold_58,1.254730831,0.325315598
pe_bnx_threshold_59,1.254730831,0.322750466
pe_bnx_threshold_60,1.254730831,0.320221452
pe_bnx_threshold_61,1.254730831,0.317727829
pe_bnx_threshold_62,1.254730831,0.315268885
pe_bnx_threshold_63,1.254730831,0.312843927
pe_bnx_threshold_64,1.254730831,0.310452283
pe_bnx_threshold_65,1.254730831,0.308093296
pe_bnx_threshold_66,1.254730831,0.305766326
pe_bnx_threshold_67,1.254730831,0.303470748
pe_bnx_threshold_68,1.254730831,0.301205957
pe_bnx_threshold_69,1.254730831,0.298971358
pe_bnx_threshold_70,1.254730831,0.296766375
pe_bnx_threshold_71,1.254730831,0.294590444
pe_bnx_threshold_72,1.254730831,0.292443016
pe_bnx_threshold_73,1.254730831,0.290323555
pe_bnx_threshold_74,1.254730831,0.288231539
pe_bnx_threshold_75,1.254730831,0.286166456
pe_bnx_threshold_76,1.254730831,0.284127811
pe_bnx_threshold_77,1.254730831,0.282115116
pe_bnx_threshold_78,1.254730831,0.280127897
pe_bnx_threshold_79,1.254730831,0.278165692
pe_bnx_threshold_80,1.254730831,0.276228049
pe_bnx_threshold_81,1.254730831,0.274314526
pe_bnx_threshold_82,1.254730831,0.272424693
pe_bnx_threshold_83,1.254730831,0.270558128
pe_bnx_threshold_84,1.254730831,0.268714419
pe_bnx_threshold_85,1.254730831,0.266893166
pe_bnx_threshold_86,1.254730831,0.265093975
pe_bnx_threshold_87,1.254730831,0.263316464
pe_bnx_threshold_88,1.254730831,0.261560255
pe_bnx_threshold_89,1.254730831,0.259824984
pe_bnx_threshold_90,1.254730831,0.258110291
pe_bnx_threshold_91,1.254730831,0.256415827
pe_bnx_threshold_92,1.254730831,0.254741248
pe_bnx_threshold_93,1.254730831,0.25308622
pe_bnx_threshold_94,1.254730831,0.251450414
pe_bnx_threshold_95,1.254730831,0.24983351
pe_bnx_threshold_96,1.254730831,0.248235194
pe_bnx_threshold_97,1.254730831,0.24665516
pe_bnx_threshold_98,1.254730831,0.245093107
pe_bnx_threshold_99,1.254730831,0.243548741
pe_bnx_threshold_100,1.254730831,0.242021775
