,BUP_NI,BUPC_NI,MET_NI,METC_NI,REL_NI,ABS_NI,BUP_INJ,BUPC_INJ,MET_INJ,METC_INJ,REL_INJ,ABS_INJ
BUP_NI,0,0.511627907,0.023255814,0.023255814,0.430993349,0.010867116,0,0,0,0,0,0
BUPC_NI,0.461538462,0,0,0.102564103,0.425176974,0.010720462,0,0,0,0,0,0
MET_NI,0.04,0,0,0.52,0.43261504,0.00738496,0,0,0,0,0,0
METC_NI,0,0.029411765,0.411764706,0,0.549444235,0.009379294,0,0,0,0,0,0
REL_NI,0.1,0.225,0.05,0.625,0,0,0,0,0,0,0,0
ABS_NI,0.217391304,0.043478261,0.130434783,0.086956522,0.52173913,0,0,0,0,0,0,0
ODN_NI,0.040115208,0.090259217,0.020057604,0.250720048,0.598847924,0,0,0,0,0,0,0
BUP_INJ,0,0,0,0,0,0,0,0.511627907,0.023255814,0.023255814,0.430993349,0.010867116
BUPC_INJ,0,0,0,0,0,0,0.461538462,0,0,0.102564103,0.425176974,0.010720462
MET_INJ,0,0,0,0,0,0,0.04,0,0,0.52,0.43261504,0.00738496
METC_INJ,0,0,0,0,0,0,0,0.029411765,0.411764706,0,0.549444235,0.009379294
REL_INJ,0,0,0,0,0,0,0.1,0.225,0.05,0.625,0,0
ABS_INJ,0,0,0,0,0,0,0.217391304,0.043478261,0.130434783,0.086956522,0.52173913,0
ODN_INJ,0,0,0,0,0,0,0.040115208,0.090259217,0.020057604,0.250720048,0.598847924,0
