,BUP_NI,BUPC_NI,MET_NI,METC_NI,REL_NI,ABS_NI,BUP_INJ,BUPC_INJ,MET_INJ,METC_INJ,REL_INJ,ABS_INJ
BUP_NI,0,0,0,0,0.975406,0.024594,0,0,0,0,0,0
BUPC_NI,0,0,0,0,0,0,0,0,0,0,0,0
MET_NI,0,0,0,0,0.983216,0.016784,0,0,0,0,0,0
METC_NI,0,0,0,0,0,0,0,0,0,0,0,0
REL_NI,0.292429633,0,0.707570367,0,0,0,0,0,0,0,0,0
ABS_NI,0,0,0,0,1,0,0,0,0,0,0,0
ODN_NI,0.26318667,0,0.63681333,0,0.1,0,0,0,0,0,0,0
BUP_INJ,0,0,0,0,0,0,0,0,0,0,0.975406,0.024594
BUPC_INJ,0,0,0,0,0,0,0,0,0,0,0,0
MET_INJ,0,0,0,0,0,0,0,0,0,0,0.983216,0.016784
METC_INJ,0,0,0,0,0,0,0,0,0,0,0,0
REL_INJ,0,0,0,0,0,0,0.292429633,0,0.707570367,0,0,0
ABS_INJ,0,0,0,0,0,0,0,0,0,0,1,0
ODN_INJ,0,0,0,0,0,0,0.26318667,0,0.63681333,0,0.1,0
