,BUP_NI,BUPC_NI,MET_NI,METC_NI,REL_NI,ABS_NI,BUP_INJ,BUPC_INJ,MET_INJ,METC_INJ,REL_INJ,ABS_INJ
BUP_NI,0,0,0.023809524,0.023809524,0.94152481,0.010856143,0,0,0,0,0,0
BUPC_NI,0,0,0,0,0,0,0,0,0,0,0,0
MET_NI,0,0,0,0,0,0,0,0,0,0,0,0
METC_NI,0,0,0,0,0,0,0,0,0,0,0,0
REL_NI,0.128406209,0,0.072632816,0.798960975,0,0,0,0,0,0,0,0
ABS_NI,0,0,0,0,1,0,0,0,0,0,0,0
ODN_NI,0.042059247,0,0.023790762,0.261698384,0.672451606,0,0,0,0,0,0,0
BUP_INJ,0,0,0,0,0,0,0,0,0.023809524,0.023809524,0.94152481,0.010856143
BUPC_INJ,0,0,0,0,0,0,0,0,0,0,0,0
MET_INJ,0,0,0,0,0,0,0,0,0,0,0,0
METC_INJ,0,0,0,0,0,0,0,0,0,0,0,0
REL_INJ,0,0,0,0,0,0,0.128406209,0,0.072632816,0.798960975,0,0
ABS_INJ,0,0,0,0,0,0,0,0,0,0,1,0
ODN_INJ,0,0,0,0,0,0,0.042059247,0,0.023790762,0.261698384,0.672451606,0
