type,age,BUP_NI,MET_NI,REL_NI,OD_NI,ABS_NI,BUP_INJ,MET_INJ,REL_INJ,OD_INJ,ABS_INJ
pe,25,500,500,1000,1000,200,1000,1000,2000,2000,500
pe,26,500,500,1000,1000,200,1000,1000,2000,2000,500
pe,27,500,500,1000,1000,200,1000,1000,2000,2000,500
pe,28,500,500,1000,1000,200,1000,1000,2000,2000,500
pe,29,500,500,1000,1000,200,1000,1000,2000,2000,500
pe,30,475,475,950,950,190,950,950,1900,1900,475
pe,31,475,475,950,950,190,950,950,1900,1900,475
pe,32,475,475,950,950,190,950,950,1900,1900,475
pe,33,475,475,950,950,190,950,950,1900,1900,475
pe,34,475,475,950,950,190,950,950,1900,1900,475
pe,35,450,450,900,900,180,900,900,1800,1800,450
pe,36,450,450,900,900,180,900,900,1800,1800,450
pe,37,450,450,900,900,180,900,900,1800,1800,450
pe,38,450,450,900,900,180,900,900,1800,1800,450
pe,39,450,450,900,900,180,900,900,1800,1800,450
pe,40,425,425,850,850,170,850,850,1700,1700,425
pe,41,425,425,850,850,170,850,850,1700,1700,425
pe,42,425,425,850,850,170,850,850,1700,1700,425
pe,43,425,425,850,850,170,850,850,1700,1700,425
pe,44,425,425,850,850,170,850,850,1700,1700,425
pe,45,400,400,800,800,160,800,800,1600,1600,400
pe,46,400,400,800,800,160,800,800,1600,1600,400
pe,47,400,400,800,800,160,800,800,1600,1600,400
pe,48,400,400,800,800,160,800,800,1600,1600,400
pe,49,400,400,800,800,160,800,800,1600,1600,400
pe,50,375,375,750,750,150,750,750,1500,1500,375
pe,51,375,375,750,750,150,750,750,1500,1500,375
pe,52,375,375,750,750,150,750,750,1500,1500,375
pe,53,375,375,750,750,150,750,750,1500,1500,375
pe,54,375,375,750,750,150,750,750,1500,1500,375
pe,55,350,350,700,700,140,700,700,1400,1400,350
pe,56,350,350,700,700,140,700,700,1400,1400,350
pe,57,350,350,700,700,140,700,700,1400,1400,350
pe,58,350,350,700,700,140,700,700,1400,1400,350
pe,59,350,350,700,700,140,700,700,1400,1400,350
pe,60,325,325,650,650,130,650,650,1300,1300,325
pe,61,325,325,650,650,130,650,650,1300,1300,325
pe,62,325,325,650,650,130,650,650,1300,1300,325
pe,63,325,325,650,650,130,650,650,1300,1300,325
pe,64,325,325,650,650,130,650,650,1300,1300,325
pe,65,300,300,600,600,120,600,600,1200,1200,300
pe,66,300,300,600,600,120,600,600,1200,1200,300
pe,67,300,300,600,600,120,600,600,1200,1200,300
pe,68,300,300,600,600,120,600,600,1200,1200,300
pe,69,300,300,600,600,120,600,600,1200,1200,300
pe,70,275,275,550,550,110,550,550,1100,1100,275
pe,71,275,275,550,550,110,550,550,1100,1100,275
pe,72,275,275,550,550,110,550,550,1100,1100,275
pe,73,275,275,550,550,110,550,550,1100,1100,275
pe,74,275,275,550,550,110,550,550,1100,1100,275
pe,75,250,250,500,500,100,500,500,1000,1000,250
pe,76,250,250,500,500,100,500,500,1000,1000,250
pe,77,250,250,500,500,100,500,500,1000,1000,250
pe,78,250,250,500,500,100,500,500,1000,1000,250
pe,79,250,250,500,500,100,500,500,1000,1000,250
pe,80,225,225,450,450,90,450,450,900,900,225
pe,81,225,225,450,450,90,450,450,900,900,225
pe,82,225,225,450,450,90,450,450,900,900,225
pe,83,225,225,450,450,90,450,450,900,900,225
pe,84,225,225,450,450,90,450,450,900,900,225
pe,85,200,200,400,400,80,400,400,800,800,200
pe,86,200,200,400,400,80,400,400,800,800,200
pe,87,200,200,400,400,80,400,400,800,800,200
pe,88,200,200,400,400,80,400,400,800,800,200
pe,89,200,200,400,400,80,400,400,800,800,200
pe,90,175,175,350,350,70,350,350,700,700,175
pe,91,175,175,350,350,70,350,350,700,700,175
pe,92,175,175,350,350,70,350,350,700,700,175
pe,93,175,175,350,350,70,350,350,700,700,175
pe,94,175,175,350,350,70,350,350,700,700,175
shape,,,,,,,,,,,
shape,,,,,,,,,,,
shape,,,,,,,,,,,
shape,,,,,,,,,,,
shape,,,,,,,,,,,
shape,,,,,,,,,,,
shape,,,,,,,,,,,
shape,,,,,,,,,,,
shape,,,,,,,,,,,
shape,,,,,,,,,,,
shape,,,,,,,,,,,
shape,,,,,,,,,,,
shape,,,,,,,,,,,
shape,,,,,,,,,,,
scale,,,,,,,,,,,
scale,,,,,,,,,,,
scale,,,,,,,,,,,
scale,,,,,,,,,,,
scale,,,,,,,,,,,
scale,,,,,,,,,,,
scale,,,,,,,,,,,
scale,,,,,,,,,,,
scale,,,,,,,,,,,
scale,,,,,,,,,,,
scale,,,,,,,,,,,
scale,,,,,,,,,,,
scale,,,,,,,,,,,
scale,,,,,,,,,,,
