"","BUP_NI","BUPC_NI","MET_NI","METC_NI","REL_NI","ABS_NI","BUP_INJ","BUPC_INJ","MET_INJ","METC_INJ","REL_INJ","ABS_INJ"
"BUP_NI",0,142.476190528,6.476190528,6.476190528,113.618557792,2.952870896,0,0,0,0,0,0
"BUPC_NI",132.324324192,0,0,22.054054032,116.43467688,1.186944624,0,0,0,0,0,0
"MET_NI",12.36363624,0,0,148.36363624,109.569252992,1.703474256,0,0,0,0,0,0
"METC_NI",0,10.461538336,125.538461664,0,135.311949072,0.688050928,0,0,0,0,0,0
"REL_NI",28.518150352,49.906763184,16.131257296,177.443828896,0,0,0,0,0,0,0,0
"ABS_NI",0,0,0,0,272,0,0,0,0,0,0,0
"ODN_NI",11.440115184,20.020201776,6.471087264,71.181960448,162.886635328,0,0,0,0,0,0,0
"BUP_INJ",0,0,0,0,0,0,0,142.476190528,6.476190528,6.476190528,113.618557792,2.952870896
"BUPC_INJ",0,0,0,0,0,0,132.324324192,0,0,22.054054032,116.43467688,1.186944624
"MET_INJ",0,0,0,0,0,0,12.36363624,0,0,148.36363624,109.569252992,1.703474256
"METC_INJ",0,0,0,0,0,0,0,10.461538336,125.538461664,0,135.311949072,0.688050928
"REL_INJ",0,0,0,0,0,0,28.518150352,49.906763184,16.131257296,177.443828896,0,0
"ABS_INJ",0,0,0,0,0,0,0,0,0,0,272,0
"ODN_INJ",0,0,0,0,0,0,11.440115184,20.020201776,6.471087264,71.181960448,162.886635328,0
