"","BUP_NI","BUPC_NI","MET_NI","METC_NI","REL_NI","ABS_NI","BUP_INJ","BUPC_INJ","MET_INJ","METC_INJ","REL_INJ","ABS_INJ"
"BUP_NI",0,0.25,0.125,0.125,0.25,0.25,0,0,0,0,0,0
"BUPC_NI",0.25,0,0.125,0.125,0.25,0.25,0,0,0,0,0,0
"MET_NI",0.125,0.125,0,0.25,0.25,0.25,0,0,0,0,0,0
"METC_NI",0.125,0.125,0.25,0,0.25,0.25,0,0,0,0,0,0
"REL_NI",0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0
"ABS_NI",0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0
"ODN_NI",0.1,0.1,0.1,0.1,0.5,0.1,0,0,0,0,0,0
"BUP_INJ",0,0,0,0,0,0,0,0.25,0.125,0.125,0.25,0.25
"BUPC_INJ",0,0,0,0,0,0,0.25,0,0.125,0.125,0.25,0.25
"MET_INJ",0,0,0,0,0,0,0.125,0.125,0,0.25,0.25,0.25
"METC_INJ",0,0,0,0,0,0,0.125,0.125,0.25,0,0.25,0.25
"REL_INJ",0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.2
"ABS_INJ",0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0
"ODN_INJ",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.5,0.1
