"","BUP_NI","BUPC_NI","MET_NI","METC_NI","REL_NI","ABS_NI","BUP_INJ","BUPC_INJ","MET_INJ","METC_INJ","REL_INJ","ABS_INJ"
"BUP_NI",0,62.5,31.25,31.25,62.5,62.5,0,0,0,0,0,0
"BUPC_NI",62.5,0,31.25,31.25,62.5,62.5,0,0,0,0,0,0
"MET_NI",31.25,31.25,0,62.5,62.5,62.5,0,0,0,0,0,0
"METC_NI",31.25,31.25,62.5,0,62.5,62.5,0,0,0,0,0,0
"REL_NI",50,50,50,50,0,50,0,0,0,0,0,0
"ABS_NI",50,50,50,50,50,0,0,0,0,0,0,0
"ODN_NI",25,25,25,25,125,25,0,0,0,0,0,0
"BUP_INJ",0,0,0,0,0,0,0,62.5,31.25,31.25,62.5,62.5
"BUPC_INJ",0,0,0,0,0,0,62.5,0,31.25,31.25,62.5,62.5
"MET_INJ",0,0,0,0,0,0,31.25,31.25,0,62.5,62.5,62.5
"METC_INJ",0,0,0,0,0,0,31.25,31.25,62.5,0,62.5,62.5
"REL_INJ",0,0,0,0,0,0,50,50,50,50,0,50
"ABS_INJ",0,0,0,0,0,0,50,50,50,50,50,0
"ODN_INJ",0,0,0,0,0,0,25,25,25,25,125,25
