"","MET_NI_1_NEG","METC_NI_1_NEG","BUP_NI_1_NEG","BUPC_NI_1_NEG","ABS_NI_1_NEG","REL_NI_1_NEG","ODN_NI_1_NEG","ODF_NI_1_NEG","MET_INJ_1_NEG","METC_INJ_1_NEG","BUP_INJ_1_NEG","BUPC_INJ_1_NEG","ABS_INJ_1_NEG","REL_INJ_1_NEG","ODN_INJ_1_NEG","ODF_INJ_1_NEG","MET_NI_2_NEG","METC_NI_2_NEG","BUP_NI_2_NEG","BUPC_NI_2_NEG","ABS_NI_2_NEG","REL_NI_2_NEG","ODN_NI_2_NEG","ODF_NI_2_NEG","MET_INJ_2_NEG","METC_INJ_2_NEG","BUP_INJ_2_NEG","BUPC_INJ_2_NEG","ABS_INJ_2_NEG","REL_INJ_2_NEG","ODN_INJ_2_NEG","ODF_INJ_2_NEG","MET_NI_3_NEG","METC_NI_3_NEG","BUP_NI_3_NEG","BUPC_NI_3_NEG","ABS_NI_3_NEG","REL_NI_3_NEG","ODN_NI_3_NEG","ODF_NI_3_NEG","MET_INJ_3_NEG","METC_INJ_3_NEG","BUP_INJ_3_NEG","BUPC_INJ_3_NEG","ABS_INJ_3_NEG","REL_INJ_3_NEG","ODN_INJ_3_NEG","ODF_INJ_3_NEG","MET_NI_1_HIV","METC_NI_1_HIV","BUP_NI_1_HIV","BUPC_NI_1_HIV","ABS_NI_1_HIV","REL_NI_1_HIV","ODN_NI_1_HIV","ODF_NI_1_HIV","MET_INJ_1_HIV","METC_INJ_1_HIV","BUP_INJ_1_HIV","BUPC_INJ_1_HIV","ABS_INJ_1_HIV","REL_INJ_1_HIV","ODN_INJ_1_HIV","ODF_INJ_1_HIV","MET_NI_2_HIV","METC_NI_2_HIV","BUP_NI_2_HIV","BUPC_NI_2_HIV","ABS_NI_2_HIV","REL_NI_2_HIV","ODN_NI_2_HIV","ODF_NI_2_HIV","MET_INJ_2_HIV","METC_INJ_2_HIV","BUP_INJ_2_HIV","BUPC_INJ_2_HIV","ABS_INJ_2_HIV","REL_INJ_2_HIV","ODN_INJ_2_HIV","ODF_INJ_2_HIV","MET_NI_3_HIV","METC_NI_3_HIV","BUP_NI_3_HIV","BUPC_NI_3_HIV","ABS_NI_3_HIV","REL_NI_3_HIV","ODN_NI_3_HIV","ODF_NI_3_HIV","MET_INJ_3_HIV","METC_INJ_3_HIV","BUP_INJ_3_HIV","BUPC_INJ_3_HIV","ABS_INJ_3_HIV","REL_INJ_3_HIV","ODN_INJ_3_HIV","ODF_INJ_3_HIV","MET_NI_1_HCV","METC_NI_1_HCV","BUP_NI_1_HCV","BUPC_NI_1_HCV","ABS_NI_1_HCV","REL_NI_1_HCV","ODN_NI_1_HCV","ODF_NI_1_HCV","MET_INJ_1_HCV","METC_INJ_1_HCV","BUP_INJ_1_HCV","BUPC_INJ_1_HCV","ABS_INJ_1_HCV","REL_INJ_1_HCV","ODN_INJ_1_HCV","ODF_INJ_1_HCV","MET_NI_2_HCV","METC_NI_2_HCV","BUP_NI_2_HCV","BUPC_NI_2_HCV","ABS_NI_2_HCV","REL_NI_2_HCV","ODN_NI_2_HCV","ODF_NI_2_HCV","MET_INJ_2_HCV","METC_INJ_2_HCV","BUP_INJ_2_HCV","BUPC_INJ_2_HCV","ABS_INJ_2_HCV","REL_INJ_2_HCV","ODN_INJ_2_HCV","ODF_INJ_2_HCV","MET_NI_3_HCV","METC_NI_3_HCV","BUP_NI_3_HCV","BUPC_NI_3_HCV","ABS_NI_3_HCV","REL_NI_3_HCV","ODN_NI_3_HCV","ODF_NI_3_HCV","MET_INJ_3_HCV","METC_INJ_3_HCV","BUP_INJ_3_HCV","BUPC_INJ_3_HCV","ABS_INJ_3_HCV","REL_INJ_3_HCV","ODN_INJ_3_HCV","ODF_INJ_3_HCV","MET_NI_1_COI","METC_NI_1_COI","BUP_NI_1_COI","BUPC_NI_1_COI","ABS_NI_1_COI","REL_NI_1_COI","ODN_NI_1_COI","ODF_NI_1_COI","MET_INJ_1_COI","METC_INJ_1_COI","BUP_INJ_1_COI","BUPC_INJ_1_COI","ABS_INJ_1_COI","REL_INJ_1_COI","ODN_INJ_1_COI","ODF_INJ_1_COI","MET_NI_2_COI","METC_NI_2_COI","BUP_NI_2_COI","BUPC_NI_2_COI","ABS_NI_2_COI","REL_NI_2_COI","ODN_NI_2_COI","ODF_NI_2_COI","MET_INJ_2_COI","METC_INJ_2_COI","BUP_INJ_2_COI","BUPC_INJ_2_COI","ABS_INJ_2_COI","REL_INJ_2_COI","ODN_INJ_2_COI","ODF_INJ_2_COI","MET_NI_3_COI","METC_NI_3_COI","BUP_NI_3_COI","BUPC_NI_3_COI","ABS_NI_3_COI","REL_NI_3_COI","ODN_NI_3_COI","ODF_NI_3_COI","MET_INJ_3_COI","METC_INJ_3_COI","BUP_INJ_3_COI","BUPC_INJ_3_COI","ABS_INJ_3_COI","REL_INJ_3_COI","ODN_INJ_3_COI","ODF_INJ_3_COI"
"MET_NI_1_NEG",0.858129721811394,0.0328923350858629,0.0164461675429314,0.0164461675429314,0.0328923350858629,0.0328923350858629,0.00924713543242787,0.00105380241272678,0,0,0,0,0,0,0,0,0,0.0328923350858629,0.0164461675429314,0.0164461675429314,0.0328923350858629,0.0328923350858629,0.00924713543242787,0.00105380241272678,0,0,0,0,0,0,0,0,0,0.0328923350858629,0.0164461675429314,0.0164461675429314,0.0328923350858629,0.0328923350858629,0.00924713543242787,0.00105380241272678,0,0,0,0,0,0,0,0,0.858129721811394,0.0328923350858629,0.0164461675429314,0.0164461675429314,0.0328923350858629,0.0328923350858629,0.00924713543242787,0.00105380241272678,0,0,0,0,0,0,0,0,0,0.0328923350858629,0.0164461675429314,0.0164461675429314,0.0328923350858629,0.0328923350858629,0.00924713543242787,0.00105380241272678,0,0,0,0,0,0,0,0,0,0.0328923350858629,0.0164461675429314,0.0164461675429314,0.0328923350858629,0.0328923350858629,0.00924713543242787,0.00105380241272678,0,0,0,0,0,0,0,0,0.858129721811394,0.0328923350858629,0.0164461675429314,0.0164461675429314,0.0328923350858629,0.0328923350858629,0.00924713543242787,0.00105380241272678,0,0,0,0,0,0,0,0,0,0.0328923350858629,0.0164461675429314,0.0164461675429314,0.0328923350858629,0.0328923350858629,0.00924713543242787,0.00105380241272678,0,0,0,0,0,0,0,0,0,0.0328923350858629,0.0164461675429314,0.0164461675429314,0.0328923350858629,0.0328923350858629,0.00924713543242787,0.00105380241272678,0,0,0,0,0,0,0,0,0.858129721811394,0.0328923350858629,0.0164461675429314,0.0164461675429314,0.0328923350858629,0.0328923350858629,0.00924713543242787,0.00105380241272678,0,0,0,0,0,0,0,0,0,0.0328923350858629,0.0164461675429314,0.0164461675429314,0.0328923350858629,0.0328923350858629,0.00924713543242787,0.00105380241272678,0,0,0,0,0,0,0,0,0,0.0328923350858629,0.0164461675429314,0.0164461675429314,0.0328923350858629,0.0328923350858629,0.00924713543242787,0.00105380241272678,0,0,0,0,0,0,0,0
"METC_NI_1_NEG",0.0309006503309796,0.858129721811394,0.0154503251654898,0.0154503251654898,0.0309006503309796,0.0309006503309796,0.0163988643114718,0.00186881255321584,0,0,0,0,0,0,0,0,0.0309006503309796,0,0.0154503251654898,0.0154503251654898,0.0309006503309796,0.0309006503309796,0.0163988643114718,0.00186881255321584,0,0,0,0,0,0,0,0,0.0309006503309796,0,0.0154503251654898,0.0154503251654898,0.0309006503309796,0.0309006503309796,0.0163988643114718,0.00186881255321584,0,0,0,0,0,0,0,0,0.0309006503309796,0.858129721811394,0.0154503251654898,0.0154503251654898,0.0309006503309796,0.0309006503309796,0.0163988643114718,0.00186881255321584,0,0,0,0,0,0,0,0,0.0309006503309796,0,0.0154503251654898,0.0154503251654898,0.0309006503309796,0.0309006503309796,0.0163988643114718,0.00186881255321584,0,0,0,0,0,0,0,0,0.0309006503309796,0,0.0154503251654898,0.0154503251654898,0.0309006503309796,0.0309006503309796,0.0163988643114718,0.00186881255321584,0,0,0,0,0,0,0,0,0.0309006503309796,0.858129721811394,0.0154503251654898,0.0154503251654898,0.0309006503309796,0.0309006503309796,0.0163988643114718,0.00186881255321584,0,0,0,0,0,0,0,0,0.0309006503309796,0,0.0154503251654898,0.0154503251654898,0.0309006503309796,0.0309006503309796,0.0163988643114718,0.00186881255321584,0,0,0,0,0,0,0,0,0.0309006503309796,0,0.0154503251654898,0.0154503251654898,0.0309006503309796,0.0309006503309796,0.0163988643114718,0.00186881255321584,0,0,0,0,0,0,0,0,0.0309006503309796,0.858129721811394,0.0154503251654898,0.0154503251654898,0.0309006503309796,0.0309006503309796,0.0163988643114718,0.00186881255321584,0,0,0,0,0,0,0,0,0.0309006503309796,0,0.0154503251654898,0.0154503251654898,0.0309006503309796,0.0309006503309796,0.0163988643114718,0.00186881255321584,0,0,0,0,0,0,0,0,0.0309006503309796,0,0.0154503251654898,0.0154503251654898,0.0309006503309796,0.0309006503309796,0.0163988643114718,0.00186881255321584,0,0,0,0,0,0,0,0
"BUP_NI_1_NEG",0.0164464896425182,0.0164464896425182,0.858129721811394,0.0328929792850364,0.0328929792850364,0.0328929792850364,0.00924482224615581,0.00105353880230468,0,0,0,0,0,0,0,0,0.0164464896425182,0.0164464896425182,0,0.0328929792850364,0.0328929792850364,0.0328929792850364,0.00924482224615581,0.00105353880230468,0,0,0,0,0,0,0,0,0.0164464896425182,0.0164464896425182,0,0.0328929792850364,0.0328929792850364,0.0328929792850364,0.00924482224615581,0.00105353880230468,0,0,0,0,0,0,0,0,0.0164464896425182,0.0164464896425182,0.858129721811394,0.0328929792850364,0.0328929792850364,0.0328929792850364,0.00924482224615581,0.00105353880230468,0,0,0,0,0,0,0,0,0.0164464896425182,0.0164464896425182,0,0.0328929792850364,0.0328929792850364,0.0328929792850364,0.00924482224615581,0.00105353880230468,0,0,0,0,0,0,0,0,0.0164464896425182,0.0164464896425182,0,0.0328929792850364,0.0328929792850364,0.0328929792850364,0.00924482224615581,0.00105353880230468,0,0,0,0,0,0,0,0,0.0164464896425182,0.0164464896425182,0.858129721811394,0.0328929792850364,0.0328929792850364,0.0328929792850364,0.00924482224615581,0.00105353880230468,0,0,0,0,0,0,0,0,0.0164464896425182,0.0164464896425182,0,0.0328929792850364,0.0328929792850364,0.0328929792850364,0.00924482224615581,0.00105353880230468,0,0,0,0,0,0,0,0,0.0164464896425182,0.0164464896425182,0,0.0328929792850364,0.0328929792850364,0.0328929792850364,0.00924482224615581,0.00105353880230468,0,0,0,0,0,0,0,0,0.0164464896425182,0.0164464896425182,0.858129721811394,0.0328929792850364,0.0328929792850364,0.0328929792850364,0.00924482224615581,0.00105353880230468,0,0,0,0,0,0,0,0,0.0164464896425182,0.0164464896425182,0,0.0328929792850364,0.0328929792850364,0.0328929792850364,0.00924482224615581,0.00105353880230468,0,0,0,0,0,0,0,0,0.0164464896425182,0.0164464896425182,0,0.0328929792850364,0.0328929792850364,0.0328929792850364,0.00924482224615581,0.00105353880230468,0,0,0,0,0,0,0,0
"BUPC_NI_1_NEG",0.0155744608581088,0.0155744608581088,0.0311489217162176,0.858129721811394,0.0311489217162176,0.0311489217162176,0.0155073730093,0.00176721831443578,0,0,0,0,0,0,0,0,0.0155744608581088,0.0155744608581088,0.0311489217162176,0,0.0311489217162176,0.0311489217162176,0.0155073730093,0.00176721831443578,0,0,0,0,0,0,0,0,0.0155744608581088,0.0155744608581088,0.0311489217162176,0,0.0311489217162176,0.0311489217162176,0.0155073730093,0.00176721831443578,0,0,0,0,0,0,0,0,0.0155744608581088,0.0155744608581088,0.0311489217162176,0.858129721811394,0.0311489217162176,0.0311489217162176,0.0155073730093,0.00176721831443578,0,0,0,0,0,0,0,0,0.0155744608581088,0.0155744608581088,0.0311489217162176,0,0.0311489217162176,0.0311489217162176,0.0155073730093,0.00176721831443578,0,0,0,0,0,0,0,0,0.0155744608581088,0.0155744608581088,0.0311489217162176,0,0.0311489217162176,0.0311489217162176,0.0155073730093,0.00176721831443578,0,0,0,0,0,0,0,0,0.0155744608581088,0.0155744608581088,0.0311489217162176,0.858129721811394,0.0311489217162176,0.0311489217162176,0.0155073730093,0.00176721831443578,0,0,0,0,0,0,0,0,0.0155744608581088,0.0155744608581088,0.0311489217162176,0,0.0311489217162176,0.0311489217162176,0.0155073730093,0.00176721831443578,0,0,0,0,0,0,0,0,0.0155744608581088,0.0155744608581088,0.0311489217162176,0,0.0311489217162176,0.0311489217162176,0.0155073730093,0.00176721831443578,0,0,0,0,0,0,0,0,0.0155744608581088,0.0155744608581088,0.0311489217162176,0.858129721811394,0.0311489217162176,0.0311489217162176,0.0155073730093,0.00176721831443578,0,0,0,0,0,0,0,0,0.0155744608581088,0.0155744608581088,0.0311489217162176,0,0.0311489217162176,0.0311489217162176,0.0155073730093,0.00176721831443578,0,0,0,0,0,0,0,0,0.0155744608581088,0.0155744608581088,0.0311489217162176,0,0.0311489217162176,0.0311489217162176,0.0155073730093,0.00176721831443578,0,0,0,0,0,0,0,0
"ABS_NI_1_NEG",0.0109971101730191,0.0109971101730191,0.0109971101730191,0.0109971101730191,0.94082323977601,0.0109971101730191,0.00376244193974942,0.000428767419145649,0,0,0,0,0,0,0,0,0.0109971101730191,0.0109971101730191,0.0109971101730191,0.0109971101730191,0,0.0109971101730191,0.00376244193974942,0.000428767419145649,0,0,0,0,0,0,0,0,0.0109971101730191,0.0109971101730191,0.0109971101730191,0.0109971101730191,0,0.0109971101730191,0.00376244193974942,0.000428767419145649,0,0,0,0,0,0,0,0,0.0109971101730191,0.0109971101730191,0.0109971101730191,0.0109971101730191,0.94082323977601,0.0109971101730191,0.00376244193974942,0.000428767419145649,0,0,0,0,0,0,0,0,0.0109971101730191,0.0109971101730191,0.0109971101730191,0.0109971101730191,0,0.0109971101730191,0.00376244193974942,0.000428767419145649,0,0,0,0,0,0,0,0,0.0109971101730191,0.0109971101730191,0.0109971101730191,0.0109971101730191,0,0.0109971101730191,0.00376244193974942,0.000428767419145649,0,0,0,0,0,0,0,0,0.0109971101730191,0.0109971101730191,0.0109971101730191,0.0109971101730191,0.94082323977601,0.0109971101730191,0.00376244193974942,0.000428767419145649,0,0,0,0,0,0,0,0,0.0109971101730191,0.0109971101730191,0.0109971101730191,0.0109971101730191,0,0.0109971101730191,0.00376244193974942,0.000428767419145649,0,0,0,0,0,0,0,0,0.0109971101730191,0.0109971101730191,0.0109971101730191,0.0109971101730191,0,0.0109971101730191,0.00376244193974942,0.000428767419145649,0,0,0,0,0,0,0,0,0.0109971101730191,0.0109971101730191,0.0109971101730191,0.0109971101730191,0.94082323977601,0.0109971101730191,0.00376244193974942,0.000428767419145649,0,0,0,0,0,0,0,0,0.0109971101730191,0.0109971101730191,0.0109971101730191,0.0109971101730191,0,0.0109971101730191,0.00376244193974942,0.000428767419145649,0,0,0,0,0,0,0,0,0.0109971101730191,0.0109971101730191,0.0109971101730191,0.0109971101730191,0,0.0109971101730191,0.00376244193974942,0.000428767419145649,0,0,0,0,0,0,0,0
"REL_NI_1_NEG",0.0181212256162715,0.0181212256162715,0.0181212256162715,0.0181212256162715,0.0181212256162715,0.895834135296528,0.0121725538836954,0.00138718273841882,0,0,0,0,0,0,0,0,0.0181212256162715,0.0181212256162715,0.0181212256162715,0.0181212256162715,0.0181212256162715,0,0.0121725538836954,0.00138718273841882,0,0,0,0,0,0,0,0,0.0181212256162715,0.0181212256162715,0.0181212256162715,0.0181212256162715,0.0181212256162715,0,0.0121725538836954,0.00138718273841882,0,0,0,0,0,0,0,0,0.0181212256162715,0.0181212256162715,0.0181212256162715,0.0181212256162715,0.0181212256162715,0.895834135296528,0.0121725538836954,0.00138718273841882,0,0,0,0,0,0,0,0,0.0181212256162715,0.0181212256162715,0.0181212256162715,0.0181212256162715,0.0181212256162715,0,0.0121725538836954,0.00138718273841882,0,0,0,0,0,0,0,0,0.0181212256162715,0.0181212256162715,0.0181212256162715,0.0181212256162715,0.0181212256162715,0,0.0121725538836954,0.00138718273841882,0,0,0,0,0,0,0,0,0.0181212256162715,0.0181212256162715,0.0181212256162715,0.0181212256162715,0.0181212256162715,0.895834135296528,0.0121725538836954,0.00138718273841882,0,0,0,0,0,0,0,0,0.0181212256162715,0.0181212256162715,0.0181212256162715,0.0181212256162715,0.0181212256162715,0,0.0121725538836954,0.00138718273841882,0,0,0,0,0,0,0,0,0.0181212256162715,0.0181212256162715,0.0181212256162715,0.0181212256162715,0.0181212256162715,0,0.0121725538836954,0.00138718273841882,0,0,0,0,0,0,0,0,0.0181212256162715,0.0181212256162715,0.0181212256162715,0.0181212256162715,0.0181212256162715,0.895834135296528,0.0121725538836954,0.00138718273841882,0,0,0,0,0,0,0,0,0.0181212256162715,0.0181212256162715,0.0181212256162715,0.0181212256162715,0.0181212256162715,0,0.0121725538836954,0.00138718273841882,0,0,0,0,0,0,0,0,0.0181212256162715,0.0181212256162715,0.0181212256162715,0.0181212256162715,0.0181212256162715,0,0.0121725538836954,0.00138718273841882,0,0,0,0,0,0,0,0
"ODN_NI_1_NEG",0.0931441067725815,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.465720533862908,0.0685589322741847,0,0,0,0,0,0,0,0,0,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.465720533862908,0,0,0,0,0,0,0,0,0,0,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.465720533862908,0,0,0,0,0,0,0,0,0,0,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.465720533862908,0.0685589322741847,0,0,0,0,0,0,0,0,0,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.465720533862908,0,0,0,0,0,0,0,0,0,0,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.465720533862908,0,0,0,0,0,0,0,0,0,0,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.465720533862908,0.0685589322741847,0,0,0,0,0,0,0,0,0,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.465720533862908,0,0,0,0,0,0,0,0,0,0,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.465720533862908,0,0,0,0,0,0,0,0,0,0,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.465720533862908,0.0685589322741847,0,0,0,0,0,0,0,0,0,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.465720533862908,0,0,0,0,0,0,0,0,0,0,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.0931441067725815,0.465720533862908,0,0,0,0,0,0,0,0,0,0
"ODF_NI_1_NEG",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MET_INJ_1_NEG",0,0,0,0,0,0,0,0,0.831935803826672,0.029925118259959,0.0149625591299795,0.0149625591299795,0.029925118259959,0.029925118259959,0.0434160369234937,0.0049476862099986,0,0,0,0,0,0,0,0,0,0.029925118259959,0.0149625591299795,0.0149625591299795,0.029925118259959,0.029925118259959,0.0434160369234937,0.0049476862099986,0,0,0,0,0,0,0,0,0,0.029925118259959,0.0149625591299795,0.0149625591299795,0.029925118259959,0.029925118259959,0.0434160369234937,0.0049476862099986,0,0,0,0,0,0,0,0,0.831935803826672,0.029925118259959,0.0149625591299795,0.0149625591299795,0.029925118259959,0.029925118259959,0.0434160369234937,0.0049476862099986,0,0,0,0,0,0,0,0,0,0.029925118259959,0.0149625591299795,0.0149625591299795,0.029925118259959,0.029925118259959,0.0434160369234937,0.0049476862099986,0,0,0,0,0,0,0,0,0,0.029925118259959,0.0149625591299795,0.0149625591299795,0.029925118259959,0.029925118259959,0.0434160369234937,0.0049476862099986,0,0,0,0,0,0,0,0,0.831935803826672,0.029925118259959,0.0149625591299795,0.0149625591299795,0.029925118259959,0.029925118259959,0.0434160369234937,0.0049476862099986,0,0,0,0,0,0,0,0,0,0.029925118259959,0.0149625591299795,0.0149625591299795,0.029925118259959,0.029925118259959,0.0434160369234937,0.0049476862099986,0,0,0,0,0,0,0,0,0,0.029925118259959,0.0149625591299795,0.0149625591299795,0.029925118259959,0.029925118259959,0.0434160369234937,0.0049476862099986,0,0,0,0,0,0,0,0,0.831935803826672,0.029925118259959,0.0149625591299795,0.0149625591299795,0.029925118259959,0.029925118259959,0.0434160369234937,0.0049476862099986,0,0,0,0,0,0,0,0,0,0.029925118259959,0.0149625591299795,0.0149625591299795,0.029925118259959,0.029925118259959,0.0434160369234937,0.0049476862099986,0,0,0,0,0,0,0,0,0,0.029925118259959,0.0149625591299795,0.0149625591299795,0.029925118259959,0.029925118259959,0.0434160369234937,0.0049476862099986
"METC_INJ_1_NEG",0,0,0,0,0,0,0,0,0.024112672883544,0.831935803826672,0.012056336441772,0.012056336441772,0.024112672883544,0.024112672883544,0.0642873286047964,0.00732617603435566,0,0,0,0,0,0,0,0,0.024112672883544,0,0.012056336441772,0.012056336441772,0.024112672883544,0.024112672883544,0.0642873286047964,0.00732617603435566,0,0,0,0,0,0,0,0,0.024112672883544,0,0.012056336441772,0.012056336441772,0.024112672883544,0.024112672883544,0.0642873286047964,0.00732617603435566,0,0,0,0,0,0,0,0,0.024112672883544,0.831935803826672,0.012056336441772,0.012056336441772,0.024112672883544,0.024112672883544,0.0642873286047964,0.00732617603435566,0,0,0,0,0,0,0,0,0.024112672883544,0,0.012056336441772,0.012056336441772,0.024112672883544,0.024112672883544,0.0642873286047964,0.00732617603435566,0,0,0,0,0,0,0,0,0.024112672883544,0,0.012056336441772,0.012056336441772,0.024112672883544,0.024112672883544,0.0642873286047964,0.00732617603435566,0,0,0,0,0,0,0,0,0.024112672883544,0.831935803826672,0.012056336441772,0.012056336441772,0.024112672883544,0.024112672883544,0.0642873286047964,0.00732617603435566,0,0,0,0,0,0,0,0,0.024112672883544,0,0.012056336441772,0.012056336441772,0.024112672883544,0.024112672883544,0.0642873286047964,0.00732617603435566,0,0,0,0,0,0,0,0,0.024112672883544,0,0.012056336441772,0.012056336441772,0.024112672883544,0.024112672883544,0.0642873286047964,0.00732617603435566,0,0,0,0,0,0,0,0,0.024112672883544,0.831935803826672,0.012056336441772,0.012056336441772,0.024112672883544,0.024112672883544,0.0642873286047964,0.00732617603435566,0,0,0,0,0,0,0,0,0.024112672883544,0,0.012056336441772,0.012056336441772,0.024112672883544,0.024112672883544,0.0642873286047964,0.00732617603435566,0,0,0,0,0,0,0,0,0.024112672883544,0,0.012056336441772,0.012056336441772,0.024112672883544,0.024112672883544,0.0642873286047964,0.00732617603435566
