,Alive,Death,ODN,ODF,REL,BUP,BUPC,MET,METC,ABS,,ODF,,,ODN,,,29000,,
0,0,1.11E-16,0,0,0,0,0,1,0,0,,,,,,,,,,
1,0,0.000324119,0.006256374,0.000334792,0.281157405,0,0,0.70712781,0,0.004799501,,,,,,,,,,
2,0,0.000710153,0.035402049,0.00222923,0.294636767,0.008185738,0.008185738,0.625200292,0.019806425,0.005643609,,,,,,,,,,
3,0,0.001104633,0.025672809,0.003603036,0.321873706,0.016163205,0.014817491,0.574233326,0.036114672,0.006417121,,,,,,,,Year,Non-fatal OD,Fatal OD
4,0,0.001502221,0.024234038,0.004899851,0.346118781,0.020957976,0.017624536,0.532864802,0.044658422,0.007139373,,,,,,,,1,8589,460
5,0,0.001904115,0.024732085,0.006223317,0.363154227,0.024692647,0.019528708,0.500196701,0.05183617,0.00773203,,,,,,,,2,9583,513
6,0,0.002309176,0.024883738,0.007554899,0.376799226,0.027776067,0.020941253,0.473529193,0.057953255,0.008253193,,,,,,,,3,9884,529
7,0,0.002716594,0.025128594,0.008899583,0.38807634,0.030317142,0.021970098,0.45108274,0.063083094,0.008725816,,,,,,,,4,9881,529
8,0,0.003125875,0.025429025,0.010260344,0.397422673,0.032454936,0.022761724,0.431890257,0.067496073,0.009159094,,,,,,,,5,9733,521
9,0,0.003536609,0.025716739,0.011636501,0.405282109,0.034279674,0.023395216,0.415256687,0.071335334,0.00956113,,,,,,,,,,
10,0,0.003948469,0.02598946,0.013027252,0.411957758,0.03585275,0.023916853,0.400673806,0.074696053,0.009937599,,,,,,,,,,
11,0,0.004361191,0.026245568,0.014431707,0.417662133,0.037221843,0.024359056,0.387769346,0.077656724,0.010292431,,,,,,,,,,
12,0,0.004774558,0.026483039,0.015848871,0.42255909,0.038423706,0.024743681,0.376259757,0.080278719,0.010628578,,0.015848871,459.6172529,,0.296173519,8589.03205,,,,
13,0,0.005210582,0.026701303,0.017277714,0.426764693,0.039486117,0.025084966,0.365917276,0.082609127,0.010948222,,,,,,,,,,
14,0,0.005646922,0.026901911,0.018717292,0.430391754,0.040432429,0.025393663,0.356573466,0.084689391,0.011253173,,,,,,,,,,
15,0,0.006083439,0.027085689,0.020166704,0.433522185,0.041280749,0.025676926,0.348087059,0.086552424,0.011544826,,,,,,,,,,
16,0,0.006520015,0.027253664,0.021625106,0.43622321,0.042045653,0.025939752,0.34034266,0.088225634,0.011824306,,,,,,,,,,
17,0,0.006956546,0.02740686,0.023091705,0.438550696,0.042738979,0.026185673,0.333244929,0.089732081,0.012092533,,,,,,,,,,
18,0,0.007392941,0.027546263,0.024565763,0.440551574,0.043370401,0.026417193,0.326714283,0.091091308,0.012350272,,,,,,,,,,
19,0,0.007829123,0.027672811,0.026046594,0.442265626,0.043947882,0.026636109,0.3206837,0.092319988,0.012598168,,,,,,,,,,
20,0,0.008265022,0.027787379,0.027533555,0.443726824,0.044478013,0.026843719,0.315096281,0.093432438,0.012836769,,,,,,,,,,
21,0,0.008700576,0.027890785,0.02902605,0.444964374,0.044966284,0.027040977,0.309903386,0.094441018,0.013066549,,,,,,,,,,
22,0,0.009135732,0.027983787,0.030523522,0.446003525,0.045417299,0.027228595,0.305063165,0.095356451,0.013287925,,,,,,,,,,
23,0,0.009570441,0.028067085,0.032025451,0.446866214,0.045834935,0.027407121,0.300539408,0.096188082,0.013501262,,,,,,,,,,
24,0,0.010004662,0.028141329,0.033531353,0.447571584,0.046222482,0.027576989,0.296300618,0.096944093,0.013706891,,0.017682482,512.7919738,,0.330438865,9582.727086,,,,
25,0,0.010466897,0.028206128,0.035040722,0.448120661,0.046581527,0.027737754,0.292312275,0.097629054,0.013904982,,,,,,,,,,
26,0,0.01092852,0.028263136,0.036553142,0.448544147,0.046915616,0.027890472,0.28855725,0.098251812,0.014095904,,,,,,,,,,
27,0,0.011389498,0.028312743,0.038068217,0.448855066,0.047226859,0.028035431,0.285014269,0.098818004,0.014279912,,,,,,,,,,
28,0,0.011849804,0.028355444,0.039585577,0.449064863,0.047517073,0.02817288,0.281664501,0.099332618,0.01445724,,,,,,,,,,
29,0,0.012309412,0.028391687,0.041104876,0.449183671,0.047787851,0.028303052,0.278491239,0.099800104,0.014628109,,,,,,,,,,
30,0,0.012768298,0.028421879,0.042625791,0.449220503,0.048040593,0.028426171,0.275479603,0.100224437,0.014792726,,,,,,,,,,
31,0,0.013226442,0.028446402,0.044148018,0.449183384,0.048276534,0.028542451,0.272616309,0.100609172,0.014951289,,,,,,,,,,
32,0,0.013683826,0.02846561,0.045671273,0.449079469,0.048496778,0.028652103,0.269889455,0.100957501,0.015103985,,,,,,,,,,
33,0,0.014140433,0.028479834,0.047195289,0.44891515,0.04870231,0.028755334,0.267288359,0.101272298,0.015250994,,,,,,,,,,
34,0,0.014596249,0.028489379,0.048719816,0.448696145,0.04889402,0.028852348,0.264803404,0.101556152,0.015392487,,,,,,,,,,
35,0,0.015051259,0.028494532,0.050244618,0.448427577,0.049072711,0.028943348,0.262425913,0.101811409,0.015528632,,,,,,,,,,
36,0,0.015505454,0.028495558,0.051769476,0.448114041,0.049239116,0.029028534,0.260148042,0.102040192,0.015659587,,0.018238123,528.9055688,,0.340822331,9883.8476,,,,
37,0,0.015994467,0.028491429,0.053294112,0.447739707,0.049392257,0.029107037,0.257954728,0.102240934,0.015785327,,,,,,,,,,
38,0,0.016482558,0.028483801,0.054818341,0.447328586,0.049534301,0.029180067,0.25584742,0.10241878,0.015906145,,,,,,,,,,
39,0,0.016969718,0.028472719,0.056341976,0.446884064,0.049665852,0.029247845,0.25382028,0.102575355,0.016022191,,,,,,,,,,
40,0,0.01745594,0.028458415,0.057864846,0.446409089,0.049787448,0.029310564,0.251867961,0.102712127,0.01613361,,,,,,,,,,
41,0,0.017941216,0.028441081,0.059386788,0.44590632,0.049899591,0.029368419,0.24998559,0.102830454,0.016240542,,,,,,,,,,
42,0,0.018425539,0.028420893,0.06090765,0.445378174,0.050002748,0.029421594,0.248168706,0.102931574,0.016343122,,,,,,,,,,
