"","MET_NI_1_NEG","METC_NI_1_NEG","BUP_NI_1_NEG","BUPC_NI_1_NEG","ABS_NI_1_NEG","REL_NI_1_NEG","ODN_NI_1_NEG","ODF_NI_1_NEG","MET_INJ_1_NEG","METC_INJ_1_NEG","BUP_INJ_1_NEG","BUPC_INJ_1_NEG","ABS_INJ_1_NEG","REL_INJ_1_NEG","ODN_INJ_1_NEG","ODF_INJ_1_NEG","MET_NI_2_NEG","METC_NI_2_NEG","BUP_NI_2_NEG","BUPC_NI_2_NEG","ABS_NI_2_NEG","REL_NI_2_NEG","ODN_NI_2_NEG","ODF_NI_2_NEG","MET_INJ_2_NEG","METC_INJ_2_NEG","BUP_INJ_2_NEG","BUPC_INJ_2_NEG","ABS_INJ_2_NEG","REL_INJ_2_NEG","ODN_INJ_2_NEG","ODF_INJ_2_NEG","MET_NI_3_NEG","METC_NI_3_NEG","BUP_NI_3_NEG","BUPC_NI_3_NEG","ABS_NI_3_NEG","REL_NI_3_NEG","ODN_NI_3_NEG","ODF_NI_3_NEG","MET_INJ_3_NEG","METC_INJ_3_NEG","BUP_INJ_3_NEG","BUPC_INJ_3_NEG","ABS_INJ_3_NEG","REL_INJ_3_NEG","ODN_INJ_3_NEG","ODF_INJ_3_NEG","MET_NI_1_HIV","METC_NI_1_HIV","BUP_NI_1_HIV","BUPC_NI_1_HIV","ABS_NI_1_HIV","REL_NI_1_HIV","ODN_NI_1_HIV","ODF_NI_1_HIV","MET_INJ_1_HIV","METC_INJ_1_HIV","BUP_INJ_1_HIV","BUPC_INJ_1_HIV","ABS_INJ_1_HIV","REL_INJ_1_HIV","ODN_INJ_1_HIV","ODF_INJ_1_HIV","MET_NI_2_HIV","METC_NI_2_HIV","BUP_NI_2_HIV","BUPC_NI_2_HIV","ABS_NI_2_HIV","REL_NI_2_HIV","ODN_NI_2_HIV","ODF_NI_2_HIV","MET_INJ_2_HIV","METC_INJ_2_HIV","BUP_INJ_2_HIV","BUPC_INJ_2_HIV","ABS_INJ_2_HIV","REL_INJ_2_HIV","ODN_INJ_2_HIV","ODF_INJ_2_HIV","MET_NI_3_HIV","METC_NI_3_HIV","BUP_NI_3_HIV","BUPC_NI_3_HIV","ABS_NI_3_HIV","REL_NI_3_HIV","ODN_NI_3_HIV","ODF_NI_3_HIV","MET_INJ_3_HIV","METC_INJ_3_HIV","BUP_INJ_3_HIV","BUPC_INJ_3_HIV","ABS_INJ_3_HIV","REL_INJ_3_HIV","ODN_INJ_3_HIV","ODF_INJ_3_HIV","MET_NI_1_HCV","METC_NI_1_HCV","BUP_NI_1_HCV","BUPC_NI_1_HCV","ABS_NI_1_HCV","REL_NI_1_HCV","ODN_NI_1_HCV","ODF_NI_1_HCV","MET_INJ_1_HCV","METC_INJ_1_HCV","BUP_INJ_1_HCV","BUPC_INJ_1_HCV","ABS_INJ_1_HCV","REL_INJ_1_HCV","ODN_INJ_1_HCV","ODF_INJ_1_HCV","MET_NI_2_HCV","METC_NI_2_HCV","BUP_NI_2_HCV","BUPC_NI_2_HCV","ABS_NI_2_HCV","REL_NI_2_HCV","ODN_NI_2_HCV","ODF_NI_2_HCV","MET_INJ_2_HCV","METC_INJ_2_HCV","BUP_INJ_2_HCV","BUPC_INJ_2_HCV","ABS_INJ_2_HCV","REL_INJ_2_HCV","ODN_INJ_2_HCV","ODF_INJ_2_HCV","MET_NI_3_HCV","METC_NI_3_HCV","BUP_NI_3_HCV","BUPC_NI_3_HCV","ABS_NI_3_HCV","REL_NI_3_HCV","ODN_NI_3_HCV","ODF_NI_3_HCV","MET_INJ_3_HCV","METC_INJ_3_HCV","BUP_INJ_3_HCV","BUPC_INJ_3_HCV","ABS_INJ_3_HCV","REL_INJ_3_HCV","ODN_INJ_3_HCV","ODF_INJ_3_HCV","MET_NI_1_COI","METC_NI_1_COI","BUP_NI_1_COI","BUPC_NI_1_COI","ABS_NI_1_COI","REL_NI_1_COI","ODN_NI_1_COI","ODF_NI_1_COI","MET_INJ_1_COI","METC_INJ_1_COI","BUP_INJ_1_COI","BUPC_INJ_1_COI","ABS_INJ_1_COI","REL_INJ_1_COI","ODN_INJ_1_COI","ODF_INJ_1_COI","MET_NI_2_COI","METC_NI_2_COI","BUP_NI_2_COI","BUPC_NI_2_COI","ABS_NI_2_COI","REL_NI_2_COI","ODN_NI_2_COI","ODF_NI_2_COI","MET_INJ_2_COI","METC_INJ_2_COI","BUP_INJ_2_COI","BUPC_INJ_2_COI","ABS_INJ_2_COI","REL_INJ_2_COI","ODN_INJ_2_COI","ODF_INJ_2_COI","MET_NI_3_COI","METC_NI_3_COI","BUP_NI_3_COI","BUPC_NI_3_COI","ABS_NI_3_COI","REL_NI_3_COI","ODN_NI_3_COI","ODF_NI_3_COI","MET_INJ_3_COI","METC_INJ_3_COI","BUP_INJ_3_COI","BUPC_INJ_3_COI","ABS_INJ_3_COI","REL_INJ_3_COI","ODN_INJ_3_COI","ODF_INJ_3_COI"
"MET_NI_1_NEG",0.743995218438255,0.139638971644586,0.0116365808637135,0,0.00216361263514914,0.102565616162292,0,0,0,0,0,0,0,0,0,0,0,0.139638971644586,0.0116365808637135,0,0.00216361263514914,0.102565616162292,0,0,0,0,0,0,0,0,0,0,0,0.139638971644586,0.0116365808637135,0,0.00216361263514914,0.102565616162292,0,0,0,0,0,0,0,0,0,0,0.743995218438255,0.139638971644586,0.0116365808637135,0,0.00216361263514914,0.102565616162292,0,0,0,0,0,0,0,0,0,0,0,0.139638971644586,0.0116365808637135,0,0.00216361263514914,0.102565616162292,0,0,0,0,0,0,0,0,0,0,0,0.139638971644586,0.0116365808637135,0,0.00216361263514914,0.102565616162292,0,0,0,0,0,0,0,0,0,0,0.743995218438255,0.139638971644586,0.0116365808637135,0,0.00216361263514914,0.102565616162292,0,0,0,0,0,0,0,0,0,0,0,0.139638971644586,0.0116365808637135,0,0.00216361263514914,0.102565616162292,0,0,0,0,0,0,0,0,0,0,0,0.139638971644586,0.0116365808637135,0,0.00216361263514914,0.102565616162292,0,0,0,0,0,0,0,0,0,0,0.743995218438255,0.139638971644586,0.0116365808637135,0,0.00216361263514914,0.102565616162292,0,0,0,0,0,0,0,0,0,0,0,0.139638971644586,0.0116365808637135,0,0.00216361263514914,0.102565616162292,0,0,0,0,0,0,0,0,0,0,0,0.139638971644586,0.0116365808637135,0,0.00216361263514914,0.102565616162292,0,0,0,0,0,0,0,0,0,0
"METC_NI_1_NEG",0.143522243396027,0.689035139619572,0,0.0119601867941865,0.00106151897634044,0.154420911213873,0,0,0,0,0,0,0,0,0,0,0.143522243396027,0,0,0.0119601867941865,0.00106151897634044,0.154420911213873,0,0,0,0,0,0,0,0,0,0,0.143522243396027,0,0,0.0119601867941865,0.00106151897634044,0.154420911213873,0,0,0,0,0,0,0,0,0,0,0.143522243396027,0.689035139619572,0,0.0119601867941865,0.00106151897634044,0.154420911213873,0,0,0,0,0,0,0,0,0,0,0.143522243396027,0,0,0.0119601867941865,0.00106151897634044,0.154420911213873,0,0,0,0,0,0,0,0,0,0,0.143522243396027,0,0,0.0119601867941865,0.00106151897634044,0.154420911213873,0,0,0,0,0,0,0,0,0,0,0.143522243396027,0.689035139619572,0,0.0119601867941865,0.00106151897634044,0.154420911213873,0,0,0,0,0,0,0,0,0,0,0.143522243396027,0,0,0.0119601867941865,0.00106151897634044,0.154420911213873,0,0,0,0,0,0,0,0,0,0,0.143522243396027,0,0,0.0119601867941865,0.00106151897634044,0.154420911213873,0,0,0,0,0,0,0,0,0,0,0.143522243396027,0.689035139619572,0,0.0119601867941865,0.00106151897634044,0.154420911213873,0,0,0,0,0,0,0,0,0,0,0.143522243396027,0,0,0.0119601867941865,0.00106151897634044,0.154420911213873,0,0,0,0,0,0,0,0,0,0,0.143522243396027,0,0,0.0119601867941865,0.00106151897634044,0.154420911213873,0,0,0,0,0,0,0,0,0,0
"BUP_NI_1_NEG",0.00847402492760639,0.00847402492760639,0.644090955887804,0.186428546983704,0.00423247319985459,0.148299974429333,0,0,0,0,0,0,0,0,0,0,0.00847402492760639,0.00847402492760639,0,0.186428546983704,0.00423247319985459,0.148299974429333,0,0,0,0,0,0,0,0,0,0,0.00847402492760639,0.00847402492760639,0,0.186428546983704,0.00423247319985459,0.148299974429333,0,0,0,0,0,0,0,0,0,0,0.00847402492760639,0.00847402492760639,0.644090955887804,0.186428546983704,0.00423247319985459,0.148299974429333,0,0,0,0,0,0,0,0,0,0,0.00847402492760639,0.00847402492760639,0,0.186428546983704,0.00423247319985459,0.148299974429333,0,0,0,0,0,0,0,0,0,0,0.00847402492760639,0.00847402492760639,0,0.186428546983704,0.00423247319985459,0.148299974429333,0,0,0,0,0,0,0,0,0,0,0.00847402492760639,0.00847402492760639,0.644090955887804,0.186428546983704,0.00423247319985459,0.148299974429333,0,0,0,0,0,0,0,0,0,0,0.00847402492760639,0.00847402492760639,0,0.186428546983704,0.00423247319985459,0.148299974429333,0,0,0,0,0,0,0,0,0,0,0.00847402492760639,0.00847402492760639,0,0.186428546983704,0.00423247319985459,0.148299974429333,0,0,0,0,0,0,0,0,0,0,0.00847402492760639,0.00847402492760639,0.644090955887804,0.186428546983704,0.00423247319985459,0.148299974429333,0,0,0,0,0,0,0,0,0,0,0.00847402492760639,0.00847402492760639,0,0.186428546983704,0.00423247319985459,0.148299974429333,0,0,0,0,0,0,0,0,0,0,0.00847402492760639,0.00847402492760639,0,0.186428546983704,0.00423247319985459,0.148299974429333,0,0,0,0,0,0,0,0,0,0
"BUPC_NI_1_NEG",0,0.0423331946736725,0.253999168042035,0.477890598502597,0.00249575916713021,0.223281279092456,0,0,0,0,0,0,0,0,0,0,0,0.0423331946736725,0.253999168042035,0,0.00249575916713021,0.223281279092456,0,0,0,0,0,0,0,0,0,0,0,0.0423331946736725,0.253999168042035,0,0.00249575916713021,0.223281279092456,0,0,0,0,0,0,0,0,0,0,0,0.0423331946736725,0.253999168042035,0.477890598502597,0.00249575916713021,0.223281279092456,0,0,0,0,0,0,0,0,0,0,0,0.0423331946736725,0.253999168042035,0,0.00249575916713021,0.223281279092456,0,0,0,0,0,0,0,0,0,0,0,0.0423331946736725,0.253999168042035,0,0.00249575916713021,0.223281279092456,0,0,0,0,0,0,0,0,0,0,0,0.0423331946736725,0.253999168042035,0.477890598502597,0.00249575916713021,0.223281279092456,0,0,0,0,0,0,0,0,0,0,0,0.0423331946736725,0.253999168042035,0,0.00249575916713021,0.223281279092456,0,0,0,0,0,0,0,0,0,0,0,0.0423331946736725,0.253999168042035,0,0.00249575916713021,0.223281279092456,0,0,0,0,0,0,0,0,0,0,0,0.0423331946736725,0.253999168042035,0.477890598502597,0.00249575916713021,0.223281279092456,0,0,0,0,0,0,0,0,0,0,0,0.0423331946736725,0.253999168042035,0,0.00249575916713021,0.223281279092456,0,0,0,0,0,0,0,0,0,0,0,0.0423331946736725,0.253999168042035,0,0.00249575916713021,0.223281279092456,0,0,0,0,0,0,0,0,0,0
"ABS_NI_1_NEG",0,0,0,0,0.91254942464298,0.0874505753570203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0874505753570203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0874505753570203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91254942464298,0.0874505753570203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0874505753570203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0874505753570203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91254942464298,0.0874505753570203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0874505753570203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0874505753570203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91254942464298,0.0874505753570203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0874505753570203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0874505753570203,0,0,0,0,0,0,0,0,0,0
"REL_NI_1_NEG",0.00827813355704768,0.0910594695650027,0.0169048986141245,0.0295835725382613,0,0.854173925579738,0,0,0,0,0,0,0,0,0,0,0.00827813355704768,0.0910594695650027,0.0169048986141245,0.0295835725382613,0,0,0,0,0,0,0,0,0,0,0,0,0.00827813355704768,0.0910594695650027,0.0169048986141245,0.0295835725382613,0,0,0,0,0,0,0,0,0,0,0,0,0.00827813355704768,0.0910594695650027,0.0169048986141245,0.0295835725382613,0,0.854173925579738,0,0,0,0,0,0,0,0,0,0,0.00827813355704768,0.0910594695650027,0.0169048986141245,0.0295835725382613,0,0,0,0,0,0,0,0,0,0,0,0,0.00827813355704768,0.0910594695650027,0.0169048986141245,0.0295835725382613,0,0,0,0,0,0,0,0,0,0,0,0,0.00827813355704768,0.0910594695650027,0.0169048986141245,0.0295835725382613,0,0.854173925579738,0,0,0,0,0,0,0,0,0,0,0.00827813355704768,0.0910594695650027,0.0169048986141245,0.0295835725382613,0,0,0,0,0,0,0,0,0,0,0,0,0.00827813355704768,0.0910594695650027,0.0169048986141245,0.0295835725382613,0,0,0,0,0,0,0,0,0,0,0,0,0.00827813355704768,0.0910594695650027,0.0169048986141245,0.0295835725382613,0,0.854173925579738,0,0,0,0,0,0,0,0,0,0,0.00827813355704768,0.0910594695650027,0.0169048986141245,0.0295835725382613,0,0,0,0,0,0,0,0,0,0,0,0,0.00827813355704768,0.0910594695650027,0.0169048986141245,0.0295835725382613,0,0,0,0,0,0,0,0,0,0,0,0
"ODN_NI_1_NEG",0.008278134,0.09105947,0.016904899,0.029583573,0,0.854173925,0,0,0,0,0,0,0,0,0,0,0.008278134,0.09105947,0.016904899,0.029583573,0,0.854173925,0,0,0,0,0,0,0,0,0,0,0.008278134,0.09105947,0.016904899,0.029583573,0,0.854173925,0,0,0,0,0,0,0,0,0,0,0.008278134,0.09105947,0.016904899,0.029583573,0,0.854173925,0,0,0,0,0,0,0,0,0,0,0.008278134,0.09105947,0.016904899,0.029583573,0,0.854173925,0,0,0,0,0,0,0,0,0,0,0.008278134,0.09105947,0.016904899,0.029583573,0,0.854173925,0,0,0,0,0,0,0,0,0,0,0.008278134,0.09105947,0.016904899,0.029583573,0,0.854173925,0,0,0,0,0,0,0,0,0,0,0.008278134,0.09105947,0.016904899,0.029583573,0,0.854173925,0,0,0,0,0,0,0,0,0,0,0.008278134,0.09105947,0.016904899,0.029583573,0,0.854173925,0,0,0,0,0,0,0,0,0,0,0.008278134,0.09105947,0.016904899,0.029583573,0,0.854173925,0,0,0,0,0,0,0,0,0,0,0.008278134,0.09105947,0.016904899,0.029583573,0,0.854173925,0,0,0,0,0,0,0,0,0,0,0.008278134,0.09105947,0.016904899,0.029583573,0,0.854173925,0,0,0,0,0,0,0,0,0,0
"ODF_NI_1_NEG",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MET_INJ_1_NEG",0,0,0,0,0,0,0,0,0.755092545671628,0.133585884067791,0.0111321569036045,0,0.00206982408451334,0.0981195890275565,0,0,0,0,0,0,0,0,0,0,0,0.133585884067791,0.0111321569036045,0,0.00206982408451334,0.0981195890275565,0,0,0,0,0,0,0,0,0,0,0,0.133585884067791,0.0111321569036045,0,0.00206982408451334,0.0981195890275565,0,0,0,0,0,0,0,0,0,0,0.755092545671628,0.133585884067791,0.0111321569036045,0,0.00206982408451334,0.0981195890275565,0,0,0,0,0,0,0,0,0,0,0,0.133585884067791,0.0111321569036045,0,0.00206982408451334,0.0981195890275565,0,0,0,0,0,0,0,0,0,0,0,0.133585884067791,0.0111321569036045,0,0.00206982408451334,0.0981195890275565,0,0,0,0,0,0,0,0,0,0,0.755092545671628,0.133585884067791,0.0111321569036045,0,0.00206982408451334,0.0981195890275565,0,0,0,0,0,0,0,0,0,0,0,0.133585884067791,0.0111321569036045,0,0.00206982408451334,0.0981195890275565,0,0,0,0,0,0,0,0,0,0,0,0.133585884067791,0.0111321569036045,0,0.00206982408451334,0.0981195890275565,0,0,0,0,0,0,0,0,0,0,0.755092545671628,0.133585884067791,0.0111321569036045,0,0.00206982408451334,0.0981195890275565,0,0,0,0,0,0,0,0,0,0,0,0.133585884067791,0.0111321569036045,0,0.00206982408451334,0.0981195890275565,0,0,0,0,0,0,0,0,0,0,0,0.133585884067791,0.0111321569036045,0,0.00206982408451334,0.0981195890275565,0,0
"METC_INJ_1_NEG",0,0,0,0,0,0,0,0,0.137536258243765,0.702004774103172,0,0.0114613547046494,0.00101724544297819,0.147980367505436,0,0,0,0,0,0,0,0,0,0,0.137536258243765,0,0,0.0114613547046494,0.00101724544297819,0.147980367505436,0,0,0,0,0,0,0,0,0,0,0.137536258243765,0,0,0.0114613547046494,0.00101724544297819,0.147980367505436,0,0,0,0,0,0,0,0,0,0,0.137536258243765,0.702004774103172,0,0.0114613547046494,0.00101724544297819,0.147980367505436,0,0,0,0,0,0,0,0,0,0,0.137536258243765,0,0,0.0114613547046494,0.00101724544297819,0.147980367505436,0,0,0,0,0,0,0,0,0,0,0.137536258243765,0,0,0.0114613547046494,0.00101724544297819,0.147980367505436,0,0,0,0,0,0,0,0,0,0,0.137536258243765,0.702004774103172,0,0.0114613547046494,0.00101724544297819,0.147980367505436,0,0,0,0,0,0,0,0,0,0,0.137536258243765,0,0,0.0114613547046494,0.00101724544297819,0.147980367505436,0,0,0,0,0,0,0,0,0,0,0.137536258243765,0,0,0.0114613547046494,0.00101724544297819,0.147980367505436,0,0,0,0,0,0,0,0,0,0,0.137536258243765,0.702004774103172,0,0.0114613547046494,0.00101724544297819,0.147980367505436,0,0,0,0,0,0,0,0,0,0,0.137536258243765,0,0,0.0114613547046494,0.00101724544297819,0.147980367505436,0,0,0,0,0,0,0,0,0,0,0.137536258243765,0,0,0.0114613547046494,0.00101724544297819,0.147980367505436,0,0
