> #### Run IMIS algorithm ####
> l_fit_imis <- IMIS(B = 100,      # n_samp = B*10 (was 100 incremental sample size at each iteration of IMIS)
+                    B.re = n_resamp,      # "n_resamp" desired posterior sample size
+                    number_k = 500,      # maximum number of iterations in IMIS (originally 10)
+                    D = 0) # originally 0
[1] "1000 likelihoods are evaluated in 28.4 minutes"
[1] "Stage   MargLike   UniquePoint   MaxWeight   ESS"
[1]  1.000  1.066 42.511  0.307  5.741
[1]  2.000  0.641 67.284  0.329  6.227
[1]  3.000  0.129 97.998  0.157 13.531
[1]   4.000   0.175 110.054   0.161  13.973
[1]   5.000   0.131 147.043   0.128  17.563
[1]   6.000  -0.006 179.437   0.145  20.515
[1]   7.000   0.413 188.562   0.174  14.660
[1]   8.000   0.387 211.809   0.147  19.612
[1]   9.000   0.138 267.948   0.101  32.600
[1]  10.000   0.078 291.588   0.090  41.632
[1]  11.000   0.523 309.830   0.260  11.090
[1]  12.000   0.164 367.440   0.181  23.205
[1]  13.000   0.156 418.896   0.096  46.875
[1]  14.000   0.192 455.047   0.054  63.775
[1]  15.000   0.346 475.368   0.143  33.051
[1]  16.000   0.230 533.753   0.039  85.898
[1]  17.000   0.225 563.084   0.037  92.336
[1]  18.000   0.172 583.484   0.038 100.656
[1]  19.000   0.128 634.535   0.039 117.796
[1]  20.000   0.084 663.070   0.031 134.087
[1]  21.000   0.149 685.317   0.062  99.607
[1]  22.000   0.230 707.625   0.048 104.631
[1]  23.000   0.194 760.270   0.036 144.162
[1]  24.000   0.333 783.814   0.087  71.961
[1]  25.000   0.298 858.354   0.042 150.914
[1]  26.000   0.441 877.370   0.050 113.415
[1]  27.000   0.480 925.338   0.085  79.957
[1]  28.000   0.433 990.018   0.042 166.674
[1]   29.000    0.395 1032.710    0.020  221.754
[1]   30.000    0.368 1064.818    0.020  235.843
[1]  31.000   0.965 939.139   0.421   5.606
[1]   32.000    0.459 1134.690    0.016  244.074
[1]   33.000    0.610 1157.131    0.063  139.872
[1]   34.000    0.552 1211.796    0.013  294.492
[1]   35.000    0.622 1257.295    0.015  297.865
[1]   36.000    0.646 1288.171    0.030  256.284
[1]   37.000    0.641 1318.424    0.014  323.467
[1]   38.000    0.653 1347.257    0.014  332.506
[1]   39.000    0.730 1354.568    0.047  198.056
[1]   40.000    0.700 1417.031    0.020  328.867
[1]   41.000    0.686 1441.164    0.012  370.818
[1]   42.000    0.792 1475.188    0.067  149.098
[1]   43.000    0.884 1476.483    0.090   83.697
[1]   44.000    0.796 1551.736    0.044  221.556
[1]   45.000    0.769 1615.619    0.024  363.547
[1]   46.000    0.748 1668.132    0.010  447.821
[1]   47.000    0.762 1676.434    0.012  442.240
[1]   48.000    0.798 1700.483    0.015  429.247
[1]   49.000    0.784 1737.283    0.009  468.080
[1]   50.000    0.860 1736.971    0.078  128.803
[1]   51.000    0.776 1806.287    0.010  493.609
[1]   52.000    0.796 1845.459    0.008  509.839
[1]   53.000    0.801 1874.037    0.011  518.422
[1]   54.000    0.812 1890.804    0.009  521.107
[1]   55.000    0.891 1868.473    0.079  128.229
[1]   56.000    0.802 1942.102    0.008  551.989
[1]   57.000    0.859 1944.078    0.059  201.468
[1]   58.000    0.805 1986.368    0.008  580.095
[1]   59.000    0.814 2026.566    0.007  601.555
[1]   60.000    0.827 2038.839    0.017  538.995
[1]   61.000    0.828 2064.278    0.008  605.592
[1]   62.000    0.986 1971.033    0.133   52.606
[1]   63.000    0.849 2087.332    0.016  543.871
[1]   64.000    0.854 2126.142    0.007  642.488
[1]   65.000    0.895 2129.439    0.031  410.105
[1]   66.000    0.877 2181.028    0.010  643.895
[1]   67.000    0.874 2211.495    0.006  680.411
[1]   68.000    0.895 2216.041    0.014  628.318
[1]   69.000    0.885 2239.953    0.006  705.123
[1]   70.000    0.910 2240.750    0.021  565.358
[1]   71.000    0.909 2269.625    0.011  676.922
[1]   72.000    0.903 2308.444    0.006  733.437
[1]   73.000    0.914 2350.313    0.007  749.191
[1]   74.000    0.931 2367.340    0.018  644.333
[1]   75.000    0.915 2419.330    0.006  802.646
[1]   76.000    0.913 2455.409    0.006  840.810
[1]   77.000    0.916 2475.021    0.006  869.476
[1]   78.000    0.960 2482.322    0.039  397.642
[1]   79.000    0.926 2544.880    0.005  915.730
[1]   80.000    0.924 2573.800    0.005  946.603
[1]   81.000    0.937 2571.518    0.009  880.468
[1]   82.000    0.938 2608.592    0.008  961.591
[1]   83.000    0.936 2644.350    0.006 1007.667
[1]   84.000    0.974 2657.482    0.021  742.031
[1]   85.000    0.969 2697.736    0.005 1047.109
