> #### Run IMIS algorithm ####
> l_fit_imis <- IMIS(B = 100,      # n_samp = B*10 (was 100 incremental sample size at each iteration of IMIS)
+                    B.re = n_resamp,      # "n_resamp" desired posterior sample size
+                    number_k = 500,      # maximum number of iterations in IMIS (originally 10)
+                    D = 0) # originally 0
[1] "1000 likelihoods are evaluated in 30.22 minutes"
[1] "Stage   MargLike   UniquePoint   MaxWeight   ESS"
[1]  1.000 -3.278 31.406  0.290  5.171
[1]  2.000 -3.612 40.143  0.315  4.690
[1]  3.000 -3.912 52.174  0.420  4.609
[1]  4.000 -4.188 69.092  0.248  7.709
[1]  5.000 -4.199 92.645  0.151 12.288
[1]   6.000  -4.377 103.272   0.167  12.613
[1]   7.000  -4.635 131.971   0.190  13.872
[1]   8.000  -4.698 153.581   0.146  18.466
[1]   9.000  -4.786 188.492   0.118  22.748
[1]  10.000  -4.741 211.469   0.075  31.095
[1]  11.000  -4.698 232.962   0.096  29.692
[1]  12.000  -4.839 263.008   0.076  32.725
[1]  13.000  -4.709 285.594   0.130  26.974
[1]  14.000  -4.445 313.170   0.341   7.944
[1]  15.000  -4.989 381.694   0.080  51.518
[1]  16.000  -5.006 424.439   0.047  72.746
[1]  17.000  -4.799 415.488   0.183  23.955
[1]  18.000  -5.012 438.575   0.045  80.101
[1]  19.000  -5.028 484.192   0.043  93.611
[1]  20.000  -5.004 530.051   0.040 105.095
[1]  21.000  -5.066 558.870   0.035 125.965
[1]  22.000  -5.014 597.608   0.047 118.422
[1]  23.000  -4.957 637.591   0.049 120.081
[1]  24.000  -4.954 690.497   0.024 169.888
[1]  25.000  -4.840 702.111   0.044 142.004
[1]  26.000  -4.887 753.310   0.022 200.735
[1]  27.000  -4.839 769.251   0.036 173.117
[1]  28.000  -4.899 814.865   0.022 224.846
[1]  29.000  -4.815 853.479   0.035 200.619
[1]  30.000  -4.791 894.078   0.023 230.741
[1]  31.000  -4.796 937.848   0.024 242.271
[1]  32.000  -4.802 969.378   0.017 271.878
[1]  33.000  -4.638 977.293   0.090  85.722
[1]   34.000   -4.652 1007.692    0.043  172.349
[1]   35.000   -4.696 1049.235    0.033  231.117
[1]   36.000   -4.707 1082.979    0.015  295.395
[1]   37.000   -4.685 1102.862    0.014  303.441
[1]   38.000   -4.658 1128.964    0.028  264.517
[1]   39.000   -4.652 1175.165    0.012  322.898
[1]   40.000   -4.622 1208.850    0.013  329.225
[1]   41.000   -4.626 1242.276    0.012  347.373
[1]   42.000   -4.575 1264.222    0.047  212.288
[1]   43.000   -4.612 1301.477    0.013  361.081
[1]   44.000   -4.542 1311.678    0.051  198.930
[1]   45.000   -4.575 1365.342    0.012  386.391
[1]   46.000   -4.572 1386.229    0.010  408.766
[1]   47.000   -4.577 1402.049    0.010  422.448
[1]   48.000   -4.542 1436.270    0.016  403.035
[1]   49.000   -4.391 1408.633    0.117   60.673
[1]   50.000   -4.511 1482.962    0.037  292.859
[1]   51.000   -4.570 1520.437    0.010  472.786
[1]   52.000   -4.540 1545.962    0.017  441.926
[1]   53.000   -4.511 1578.490    0.014  466.569
[1]   54.000   -4.514 1606.399    0.009  499.479
[1]   55.000   -4.446 1619.304    0.035  294.628
[1]   56.000   -4.487 1682.778    0.014  463.211
[1]   57.000   -4.458 1739.394    0.012  499.673
[1]   58.000   -4.467 1763.850    0.012  536.427
[1]   59.000   -4.466 1796.805    0.009  574.596
[1]   60.000   -4.390 1793.192    0.032  330.564
[1]   61.000   -4.428 1860.678    0.010  573.717
[1]   62.000   -4.417 1886.702    0.017  532.955
[1]   63.000   -4.442 1924.970    0.008  628.453
[1]   64.000   -4.431 1970.768    0.007  661.994
[1]   65.000   -4.440 1988.180    0.007  687.287
[1]   66.000   -4.440 2018.988    0.007  714.905
[1]   67.000   -4.422 2040.739    0.016  637.255
[1]   68.000   -4.432 2064.602    0.007  745.714
[1]   69.000   -4.429 2086.749    0.007  770.687
[1]   70.000   -4.165 1922.563    0.237   17.560
[1]   71.000   -4.435 2114.121    0.006  790.752
[1]   72.000   -4.434 2138.794    0.006  823.849
[1]   73.000   -4.421 2160.980    0.011  776.920
[1]   74.000   -4.382 2150.058    0.039  379.977
[1]   75.000   -4.415 2207.721    0.006  832.712
[1]   76.000   -4.402 2231.572    0.014  757.311
[1]   77.000   -4.315 2199.504    0.080  136.894
[1]   78.000   -4.365 2269.820    0.021  654.027
[1]   79.000   -4.380 2329.633    0.005  908.481
[1]   80.000   -4.374 2347.320    0.005  922.386
[1]   81.000   -4.365 2377.030    0.005  939.589
[1]   82.000   -4.355 2389.556    0.009  900.961
