"ICER (1-year)","ICER (5-year)","ICER (10-year)","ICER (Lifetime)","ICER (Health Sector 1-year)","ICER (Health Sector 5-year)","ICER (Health Sector 10-year)","ICER (Health Sector Lifetime)"
149794.101767822,142760.513816196,139918.727709554,138957.597371693,4194.99873149783,3902.1268888078,3746.48457571255,3510.66115590169
75094.9566838032,72079.8677864746,69279.8890839694,58081.684283447,30586.5933630931,29766.3043848792,28878.4184028185,24777.1027110678
-155901.204414918,-136600.957593007,-124398.582520697,-92324.5146565804,-155070.696102353,-124248.06011726,-108506.160209948,-78272.5637767416
83298.5111559983,88465.2598021173,91440.36572096,97471.802018915,-3369.05594142703,-4895.90110715616,-5790.67856503833,-7913.6143199209
138816.583557257,141660.517853753,142367.808216162,140861.627691402,-13377.7065751788,-13109.8882102076,-12963.6079613541,-12691.9386856997
162040.070763728,162935.717760754,164672.478036934,168869.744222115,25573.0778082836,24767.6687914539,24391.0356495588,23543.0507998194
260424.572983585,272535.632689742,282775.045311131,336205.304285101,-20244.622088129,-20742.0437833179,-21355.9060095381,-25667.5400014794
114081.835690066,115080.248745363,114459.410812957,100427.13924968,-266.018543182649,711.58704034986,1337.93933419485,2826.40027470835
39588.8164251809,36683.5744672302,35336.2037841565,34712.3117454761,4049.88011351367,3743.5714012092,3568.47046115443,3047.04076691349
1053911.08640397,644358.752263574,502700.9226374,278108.184743915,209872.239323605,134868.422141101,108217.980863148,60628.4302616365
134833.412877436,133778.351563776,133275.787984063,136034.619094404,5278.37138285149,5394.71661161887,5477.04043104997,5831.62423139214
223298.836012252,218448.694775265,215482.017029952,201840.974978141,157725.91308047,153758.630614442,151584.175849309,142350.935907444
215683.345722033,175771.03436051,155803.045906836,118099.967033481,-3940.88575762946,-4550.15470217349,-4395.49356164255,-3163.70421669008
98852.9599055604,75567.7272608431,64687.430695127,45895.967468979,9971.17098467051,8768.98320768178,8021.54021968874,5793.44131983777
250259.353254989,256044.896415007,272662.316797923,414488.524243755,45519.3979522571,46093.2586360042,48773.4226642237,72239.2988337523
-203877.641905155,-159479.777760721,-142886.174081638,-119958.656723008,-74458.0299807795,-61525.0133351288,-55653.516388503,-44460.288861851
277104.68622018,276048.564846374,272650.005746916,262668.797766482,127088.666455927,124750.437860593,122434.094990462,117701.248805829
-71014.9555524401,-82995.6610962548,-91595.8287162854,-150985.409170602,-783566.131355706,-775404.696679472,-812077.810622465,-1332840.67408847
4449.66357092423,-29577.8989880858,-42832.7673122793,-47420.2096371585,-264778.993697777,-206699.565307116,-189359.520902679,-181562.076618827
47371.5389889339,47748.2290201124,47258.1462243998,43312.7160295633,-34502.5728597089,-33578.7868169948,-32985.4490311426,-30597.9397912238
-52494.8601652751,-63206.4247095955,-66646.1521221571,-59700.9606353385,-31522.7049472867,-30527.5102668334,-30339.8550429652,-31544.6591730297
356508.598170189,296406.851468354,262657.456320435,168236.219438146,144950.51972622,143880.042364268,141869.836863033,101444.41527051
-28509.4445839883,-37416.7536560363,-44703.2195247475,-56040.5266219054,-33439.636998794,-36623.6414417106,-38731.8979336731,-39977.0189599073
52434.2601566374,32396.7257764138,23052.386583262,15968.7864838026,-12106.2661747822,-13216.8622989111,-13660.1545154165,-13070.2247790347
297236.806663519,264277.056151748,244349.74981106,188883.932874973,-4085.38946516736,-5157.31127753919,-5428.35598148421,-4699.98850020855
124803.757608781,146054.963711437,159135.490956893,185802.762808377,2357.9095800366,3183.03007897407,3889.81036963993,7242.80145167312
12998.5269833585,10656.2618174079,8975.95755769429,4121.24202083745,5087.07406057267,2258.97992980438,1247.29295411453,123.320798136024
208187.330329458,199129.043058586,192886.663864721,156311.166338019,33064.0249676116,32307.4213064644,31794.6005615788,26515.4692100801
-23176.5146437849,-22466.7158645714,-23564.1504498096,-26878.7095768686,-15652.9912219205,-17613.2866409832,-18977.1137272771,-19332.6589217709
58072.1207408768,68810.6778919236,75790.6963642583,98719.7088575263,14156.6842542721,15272.3674679614,16321.1109003287,22381.2008171949
33813.2902096738,40921.229350469,45508.2080237858,60010.3871503929,-111808.051433434,-124592.758039654,-134301.075136361,-172540.325398162
111490.739046056,130270.487584417,145663.360335746,226893.469233318,20873.2899811502,23074.2982176107,25439.9208555281,41469.7221230543
295327.71090605,186489.012049848,150439.913438912,85144.5542420459,26943.4163360251,21304.6227650269,18423.905593057,10722.1661457435
168052.371700812,168895.938713294,170331.590408103,176169.356232369,9325.45326427481,9434.53902957886,9532.42689540794,9506.71942955722
-486470.410359886,-382515.983929232,-330787.298391745,-185776.102335493,162748.495999012,102651.012663493,80462.6935559634,40923.4487175687
317688.653423333,299800.580848109,290137.39687402,250532.396339057,-10852.4074598883,-9948.8631725779,-9640.63785473801,-8548.54819045803
70578.7954191127,62765.9734702166,57280.2650517857,44493.639266475,-1362.41146757998,-1261.28315780988,-1190.68147503532,-1039.57837147691
48450.8525525085,52779.5018576307,54415.9135780009,52898.3619697552,765.325767974843,2272.52047858073,2784.00754387539,2438.94070405546
145127.379753215,182173.175268087,205498.995401344,249934.195243528,10819.2600289662,11976.9718459164,12932.2506881426,16750.3696495159
61463.5940603964,60680.8883235853,61060.3050480702,66683.2581573056,13924.9480805944,12345.7080463675,11664.2434018421,11276.4898863964
236067.922867115,228667.212462312,225138.544099487,201483.95127952,-40808.4007378202,-39590.777796293,-39091.2441635428,-35071.95547312
249723.388658365,235015.733836961,226303.926403993,208676.942143375,3830.19291300509,3567.68314013382,3396.10415814431,2908.40461603613
128575.49158625,133390.949277193,137090.391345416,156974.259742889,-5378.47474437785,-5640.05319838737,-5845.05902945176,-7049.91132766822
