"n_icer_TOTAL_1yr","n_icer_TOTAL_5yr","n_icer_TOTAL_10yr","n_icer_HEALTH_SECTOR_1yr","n_icer_HEALTH_SECTOR_5yr","n_icer_HEALTH_SECTOR_10yr"
-1204293.22767621,-296956.813342242,-118392.08006474,218265.385218869,41585.9777241197,24146.3161653115
65815979.6051494,-169244.89924663,-48659.8811600566,-10516383.3615428,19281.9037781956,13253.5613210396
-1878778.70168979,-368445.202090755,-144346.926716989,59612.1211213881,16951.6692695657,13191.1194350302
1706129.88516886,-200409.936323173,-65790.813729554,-354259.684156996,28358.0938620161,15414.4960912376
42077222.2072149,-1024920.95438929,-389261.339545795,-2031776.42532164,45716.0070043708,24598.0520429859
-264194.384282685,-52811.6527042325,1023.39140621561,86671.3193586043,25268.2959786855,17213.702345524
-1619671.03173342,-426224.523713503,-180794.377540084,189106.877264551,39186.2106838395,23578.7030482163
-938424.044589578,-230804.033743427,-98245.781480625,118946.495808459,28656.188034892,18218.1540121389
-968178.808134365,-267899.927805952,-103383.902572541,179097.311921223,43384.5966648151,27041.3593565309
-767741.768349835,-160682.653818196,-52244.327610932,218678.549891812,52746.8902142861,33188.3630179573
668141.00678556,-171718.648022966,-29571.6112230881,192294.202846545,-43425.3292538102,-10118.3737014182
-1989112.08226366,-308926.957661704,-122762.416667226,66982.2637512464,13541.3671499003,12957.7207848028
975448.802641142,-165316.524551115,-38108.1291895073,-709419.106771948,100743.807915148,50211.8759778204
-5892091.85975894,-569709.160893772,-240052.462984661,-249255.151126151,-9653.32373344577,-570.519680552163
-62803327.9875392,-442740.061031192,-169089.405544048,-10232888.3525354,-63638.9741854651,-21031.6210071896
-2536614.64756541,-303899.766562867,-117274.505723099,357845.24197674,37331.3200552555,22111.366296106
-927569.128445626,-243330.28298609,-90191.4443949568,249307.563311667,61649.2093260008,36928.8918162047
-3412815.49731376,-305012.951599076,-117787.94088017,-25385.5141111479,-2874.9248734293,1920.41277450095
-100695908.133918,-511953.185721126,-184420.822957755,-2668908.09023936,2381.59307640755,5359.57276990288
