"n_icer_TOTAL_1yr","n_icer_TOTAL_5yr","n_icer_TOTAL_10yr","n_icer_HEALTH_SECTOR_1yr","n_icer_HEALTH_SECTOR_5yr","n_icer_HEALTH_SECTOR_10yr"
60815.5914627989,NA,NA,10618.0131251064,NA,NA
97793.5922694384,NA,NA,12885.7897537365,NA,NA
75043.8400643713,NA,NA,12444.9175340766,NA,NA
98890.2317111236,NA,NA,14101.5367701197,NA,NA
76839.3462978705,NA,NA,10470.5725929241,NA,NA
86526.0307682165,NA,NA,10322.8400156332,NA,NA
88830.5660398458,NA,NA,10623.9197733883,NA,NA
76106.0888014426,NA,NA,12001.5421265349,NA,NA
38339.8084565522,NA,NA,9689.64939213685,NA,NA
35795.5200169611,NA,NA,10619.0998609148,NA,NA
81804.3282332194,NA,NA,16897.6983550072,NA,NA
113519.717923513,NA,NA,9830.41136248389,NA,NA
76592.0030002341,NA,NA,13101.9532612721,NA,NA
101766.759922888,NA,NA,10422.7285196175,NA,NA
58568.6703534498,NA,NA,11335.4419870749,NA,NA
70547.8540998896,NA,NA,14921.121994257,NA,NA
88190.8262208415,NA,NA,9197.11141092633,NA,NA
77398.7294284082,NA,NA,10937.2132703183,NA,NA
89327.7930247855,NA,NA,9784.56558602882,NA,NA
87826.0223138765,NA,NA,17110.1412307512,NA,NA
74610.9046555194,NA,NA,9774.50868935951,NA,NA
93952.4750808386,NA,NA,11140.7166447881,NA,NA
113374.336933426,NA,NA,11327.744681172,NA,NA
70821.9703884843,NA,NA,12453.8568832629,NA,NA
66182.4051297858,NA,NA,11494.6925200753,NA,NA
87089.472576606,NA,NA,15814.3778838927,NA,NA
67507.7490513907,NA,NA,11479.5695938168,NA,NA
98423.2115370206,NA,NA,14557.3204458562,NA,NA
77861.0325166477,NA,NA,10885.2018582987,NA,NA
96277.7501594538,NA,NA,10967.8664342358,NA,NA
89959.0895032054,NA,NA,10816.6930634346,NA,NA
94518.4633967619,NA,NA,11760.0110804765,NA,NA
94278.0072175762,NA,NA,12201.2708885623,NA,NA
145723.72785888,NA,NA,15859.0261603189,NA,NA
119033.587142981,NA,NA,12955.1747622525,NA,NA
87759.9073177202,NA,NA,13676.8586848936,NA,NA
71580.1647099257,NA,NA,12105.449550471,NA,NA
57643.383033556,NA,NA,9898.35066802161,NA,NA
64071.8133869986,NA,NA,12641.969278386,NA,NA
105871.747809866,NA,NA,15564.7125287643,NA,NA
44637.1180657293,NA,NA,11005.7295756392,NA,NA
60662.6343690792,NA,NA,10508.9424105745,NA,NA
64456.6439183194,NA,NA,11228.2884438704,NA,NA
84145.0987833322,NA,NA,12474.8195474702,NA,NA
88316.9290958557,NA,NA,12507.1164254812,NA,NA
52719.3140124998,NA,NA,11659.364333578,NA,NA
88417.6746709952,NA,NA,15591.4480573083,NA,NA
123568.208718326,NA,NA,12337.6406804668,NA,NA
52591.5467867341,NA,NA,11040.6954553326,NA,NA
67056.8201962531,NA,NA,13182.7317941847,NA,NA
75959.7678828651,NA,NA,10969.2217444907,NA,NA
140151.760712002,NA,NA,12594.8271785144,NA,NA
67546.6945024147,NA,NA,13099.7583737218,NA,NA
66181.4786563643,NA,NA,11803.7981627108,NA,NA
118805.093261779,NA,NA,15746.8344567451,NA,NA
53904.9865244888,NA,NA,15512.3913031944,NA,NA
64708.5370711682,NA,NA,12271.6927425946,NA,NA
61184.7613007815,NA,NA,13772.1839356146,NA,NA
72087.866790595,NA,NA,11538.7010695582,NA,NA
100079.651699239,NA,NA,11727.1634295149,NA,NA
80990.7265687701,NA,NA,10850.8265445504,NA,NA
83634.2033246912,NA,NA,10666.2005263196,NA,NA
67844.9689795364,NA,NA,12008.1268795368,NA,NA
105252.705922762,NA,NA,11349.6701863786,NA,NA
76423.4141319123,NA,NA,9446.49313598083,NA,NA
97895.3124214191,NA,NA,15803.4358338579,NA,NA
64546.8338698289,NA,NA,12927.2759408026,NA,NA
62191.3351939886,NA,NA,11008.9388871953,NA,NA
82839.2033651804,NA,NA,12503.1541361088,NA,NA
65984.1522515981,NA,NA,10376.7416888784,NA,NA
91139.415428341,NA,NA,12744.8254398688,NA,NA
79913.6722842996,NA,NA,12010.5840446002,NA,NA
72182.6193603124,NA,NA,12404.6052689821,NA,NA
90500.7923730578,NA,NA,16071.9212412805,NA,NA
62908.8036014115,NA,NA,12646.7487271174,NA,NA
84780.7543091553,NA,NA,11222.8847489734,NA,NA
54411.0617034297,NA,NA,11288.6344986967,NA,NA
72471.0768624812,NA,NA,12876.8166925528,NA,NA
93193.4852845964,NA,NA,11736.177457619,NA,NA
99263.8932318634,NA,NA,10275.5434443749,NA,NA
67086.4457711946,NA,NA,13229.9891793584,NA,NA
70597.5526074231,NA,NA,13944.6209723895,NA,NA
51327.3876419697,NA,NA,7864.24324430707,NA,NA
72976.7439632351,NA,NA,10663.5002619286,NA,NA
89333.4731654527,NA,NA,14278.8848351567,NA,NA
65441.4666620172,NA,NA,13006.983760573,NA,NA
68341.6371580161,NA,NA,11285.0270116766,NA,NA
75799.4513692409,NA,NA,9921.44189826801,NA,NA
73186.5040113163,NA,NA,9984.71012112131,NA,NA
60427.9724475562,NA,NA,13159.480011248,NA,NA
61546.578048629,NA,NA,9779.15650395283,NA,NA
75856.169978672,NA,NA,12012.2785974842,NA,NA
92689.2298930146,NA,NA,8805.60625228968,NA,NA
43541.7431540959,NA,NA,9886.45400830028,NA,NA
110426.878327912,NA,NA,10448.5249027956,NA,NA
60464.7090354798,NA,NA,14566.9705393757,NA,NA
63978.4026981342,NA,NA,10517.9757645424,NA,NA
61760.6696173299,NA,NA,19515.287335953,NA,NA
100614.169840476,NA,NA,9332.06922639305,NA,NA
75036.7189559623,NA,NA,11841.327655032,NA,NA
67617.719081684,NA,NA,9945.56998747343,NA,NA
57018.853518184,NA,NA,10379.036981041,NA,NA
53014.827070163,NA,NA,12730.4416069742,NA,NA
89865.1129469168,NA,NA,13868.8844998467,NA,NA
55895.02369469,NA,NA,9259.41309950896,NA,NA
112456.503764168,NA,NA,12252.8779311699,NA,NA
130523.223925462,NA,NA,9898.20567191317,NA,NA
91520.8544917416,NA,NA,18053.6929962135,NA,NA
57240.8611361057,NA,NA,11148.8341680741,NA,NA
99718.454196538,NA,NA,10630.5348591984,NA,NA
67772.8734996853,NA,NA,12973.4861812669,NA,NA
96319.2287284841,NA,NA,13164.4393534556,NA,NA
76100.4719144869,NA,NA,10633.3368557431,NA,NA
90278.4302343021,NA,NA,12078.2022040875,NA,NA
62805.2152669852,NA,NA,9946.81435298067,NA,NA
90607.1808017182,NA,NA,9478.31398372637,NA,NA
56959.5943230346,NA,NA,9517.22023550428,NA,NA
108524.901068075,NA,NA,12063.1926623999,NA,NA
80085.5881487433,NA,NA,12862.761679898,NA,NA
90467.5547398074,NA,NA,13291.4950997917,NA,NA
108533.778259603,NA,NA,11646.5042926145,NA,NA
112476.822966082,NA,NA,13334.1435068597,NA,NA
75970.2203296249,NA,NA,10772.4617410086,NA,NA
49960.1557248257,NA,NA,10975.0455248638,NA,NA
58779.42158741,NA,NA,12800.6185358835,NA,NA
94289.7322177749,NA,NA,11910.3428673692,NA,NA
65556.4336952145,NA,NA,13461.6103541908,NA,NA
69732.1908029067,NA,NA,10275.9592082361,NA,NA
54983.868354178,NA,NA,10533.2447139566,NA,NA
80697.7156183115,NA,NA,12883.2898715489,NA,NA
78629.8293047076,NA,NA,14514.7418974793,NA,NA
90973.0809553523,NA,NA,14557.5688328795,NA,NA
94456.0769099755,NA,NA,10801.7758533075,NA,NA
88314.1963547109,NA,NA,15149.8990416937,NA,NA
53007.5145111514,NA,NA,11115.1467630012,NA,NA
90922.7146083433,NA,NA,12703.4375254641,NA,NA
121731.152644049,NA,NA,11707.8557308138,NA,NA
72728.0574186025,NA,NA,11126.8134551707,NA,NA
104985.142834659,NA,NA,14854.2631000036,NA,NA
43947.0370341269,NA,NA,10421.6490941514,NA,NA
103053.833813865,NA,NA,11169.698582925,NA,NA
88368.1896746539,NA,NA,11147.3688251229,NA,NA
69368.2484474182,NA,NA,12144.368062616,NA,NA
90608.236603525,NA,NA,9755.88055730714,NA,NA
56508.2713287533,NA,NA,13867.6667774153,NA,NA
67991.0341823845,NA,NA,12619.4518878878,NA,NA
73154.2317376785,NA,NA,13780.9914046479,NA,NA
67518.1773238781,NA,NA,11687.62553916,NA,NA
34653.0092011124,NA,NA,11579.9869932502,NA,NA
91870.1870461136,NA,NA,9947.92898545701,NA,NA
76863.202371085,NA,NA,11568.8100904591,NA,NA
114900.578127673,NA,NA,12633.3479093594,NA,NA
113412.915309122,NA,NA,12323.077520079,NA,NA
86100.7721771383,NA,NA,10447.4885160929,NA,NA
65336.3197446371,NA,NA,10986.9518235548,NA,NA
130924.10148506,NA,NA,13492.8739224161,NA,NA
82713.0636934899,NA,NA,12149.2253864979,NA,NA
56937.968510146,NA,NA,9600.3966078136,NA,NA
148039.854952483,NA,NA,10809.5370252025,NA,NA
