"n_icer_TOTAL_6mo","n_icer_TOTAL_1yr","n_icer_TOTAL_5yr","n_icer_TOTAL_10yr","n_icer_TOTAL_life","n_icer_HEALTH_SECTOR_6mo","n_icer_HEALTH_SECTOR_1yr","n_icer_HEALTH_SECTOR_5yr","n_icer_HEALTH_SECTOR_10yr","n_icer_HEALTH_SECTOR_life"
-94753.3161377615,-16713.6934100554,NA,NA,-16713.6934100554,36730.8180104902,24714.3555506871,NA,NA,24714.3555506871
44237.1964309152,52947.3585836239,NA,NA,52947.3585836239,52632.3638324358,33760.0111549442,NA,NA,33760.0111549442
23737.3787054018,54460.9361057204,NA,NA,54460.9361057204,30488.4167768894,21510.9891953299,NA,NA,21510.9891953299
-2433409.90551771,-10259.7553570367,NA,NA,-10259.7553570367,1118842.752327,38229.8859184986,NA,NA,38229.8859184986
152690.090034753,137417.851989681,NA,NA,137417.851989681,35824.6347854351,23601.3146867999,NA,NA,23601.3146867999
101630.776072941,87821.6626168125,NA,NA,87821.6626168125,24016.0604455982,15506.1769818471,NA,NA,15506.1769818471
12394.5743682705,45244.6441710919,NA,NA,45244.6441710919,584.895843555424,941.624989225787,NA,NA,941.624989225787
-22950.7408354452,44764.0186569806,NA,NA,44764.0186569806,19091.5540101055,12791.8943189442,NA,NA,12791.8943189442
-9656.71352714512,20314.0146618659,NA,NA,20314.0146618659,20487.9056189881,16170.6050456315,NA,NA,16170.6050456315
-224810.0273026,-78323.3075569272,NA,NA,-78323.3075569272,13129.7486899786,11349.0941117006,NA,NA,11349.0941117006
-178065.810611892,-79824.9382041995,NA,NA,-79824.9382041995,42668.7183839514,25999.1168821635,NA,NA,25999.1168821635
-45756.9101279195,4685.34572993201,NA,NA,4685.34572993201,39520.8169723073,24810.3752758389,NA,NA,24810.3752758389
378810.623692787,208783.174394243,NA,NA,208783.174394243,72199.0697162529,32983.1492758242,NA,NA,32983.1492758242
209620.218595089,161664.080353587,NA,NA,161664.080353587,20858.0904879041,15284.8054961523,NA,NA,15284.8054961523
74913.5075191446,79629.2807190464,NA,NA,79629.2807190464,19214.5841384044,14973.8681296228,NA,NA,14973.8681296228
313048.374392333,230946.294740982,NA,NA,230946.294740982,48098.5038156898,28031.6283186164,NA,NA,28031.6283186164
-163890.974781904,-60215.9190609633,NA,NA,-60215.9190609633,13957.4480979325,12450.2961463704,NA,NA,12450.2961463704
891073.543630877,250220.882341884,NA,NA,250220.882341884,220298.235392735,40214.5520227521,NA,NA,40214.5520227521
657159.023121083,375976.67062135,NA,NA,375976.67062135,53216.0197393052,26423.7499329601,NA,NA,26423.7499329601
-91111.7744535967,-35815.1567440642,NA,NA,-35815.1567440642,67217.2348969551,32412.7647160765,NA,NA,32412.7647160765
-3554.94256676592,22470.5037697552,NA,NA,22470.5037697552,-2319.51722018465,2953.77779956395,NA,NA,2953.77779956395
245912.024404119,141989.571881489,NA,NA,141989.571881489,122464.70095423,41603.4425489236,NA,NA,41603.4425489236
-425113.147821688,-287168.06279472,NA,NA,-287168.06279472,41690.7082558058,27744.4518233705,NA,NA,27744.4518233705
996709.934625987,581356.070884304,NA,NA,581356.070884304,159729.299660712,73318.2789209513,NA,NA,73318.2789209513
-795640.991480223,-228871.337201902,NA,NA,-228871.337201902,60689.5494901994,24594.2606714561,NA,NA,24594.2606714561
252634.074967477,146499.352621315,NA,NA,146499.352621315,136973.498395945,43315.0932128154,NA,NA,43315.0932128154
214552.93796463,186093.20209343,NA,NA,186093.20209343,44549.1644103789,29188.4745229853,NA,NA,29188.4745229853
154996.401728645,155989.738099774,NA,NA,155989.738099774,30472.2459143871,24070.9091463481,NA,NA,24070.9091463481
60387.2778366976,74565.6155226393,NA,NA,74565.6155226393,30540.4929538045,21945.2158617903,NA,NA,21945.2158617903
-47971.3236266093,26980.2396019077,NA,NA,26980.2396019077,11198.0494820141,7798.64428680926,NA,NA,7798.64428680926
-244803.58958863,-109034.879139658,NA,NA,-109034.879139658,27.6503622758113,4149.79581822448,NA,NA,4149.79581822448
-60316.1248255126,-7358.00503617657,NA,NA,-7358.00503617657,5417.70670434825,6846.95970889236,NA,NA,6846.95970889236
976.650901289508,45743.7203648755,NA,NA,45743.7203648755,18416.2618936302,14378.8418222333,NA,NA,14378.8418222333
225906.83369339,191067.648263509,NA,NA,191067.648263509,44590.0887568551,24148.9002421138,NA,NA,24148.9002421138
