"n_TOTAL_costs_6mo","n_TOTAL_costs_1yr","n_TOTAL_costs_5yr","n_TOTAL_costs_10yr","n_TOTAL_costs_life","n_HEALTH_SECTOR_costs_6mo","n_HEALTH_SECTOR_costs_1yr","n_HEALTH_SECTOR_costs_5yr","n_HEALTH_SECTOR_costs_10yr","n_HEALTH_SECTOR_costs_life","n_CRIMINAL_costs_6mo","n_CRIMINAL_costs_1yr","n_CRIMINAL_costs_5yr","n_CRIMINAL_costs_10yr","n_CRIMINAL_costs_life","n_TX_costs_6mo","n_TX_costs_1yr","n_TX_costs_5yr","n_TX_costs_10yr","n_TX_costs_life","n_HRU_costs_6mo","n_HRU_costs_1yr","n_HRU_costs_5yr","n_HRU_costs_10yr","n_HRU_costs_life","n_TOTAL_qalys_6mo","n_TOTAL_qalys_1yr","n_TOTAL_qalys_5yr","n_TOTAL_qalys_10yr","n_TOTAL_qalys_life"
26867.6777482452,47629.9895738127,NA,NA,47629.9895738127,2197.75966046911,3364.87374512313,NA,NA,3364.87374512313,24669.9180877761,44265.1158286896,NA,NA,44265.1158286896,820.182967439033,1047.99515896474,NA,NA,1047.99515896474,1374.29934209752,2311.12569524515,NA,NA,2311.12569524515,0.291667623024018,0.458076818983846,NA,NA,0.458076818983846
22198.917853533,40633.6617414891,NA,NA,40633.6617414891,2303.34841961777,3747.25486114555,NA,NA,3747.25486114555,19895.5694339153,36886.4068803436,NA,NA,36886.4068803436,1054.84660723215,1464.98515435967,NA,NA,1464.98515435967,1245.14499689881,2276.04143683755,NA,NA,2276.04143683755,0.29275593223581,0.466530662406183,NA,NA,0.466530662406183
25772.6678448467,46456.1125510202,NA,NA,46456.1125510202,1981.03297742292,3188.7517278909,NA,NA,3188.7517278909,23791.6348674238,43267.3608231293,NA,NA,43267.3608231293,1019.69743464283,1397.08341379011,NA,NA,1397.08341379011,957.998089624181,1785.61531475306,NA,NA,1785.61531475306,0.279373986661451,0.438195250766924,NA,NA,0.438195250766924
22867.1827015543,39969.9738488479,NA,NA,39969.9738488479,2212.02450051922,3404.89465673637,NA,NA,3404.89465673637,20655.1582010351,36565.0791921116,NA,NA,36565.0791921116,941.164263462471,1257.02041013157,NA,NA,1257.02041013157,1267.55887983972,2141.99351526227,NA,NA,2141.99351526227,0.291796224349144,0.448829452492336,NA,NA,0.448829452492336
22022.07869585,36581.8275214419,NA,NA,36581.8275214419,2288.43130230503,3501.13576889813,NA,NA,3501.13576889813,19733.647393545,33080.6917525438,NA,NA,33080.6917525438,844.427716710191,1093.6849253856,NA,NA,1093.6849253856,1440.76388160964,2401.94463064565,NA,NA,2401.94463064565,0.276733133564925,0.414693744999467,NA,NA,0.414693744999467
20644.116048641,36246.4654435872,NA,NA,36246.4654435872,2456.00973769214,3837.4810160258,NA,NA,3837.4810160258,18188.1063109489,32408.9844275614,NA,NA,32408.9844275614,1011.91967322821,1375.7344837633,NA,NA,1375.7344837633,1440.72783742987,2455.49330379599,NA,NA,2455.49330379599,0.289500461524957,0.452558566110953,NA,NA,0.452558566110953
24846.8209829205,41160.0693271342,NA,NA,41160.0693271342,3229.2934812838,5151.13366166956,NA,NA,5151.13366166956,21617.5275016367,36008.9356654647,NA,NA,36008.9356654647,1004.50087895149,1383.39444152541,NA,NA,1383.39444152541,2221.47525879963,3761.79357552803,NA,NA,3761.79357552803,0.252550646618751,0.378430861634201,NA,NA,0.378430861634201
20882.06252459,34179.3518045001,NA,NA,34179.3518045001,2658.12098270691,4076.94437303191,NA,NA,4076.94437303191,18223.9415418831,30102.4074314682,NA,NA,30102.4074314682,897.256033505967,1172.13222928516,NA,NA,1172.13222928516,1757.52805568741,2898.76670318513,NA,NA,2898.76670318513,0.28082517388267,0.414195122439941,NA,NA,0.414195122439941
28805.7539003943,50970.0981527877,NA,NA,50970.0981527877,2350.52920339933,3704.6915473476,NA,NA,3704.6915473476,26455.224696995,47265.4066054401,NA,NA,47265.4066054401,935.66463145538,1262.17790756654,NA,NA,1262.17790756654,1411.55170555808,2436.59419613935,NA,NA,2436.59419613935,0.267998243574355,0.414012650697361,NA,NA,0.414012650697361
26398.3662258345,44050.1600006465,NA,NA,44050.1600006465,3100.68869844891,4763.95714540719,NA,NA,4763.95714540719,23297.6775273856,39286.2028552393,NA,NA,39286.2028552393,847.585779488655,1092.35987015952,NA,NA,1092.35987015952,2249.80523270895,3665.80157305146,NA,NA,3665.80157305146,0.2788714216717,0.419637604367329,NA,NA,0.419637604367329
23727.9037584341,44534.9472759744,NA,NA,44534.9472759744,2458.57471138968,4014.30799079946,NA,NA,4014.30799079946,21269.3290470445,40520.639285175,NA,NA,40520.639285175,1037.40008099798,1422.96663108872,NA,NA,1422.96663108872,1417.87545257622,2585.44821355787,NA,NA,2585.44821355787,0.284845822936748,0.456208430578588,NA,NA,0.456208430578588
19550.0235551957,32154.750962222,NA,NA,32154.750962222,2304.49180418781,3461.00820320589,NA,NA,3461.00820320589,17245.5317510079,28693.7427590161,NA,NA,28693.7427590161,879.132053730455,1124.95635375993,NA,NA,1124.95635375993,1422.12308990596,2330.57816790788,NA,NA,2330.57816790788,0.284810067325434,0.419792972438901,NA,NA,0.419792972438901
24502.1205254519,43841.7667722246,NA,NA,43841.7667722246,2182.34627333571,3468.70317520865,NA,NA,3468.70317520865,22319.7742521162,40373.0635970159,NA,NA,40373.0635970159,1100.74563619814,1542.0078837138,NA,NA,1542.0078837138,1078.26443280248,1920.6061604638,NA,NA,1920.6061604638,0.278791951630548,0.43510218022414,NA,NA,0.43510218022414
13626.8963587499,22787.4654308559,NA,NA,22787.4654308559,2575.63942282776,3926.04027437516,NA,NA,3926.04027437516,11051.2569359221,18861.4251564808,NA,NA,18861.4251564808,939.601841090571,1247.09370350086,NA,NA,1247.09370350086,1632.81759620792,2673.55793006058,NA,NA,2673.55793006058,0.278092272596065,0.421465618793432,NA,NA,0.421465618793432
11903.3631206045,19158.3269951646,NA,NA,19158.3269951646,1810.59363229301,2774.66303315569,NA,NA,2774.66303315569,10092.7694883115,16383.6639620089,NA,NA,16383.6639620089,874.219065587127,1110.51188604733,NA,NA,1110.51188604733,933.125711128773,1658.59046959904,NA,NA,1658.59046959904,0.256861097482573,0.385129880506567,NA,NA,0.385129880506567
12733.2200781377,22266.7625669735,NA,NA,22266.7625669735,2147.28199018153,3496.41089222638,NA,NA,3496.41089222638,10585.9380879562,18770.3516747471,NA,NA,18770.3516747471,1069.53172562465,1503.99950078018,NA,NA,1503.99950078018,1074.42535364058,1986.39294550948,NA,NA,1986.39294550948,0.291122342913602,0.468293519410173,NA,NA,0.468293519410173
36404.023777739,61230.3277300868,NA,NA,61230.3277300868,2423.37098322831,3666.9277949936,NA,NA,3666.9277949936,33980.6527945107,57563.3999350932,NA,NA,57563.3999350932,776.392457776688,984.166713880258,NA,NA,984.166713880258,1643.72291346914,2677.16303031564,NA,NA,2677.16303031564,0.268686610270171,0.4050436855621,NA,NA,0.4050436855621
18147.9570466409,32897.7804683868,NA,NA,32897.7804683868,2344.4783055221,3797.63854649581,NA,NA,3797.63854649581,15803.4787411188,29100.1419218909,NA,NA,29100.1419218909,1075.80741784466,1524.63933643687,NA,NA,1524.63933643687,1265.32785997444,2266.87197689839,NA,NA,2266.87197689839,0.315000620868981,0.509807905401098,NA,NA,0.509807905401098
15858.1226433675,27863.3291072715,NA,NA,27863.3291072715,2025.0955491592,3171.9052259386,NA,NA,3171.9052259386,13833.0270942083,24691.423881333,NA,NA,24691.423881333,1014.60016532428,1423.85568206215,NA,NA,1423.85568206215,1007.26191556701,1742.54196694406,NA,NA,1742.54196694406,0.289754935228386,0.451640725848055,NA,NA,0.451640725848055
23108.7613080865,43085.3232803956,NA,NA,43085.3232803956,2699.29968999072,4362.82635001445,NA,NA,4362.82635001445,20409.4616180957,38722.4969303812,NA,NA,38722.4969303812,940.442020817504,1251.62215218032,NA,NA,1251.62215218032,1755.48286132254,3104.85251443589,NA,NA,3104.85251443589,0.302226762925774,0.486309506327806,NA,NA,0.486309506327806
25780.28724208,44937.5909041981,NA,NA,44937.5909041981,3594.3012267211,5728.62776225505,NA,NA,5728.62776225505,22185.9860153589,39208.9631419431,NA,NA,39208.9631419431,1002.40529470239,1357.36135054861,NA,NA,1357.36135054861,2588.60610268105,4365.54167209224,NA,NA,4365.54167209224,0.28641043542202,0.445140184124962,NA,NA,0.445140184124962
22180.668589044,38722.8158379846,NA,NA,38722.8158379846,2393.51398649011,3752.88420312113,NA,NA,3752.88420312113,19787.1546025539,34969.9316348634,NA,NA,34969.9316348634,967.66917564657,1306.36389930899,NA,NA,1306.36389930899,1422.52769253098,2440.56121079891,NA,NA,2440.56121079891,0.290822194363442,0.448910012486972,NA,NA,0.448910012486972
40925.2354869332,77719.3423592886,NA,NA,77719.3423592886,1905.50614712375,3127.93867639028,NA,NA,3127.93867639028,39019.7293398095,74591.4036828983,NA,NA,74591.4036828983,841.796215003375,1086.01110568699,NA,NA,1086.01110568699,1060.36726037873,2035.69491251391,NA,NA,2035.69491251391,0.287025385689067,0.459307272803129,NA,NA,0.459307272803129
18569.7000264774,32476.7164775988,NA,NA,32476.7164775988,2024.55622082821,3247.12404523754,NA,NA,3247.12404523754,16545.1438056492,29229.5924323612,NA,NA,29229.5924323612,1006.07395924487,1395.23288680215,NA,NA,1395.23288680215,1015.16700484738,1845.95294060022,NA,NA,1845.95294060022,0.262275610535153,0.411215164361525,NA,NA,0.411215164361525
31926.4294798847,58140.2274294379,NA,NA,58140.2274294379,2449.01380062532,4014.64374296135,NA,NA,4014.64374296135,29477.4156792593,54125.5836864766,NA,NA,54125.5836864766,1046.1281494658,1487.50166923965,NA,NA,1487.50166923965,1399.54863364071,2521.04516570714,NA,NA,2521.04516570714,0.301490686338347,0.476515220964033,NA,NA,0.476515220964033
21367.5269927534,38064.4232739699,NA,NA,38064.4232739699,1941.35540084976,3084.83762879385,NA,NA,3084.83762879385,19426.1715919036,34979.5856451761,NA,NA,34979.5856451761,1050.63791504695,1481.64900739063,NA,NA,1481.64900739063,887.444226308578,1597.47089888958,NA,NA,1597.47089888958,0.303543697550245,0.476895082837696,NA,NA,0.476895082837696
20964.5482730987,34837.387029954,NA,NA,34837.387029954,2196.97313192977,3446.00010286591,NA,NA,3446.00010286591,18767.5751411689,31391.386927088,NA,NA,31391.386927088,840.33626422591,1086.36212730921,NA,NA,1086.36212730921,1353.34353274394,2353.83502598432,NA,NA,2353.83502598432,0.282683474664445,0.433818818309753,NA,NA,0.433818818309753
24509.3541529111,45711.9336326396,NA,NA,45711.9336326396,2105.60458574952,3486.54081206544,NA,NA,3486.54081206544,22403.7495671616,42225.3928205742,NA,NA,42225.3928205742,962.708035492296,1280.5599689136,NA,NA,1280.5599689136,1139.52125148301,2199.64207996157,NA,NA,2199.64207996157,0.291410163830818,0.468931322698425,NA,NA,0.468931322698425
