"n_icer_TOTAL_1yr","n_icer_TOTAL_5yr","n_icer_TOTAL_10yr","n_icer_TOTAL_life","n_icer_HEALTH_SECTOR_1yr","n_icer_HEALTH_SECTOR_5yr","n_icer_HEALTH_SECTOR_10yr","n_icer_HEALTH_SECTOR_life"
253104.391399456,-583036.234481743,-129223.46520928,-6144.31513599659,-56991.7676236151,83177.4200984307,26723.29930518,13955.9181482864
-384119.25681296,-254567.323846986,-74815.2437082031,64345.2999352649,132288.093695439,36043.58034263,24226.4524250593,20447.8329485583
-131874.342964808,-23227.1596653669,18346.9884272286,45470.2182938684,-298002.683877301,46911.1545881878,23499.7662187692,14688.4897451568
-12413532.9243145,-641042.501326467,-274024.589525484,-61330.7887146063,672480.50865279,29959.1249506451,18991.1554854206,14077.4271980256
413410.24551792,-464667.835420671,-141215.102108479,-4461.72482943608,-186372.226892975,127093.740718647,50307.8896150466,25200.9134676074
-493532.544531673,-329653.174843609,-188669.501329753,-50235.6383776987,57102.5707196224,24442.5522980964,16798.4687551173,11366.8667626644
-111710.785366205,-68189.3230544803,-11970.9516544232,31831.4864135649,95378.5755043542,36857.6393698677,25106.7444121748,18492.4781634336
-514223.790728426,-157481.497436457,-53037.2941380436,20691.8542330802,163236.62659558,34568.6942598774,22042.1672414016,15491.3278503261
742436.784861849,-1025596.18477797,-274590.723830712,-36210.0255252049,14387.4164853568,-65439.1447583112,-11317.7956514921,8802.44767560059
-603988.24869586,-264301.543706638,-139065.334071355,-35302.3636957573,43655.2637655383,15139.579889379,12158.7822006721,10836.1235070761
-808282.896607949,-364226.183870059,-172886.229465081,-39444.8089130539,19569.3354835943,9882.35296531818,9935.06448648481,10441.0059045337
842581.130937391,-476763.842750789,-155534.081176057,-22576.1990290943,-212183.968366514,92158.3970002755,41366.4345281059,23395.7208035066
-2014263.70268622,-450395.77671325,-199394.82319935,-48491.9498945706,-383333.943251343,-75224.5640940026,-31420.5727984336,-5708.87822545603
-1051589.06636109,-210852.127199517,-77513.1202046751,-162.791536208544,-96081.146601691,-9588.36107877757,784.159547815216,6338.90588402569
-4143163.37674704,-488655.404418424,-216954.28590738,-55170.6147850365,245805.833829063,22337.582697601,15399.8474229982,12375.1670147539
-1857019.67173774,-363248.044804567,-135856.492834175,-3219.74498121192,131055.443814083,22077.1130722757,16424.1933247126,15023.508447969
