"n_TOTAL_costs_1yr","n_TOTAL_costs_5yr","n_TOTAL_costs_10yr","n_TOTAL_costs_life","n_HEALTH_SECTOR_costs_1yr","n_HEALTH_SECTOR_costs_5yr","n_HEALTH_SECTOR_costs_10yr","n_HEALTH_SECTOR_costs_life","n_CRIMINAL_costs_1yr","n_CRIMINAL_costs_5yr","n_CRIMINAL_costs_10yr","n_CRIMINAL_costs_life","n_TX_costs_1yr","n_TX_costs_5yr","n_TX_costs_10yr","n_TX_costs_life","n_HRU_costs_1yr","n_HRU_costs_5yr","n_HRU_costs_10yr","n_HRU_costs_life","n_TOTAL_qalys_1yr","n_TOTAL_qalys_5yr","n_TOTAL_qalys_10yr","n_TOTAL_qalys_life"
46260.7222546845,242571.087359982,426672.253900205,804699.660340942,4840.85717338671,25084.1092013033,46470.4766354203,123672.1286878,41419.8650812978,217486.978158678,380201.777264785,681027.531653141,2550.49184221402,13161.6664845568,23575.3593988792,43019.6202451417,2283.46937048251,11886.6545013117,22824.2478685559,80447.9853049271,0.701557439704613,2.97490122361335,5.01816633039103,8.72352136437498
104595.044963255,571267.96627442,1009368.39844743,1862465.16650191,7292.35191867352,35947.8490396153,65397.909772571,166586.08679296,97302.6930445812,535320.117234805,943970.48867486,1695879.07970895,2583.95317369127,11463.333834143,19808.1255137932,35465.801815129,4701.51271748491,24449.4415826478,45521.2719000382,130927.183270636,0.641390169720766,2.7724193865066,4.69509946844344,8.25373335667012
42726.5832118303,213534.148788694,368127.982788529,656036.672056766,5022.27431472511,25535.2264246956,45919.5950567323,108671.061967213,37704.3088971052,187998.922363998,322208.387731797,547365.610089553,2560.05597416741,11642.2713372141,20002.9619552886,34345.4139435065,2455.33419831637,13857.6720251649,25847.3937969827,74119.7187232396,0.687489558603527,2.90843807008412,4.83974631345109,8.0735130230281
89776.5203993336,461790.480259043,805657.263364301,1454865.74949532,5251.14455467589,25648.7076015369,45477.2576526288,96863.7311202752,84525.3758446577,436141.772657506,760180.005711672,1358002.01837505,2504.11145695228,11063.5869719902,19162.5460304751,34416.4027957075,2740.16434188128,14549.8580906178,26245.6090047506,62254.5082504355,0.652080323447163,2.79132976263574,4.72623550896811,8.32184039706607
51247.0431625943,278378.992249737,497519.152875156,942605.430688532,4502.44940268747,21800.3096125587,39390.4979867507,88327.6310237856,46744.5937599068,256578.682637178,458128.654888406,854277.799664747,2789.45190876683,12810.2059361693,22721.0179443497,43086.1709070436,1706.05162527373,8953.39639492391,16596.1019871476,45031.8712481138,0.672960958845833,2.91151612167185,4.97332387226248,9.02821855218332
77011.7507031052,390990.26254342,694153.956606544,1388581.83522181,4378.26579265604,24747.9212735201,47281.3496354399,126825.308155226,72633.4849104492,366242.3412699,646872.606971104,1261756.52706658,2740.81335266737,15644.0797937606,29553.2618805576,61004.8786563765,1630.47818746911,9066.14777069701,17652.0140508622,65603.6636336602,0.631014400815792,2.77814912663793,4.82397198677448,9.36704071777187
47015.8901650612,235123.006281379,401090.749707731,691887.836436059,4566.78895640639,23004.0876149266,40499.5024503244,89352.8158022686,42449.1012086549,212118.918666452,360591.247257407,602535.020633791,2655.64673529712,11371.9692598564,19079.4668216062,31629.9799984122,1904.22012204008,11596.8313751002,21352.0186356824,57534.3297420261,0.627591822882361,2.64482266842846,4.37035481355175,7.23860844509134
60945.9950393005,296411.30000115,517475.111191762,962823.125256897,5147.30704952608,28530.3638696994,51979.5826502587,113662.907566885,55798.6879897744,267880.93613145,465495.528541503,849160.217690012,2766.98961010876,13714.1697639753,24380.015527354,45141.6551710011,2373.39478560698,14780.3357273587,27528.8507107556,68321.4245873304,0.680483297499264,2.95164211813363,5.04108308983293,9.03737689707956
77497.6479401965,407851.285576251,716824.46462617,1329880.76586783,13685.9009427274,72804.6708617758,129352.94059959,259590.98243678,63811.7469974691,335046.614714475,587471.52402658,1070289.78343105,2922.12960203651,14955.2179129593,26600.9982206312,48906.2432477328,10756.8548920679,57813.4551338443,102680.668485313,210474.894967459,0.682802032586373,2.93768958235356,4.98231163053021,8.86948005449341
59493.7758986527,270122.907468761,459802.561869493,828285.889688307,5459.2421145451,27828.7022185304,49881.2189677191,109899.47820322,54034.5337841076,242294.205250231,409921.342901774,718386.411485087,2621.88723067638,14099.0628704925,25298.1440503587,46041.3865671269,2830.4466196349,13693.9175416361,24512.3110017661,63647.8179510985,0.617869925100552,2.63690789774641,4.44752603212372,7.7791465801177
106927.744753338,491621.2995012,805871.207861478,1291498.32707293,6687.83316477828,31313.1533988855,53907.2462359277,115689.231624541,100239.91158856,460308.146102314,751963.96162555,1175809.09544839,2526.06952652576,12115.9250404491,20460.0524764529,32825.5676397126,4154.86605583911,19162.2549556958,33379.2184868034,82652.5656118006,0.616876824669896,2.55547720388466,4.1446340221447,6.49987890024018
56594.5408709855,288774.960121637,501705.231398806,902939.618287346,4673.46136444874,24104.999391021,43505.4756400951,100052.656112982,51921.0795065367,264669.960730616,458199.755758711,802886.962174363,2601.25663390573,12459.5014602376,21767.7090001335,38509.0647576633,2065.27377597109,11609.1484952574,21665.8349056696,61337.4848044921,0.686654693225219,2.9154504623957,4.89857355801797,8.38929539188788
83995.7464913841,378089.519319923,633240.883261351,1059153.37293744,18252.8145768153,77576.981428331,130422.090218741,239323.803384238,65742.9319145688,300512.537891592,502818.79304261,819829.569553199,2275.13533234042,10551.1007615137,17944.9392121826,29732.4233985132,15970.7159919309,66989.3413838194,112404.940839001,209376.687325225,0.623397543525157,2.61380771580379,4.30252535716966,6.98258904748066
68750.3410325359,308911.649353098,506394.002137953,837825.025188404,9286.50946754942,38502.4180177028,63746.5158985102,126763.000442048,59463.8315649865,270409.231335396,442647.486239443,711062.024746355,2679.4226752672,13541.471969668,22927.0076321636,37686.2336773462,6600.15771821098,24925.0002278571,40749.2627603814,88857.8383969124,0.609111333011055,2.48904479230155,4.03023949450486,6.54866946358793
73344.3811123515,351433.495394257,603060.138355138,1077187.17825831,5513.64950620156,28538.5130965565,51221.8162297541,116897.815569638,67830.73160615,322894.9822977,551838.322125384,960289.362688668,2470.20851850693,12050.4150039424,21041.6579360076,37124.9972891671,3036.52841985655,16452.097700797,30109.097859359,79564.1843167254,0.623979636694508,2.63974989102714,4.42743471393805,7.6460160167755
93105.6172608246,441396.449234625,747721.349352793,1353841.76682879,9259.11507100631,45570.1466808092,82905.4690850043,234266.278929826,83846.5021898183,395826.302553816,664815.880267788,1119575.48789896,2672.19301523013,13236.0941472265,22814.2352192341,38965.8725002005,6579.97933486298,32298.2749631957,60021.3174295213,195089.312001456,0.636263457222878,2.67620905092308,4.43185724621969,7.45378411679021
54081.1420837174,263621.943816377,446801.110939906,762280.837726305,5851.46772869403,29505.1693121669,51894.8152675982,112217.154247743,48229.6743550234,234116.77450421,394906.295672308,650063.683478562,2721.59640086603,13122.4731439216,22423.0642289112,37170.5691345803,3122.9004227962,16346.4815519662,29400.7484372325,74836.1627941057,0.673825028641379,2.81418116737149,4.62520019393709,7.47620628709455
53933.1102582533,266756.83919653,468922.03911599,887952.152412627,7696.27282304937,33815.5208499953,59818.4938142614,128841.460510513,46236.8374352039,232941.318346535,409103.545301729,759110.691902114,2425.85102345928,12143.50764686,21850.5740489666,41746.6047258689,5263.41748919841,21634.5184641474,37893.0731913944,86885.4793863393,0.657690410498129,2.84101734621673,4.85743219467466,8.85440316508518
77508.5124046502,360609.451762984,612595.072251668,1077280.16900021,7480.89443844059,36454.8643917112,64467.9122817243,147005.403440723,70027.6179662096,324154.587371273,548127.159969944,930274.76555949,2554.73973451278,12954.7443368596,22570.2349832439,39231.6282631948,4919.23859916533,23464.5775747883,41828.2217435015,107570.884959565,0.652128724884807,2.74192484956093,4.5626477951431,7.70184882457884
