"n_icer_TOTAL_6mo","n_icer_TOTAL_1yr","n_icer_TOTAL_5yr","n_icer_TOTAL_10yr","n_icer_TOTAL_life","n_icer_HEALTH_SECTOR_6mo","n_icer_HEALTH_SECTOR_1yr","n_icer_HEALTH_SECTOR_5yr","n_icer_HEALTH_SECTOR_10yr","n_icer_HEALTH_SECTOR_life"
159396.744643914,463008.795097419,-483697.50984195,-192803.596436494,-67196.0363518645,-366847.391736312,-493361.954670347,255429.008925602,99715.678927113,44504.3035049944
388984.771904647,1185369.23828734,-331738.822193029,-139540.630302691,-46228.7434512577,-183212.879714946,-396739.350771222,81172.5866064298,38303.844716931,17360.7319745255
-467055.294717068,-586864.706814356,468661.679968378,134013.586255027,71276.2598283761,-181930.438434494,-261482.330005554,348546.694419094,111798.334431569,44946.9137795648
1596096.92611142,695784.375543162,18566.585171422,30711.2568424952,40324.1951138897,1886111.17686721,1424177.53011838,129762.873565834,60217.7001793523,28414.6022673752
-399462.977398523,-330070.423470591,118932.40701138,52210.3573702685,41673.2317150973,-262516.298379094,-324834.925751964,279658.72544974,91838.0591338039,37908.714318692
-611170.775115226,-542312.937947692,-242716.889039765,-136266.246297763,-56390.0994127212,207430.315687875,139461.453754752,47982.9443338366,30651.1026945581,17823.1161538769
193925.387568892,133668.945223244,49824.307536134,36971.4126970105,30045.3803631261,176494.766830104,160484.019982034,84543.8946016325,55741.4559096923,31227.047125334
332823.606775411,435030.817699812,-15345952.8381049,-448561.802443604,-125477.293045901,-102551.783788338,-110234.918073116,3129998.65929019,100432.487986473,35990.0968767729
-453535.20367409,-613827.440254952,-342433.718556868,-191677.642542742,-81920.4806521557,317543.206533706,283876.524724469,103895.525766483,59434.4882552358,30739.9606994788
-2870269.75143834,-1440028.44296729,-293828.425783638,-157219.578767002,-67537.3537936334,971647.007200756,512713.372541668,101148.308079022,54584.8940922723,27429.3676040384
487910.67325556,617955.429980157,-712806.236129858,-195201.060226013,-60469.7160441977,-148716.113875175,-179013.107613961,202986.202937722,62468.7174803796,25896.6864329251
-1090859.65333177,-3718014.82775647,106045.271668782,60344.0148824127,51109.7451175059,-350732.593702522,-1559898.59256322,90241.9502102917,45279.2830686002,23687.6143159551
-1279244.34161919,-1334311.85665784,-3872729.43841593,4421712.82916969,929651.847304569,-84308.6938814133,-95490.9678018687,-320769.587962732,373484.443130783,75774.477729747
708942.838626886,469918.035614946,62111.9769728332,40410.2827744063,40629.4330979988,485057.249676328,445703.261696454,174640.48166236,96723.8973939633,48594.0797929073
85922.6864502592,99604.4239076469,174611.456921899,392561.949579143,-156306.536449373,-48781.6268610654,-55160.0094559278,-96209.6908364915,-225918.83158679,106872.557833075
220569.864258848,139384.541097005,48530.487198442,41675.5397790362,40251.8823507789,103008.519541313,77979.9380357744,40355.8876743565,28901.2718567868,18714.4146848722
-278702.504115782,-327667.197027622,-1052997.68266231,1377047.90016169,270789.629684409,-97177.8621578573,-114774.750343343,-359887.881551893,444250.443244593,74323.5882067315
1685780.25764722,1553255.10845433,881281.503938836,584002.251411275,322260.57262315,210033.636062581,213602.625371675,149442.955749627,101498.461716563,53603.3927298874
-301652.824259934,-341120.999316281,-1002335.49108405,557405.910268129,132854.024712368,-188072.337624859,-205945.623536265,-745323.116633218,453730.886811481,94253.6122999302
1975884.53718343,1587918.91379368,427569.099029943,225312.42676812,120721.538855069,401215.169795359,350553.579987907,112349.718920509,59822.2189876941,29178.2494108782
767376.374901814,91223.9906187973,-805.021221146048,13309.1213781758,27938.7544932172,845967.948796262,213159.000466936,40694.0393838057,25198.3816988138,15957.6350833783
-1748506.85702063,-2752617.12534924,437386.473295995,195959.85289033,113472.630937231,-645353.692400676,-1078194.39104789,201048.45461902,88478.3412932923,44288.1692690386
-95522.3657733913,-38525.5914990002,400102.36639364,-268530.966360136,-25740.6291917021,-126111.268138274,-146926.687679848,-589186.389020947,408397.067183274,94869.4796948762
390892.739634922,420828.294623765,3117842.58318715,-522347.874501792,-118170.306450147,-133620.270251316,-151328.303787833,-1184962.39552284,206111.213180419,53665.9953871078
1234707.16925422,1196236.69885696,753203.185859531,510283.805162536,294913.256569795,153736.504789029,157797.901482171,106151.679370854,71569.1069769085,39458.326611476
715154.206424375,407654.941432386,63261.0548746304,45436.8150348455,40622.7399325407,390591.3032319,310593.90468148,91467.3793686312,54232.5348726307,30183.3687541481
-1055060.37227603,-1123840.87469799,296647.293077309,113626.1326366,62139.4902189502,-326416.601668271,-408058.700918788,153787.788449964,56934.3169739087,23638.1583350263
822791.693675488,950098.12910525,-12135863.5330197,-782277.398591495,-227800.827879206,-230502.663716833,-268759.400781756,3536338.99121953,234710.985357206,72720.3734539376
-136780.18995104,-147795.516096698,-1527246.30763845,182659.625206564,74490.7052836974,-136573.156873667,-159398.179705749,-1812086.40028373,185901.099286436,52494.3917722887
1180507.89619638,1027925.72291334,261911.891760115,137795.243789088,79437.7218427724,390336.556565251,382675.538545715,123758.142445768,65549.2679645683,31722.6210163804
815239.614994918,622590.68886674,153851.52895686,92576.670542689,66313.5025970399,248770.140516252,245620.648984668,116166.049512418,68443.7034822358,34329.7818389779
-43618.8235631592,-38129.7286485886,143.809392670741,2998.85960322325,20550.0471081149,-139137.582245167,-160203.604729673,-911033.620508073,281113.222649248,77951.281588927
-104307.124440198,-136463.278412027,-94208.1188626061,-52657.3850573791,-12799.047691131,95485.4201467945,95717.1092651043,63731.2012195743,46545.4843478173,29557.8094692066
828947.183331359,477186.814220575,79298.0869271094,36109.0687861171,29319.0364786012,685421.182444506,441874.491157374,130893.04318691,74750.1105705667,39104.8224700733
2695153.42532904,2111422.31445525,826277.33971544,529450.690050912,315235.027292479,293240.388555229,240788.202528544,100347.100770826,64653.7508513763,36796.3713481864
-403865.195454057,-444346.56843114,828772.337199984,219023.799127982,104702.845098706,-103860.644090425,-134490.989995884,296842.00972941,73980.1295360165,28633.0790488712
15011782.4050759,31392489.5632461,-1557777.24909566,-722230.408415644,-337543.216736944,-1436180.07898727,-3427189.94611604,209536.645278771,102666.870226493,51606.7337591891
4092809.59578929,3144885.12736911,-1304382.6924448,-422991.298088866,-151815.622873971,-1484022.06620485,-1221651.10782114,567352.915817498,189119.073625458,74300.0822170884
-45173.0989314985,-90493.0352068034,-67518.9250267156,-33924.3250772469,-5181.3250275063,117850.502534068,99869.1151065672,41772.0899386088,26743.6465840671,15305.6933168127
1101531.58796237,1949763.3505146,-731864.715270177,-288613.836408562,-96035.6853968038,-497416.704915725,-887278.118794937,317504.443518649,132445.919391056,54896.0208506332
-491353.674873622,-474035.256068916,-767630.054243065,-11242142.9904296,349892.428885312,-112308.592253122,-127321.187770339,-285518.727395494,-4337080.52544182,125974.170509819
2944160.74647722,1318472.02610937,162756.799155115,99999.6926734237,74675.5748233846,660291.837861167,417797.085372126,100698.698113373,55879.4038316131,28701.7880381217
-2208281.90553229,3889264.51646498,108971.181439429,62829.3027173352,48165.4096484133,-718353.981251552,1507845.20537974,65360.00577747,34875.1126570158,18744.4701183554
80299.111012776,145135.009925672,-537921.397288393,-163910.166796248,-50307.7970064358,-238048.112184603,-324261.91833182,571257.902072445,165752.095465439,64866.536473368
102984.065611935,33920.2928050867,-3623.36620947453,8502.65250836198,20283.208535836,53472.7250531967,43523.0352129236,21076.9513310821,15161.2878687957,9554.78713605447
785919.356965459,875279.08866307,4311343.89909012,-1183707.07064639,-252146.688926979,-120315.813301875,-140584.962257845,-758299.832965362,224376.206516086,56691.328096661
174156.491669449,125454.949305817,35510.0711307515,25516.3923471643,24554.6365708286,191440.960454639,157249.506101557,69775.6022317028,46426.0031680999,27589.906759942
988132.069933083,642473.406940457,95395.7626811533,54208.4124021127,37114.2208310308,1245161.52809616,1099040.09542679,235654.079725854,117726.451999071,53327.819130615
-454068.965918181,-396667.06810571,-55088.2699249002,-19248.0590864738,15010.6178116015,-407851.407234848,-649472.192249639,279857.432586003,118196.634204144,52002.198044196
-41204.3443491871,21896.3171040596,-48219.2317618466,-2382.98002440082,19748.3629059787,-99952.4509173678,-145149.588656349,73913.8712236907,32808.8109221388,16098.450376673
307539.868013948,679629.81146679,-325245.054787753,-128771.851093741,-38818.2117955343,-184754.549815593,-327880.910926034,122621.763665075,52132.4183905386,23037.9926172963
-1019780.67441818,-996595.689499943,-555463.009840855,-333833.331527513,-161562.039897312,116875.111426284,118596.416816786,71122.881358789,45443.1445402503,24778.0710615874
172612.573761304,282779.405089863,-2644794.90957145,-258301.91576936,-70107.4211647647,-104551.715951248,-128627.800811184,1042029.7435756,114314.171304487,41715.9298679897
-235546.625345492,-135732.764725106,-57478.1687585124,-21051.3849618157,5098.97364487518,-327181.960854471,-424328.571962309,136485.865205666,55288.3154210275,25675.4734260472
329713.167274989,386348.946149282,-4494446.93371166,-296981.212346799,-85881.0739539791,-96152.571328721,-109532.28453075,1367080.75491572,105378.149716876,40869.5885962479
-340054.480192811,-480978.617058911,334407.563906729,128182.220397578,69235.3696618132,-159774.432655976,-231197.044685941,171832.174074192,64635.9763723874,28002.2029475336
