"n_icer_TOTAL_6mo","n_icer_TOTAL_1yr","n_icer_TOTAL_5yr","n_icer_TOTAL_10yr","n_icer_TOTAL_life","n_icer_HEALTH_SECTOR_6mo","n_icer_HEALTH_SECTOR_1yr","n_icer_HEALTH_SECTOR_5yr","n_icer_HEALTH_SECTOR_10yr","n_icer_HEALTH_SECTOR_life"
-201623.32136156,-340207.460441744,-316505.567191602,-191744.643217002,-66226.7036048914,158376.129328141,136997.239197827,58571.1822338937,37300.9360843463,21041.7269303711
-250658.866373273,-246655.44104776,-23566.4702296974,54979.5147593873,99151.3897269793,-232138.204319643,-213157.918655281,-137026.339434594,-102218.744921639,-83898.4573590702
549072.955633717,1019389.61509214,-19115520.384091,-1315047.09305209,-391016.890721615,-152784.893253325,-172158.575100045,1965600.46806099,137621.059032992,47662.6682035159
1593478.54554804,10705433.3848274,-891237.079576418,-411502.849787887,-146962.094238476,-631304.325849758,-2500231.94029351,126119.69697807,60101.4451572664,27096.1756438597
881879.96419767,1498461.06250886,-2519839.63012296,-687912.213805578,-208787.030689416,-294805.669275138,-299207.624084424,318452.052103265,94101.5600904557,38332.4122528098
-312038.829097428,-99678.6482601423,-666092.19110179,-231289.518098959,-52249.989218341,-164321.796500206,-224933.758016326,268664.5153329,87341.0558065444,34822.3779359816
-52330320.5441786,-4130441.52502112,-742750.784944481,-351702.125411366,-119630.450663739,15097781.3416414,789858.242969358,96066.3968937368,49447.7390806399,24498.6037533824
983522.543365459,1684225.12198629,-5096402.66106524,-1132411.8008338,-339585.946520142,-116314.638858459,-141312.547378692,295968.897411437,70322.1762907708,27639.1516096375
-270900.32997189,-323386.535299676,-255551.750694624,-167503.86433455,-68162.078572507,53762.3806947239,47281.8369437415,27010.4570580429,19809.4941199638,12603.5590818808
-2414524.72923916,1297390.27456821,-73231.0674261781,-27359.7925743659,23885.1540284939,-785054.761765666,778438.91700275,66557.2490670035,37215.922360421,19020.5402073858
-730376.278479182,-955738.066790373,-772196.683732382,-493780.749140268,-241345.192087531,167504.700639701,186241.553995904,121986.951353133,80042.7769111796,45363.9779776605
2452842.14629331,8471944.46507214,-587857.186932354,-256065.741693639,-79829.7629201814,-668280.214616192,-1822255.96441031,96664.4734517668,46753.9481480313,22582.5191833276
-1030597.84397338,-1319548.43376885,-272905.439087762,-113515.761874215,-19777.2811197111,2445038.49456934,1065951.9036099,111747.001975795,55263.7045506449,27310.8556848507
257966.795205153,618133.241725402,-204152064.316625,-1197575.78332844,-315327.147767648,-222773.041907748,-254256.546311566,44403908.4794056,263845.766376317,83828.2122403319
-361617.230330491,-220338.926970307,-105669.060631583,-11840.3563965189,36769.6507305109,-121956.657632225,-163257.215883442,117400.90175963,47218.1067373331,22279.9969229147
428763.830099081,840568.268477482,-6223045.23756369,-830383.932947891,-238075.942011839,-166228.015705018,-194247.770915169,901418.447982196,125259.875692682,44721.604559463
184425.823848485,279210.619470709,825319.285341106,27556632.8198713,-316607.329162303,-53301.3315452421,-60200.02980634,-125809.491783177,-4314467.22557902,60815.6180727468
649814.782941414,1087840.40980349,-991434.106688318,-349851.880582949,-116753.333083502,-90024.6926043362,-108044.167366008,72530.6885570122,30067.6387216569,15837.98036824
413004.788045052,170287.047647591,-194668.850968473,-146439.647619096,-54916.3798936656,276394.131579649,276331.441148262,168349.801541673,119038.617072297,70832.2430034177
-1068134.19182743,-746921.684918001,-163261.580846208,-56242.6474478323,14640.9709715724,-402374.168832697,-747572.676865555,159522.851112514,72720.0740986933,32605.1961671925
973427.005337155,-3507215.45172681,-218380.585738853,-78936.5347172462,-1894.61038064291,-423228.311718658,601078.260874353,20458.5460295689,14198.2584554598,10626.6728909127
-654499.577686912,-693850.482148597,-344044.053285025,-187046.500868193,-70709.2733046693,166203.136084952,129648.200912335,49382.8454605288,30945.1845887023,17139.0713206416
-993071.345674329,-843128.208577708,-336411.071010295,-178627.104710813,-64722.4785483478,150159.414041874,110246.603267496,41677.3832827917,28389.5627124442,18208.1862565248
-512501.091014674,-587654.983660101,-397290.572705744,-241436.192253109,-98680.5679609118,155190.905135289,138116.127023159,68744.4417343042,45731.1599113088,26788.2950948369
-283341.574035237,-831563.658817291,-990127.367649804,-687368.808450422,-356312.633017961,462037.484693206,399551.475637198,175325.182263468,112363.348542054,64243.0796969086
-50870459.7981436,-7012895.22413447,-810473.305467377,-393860.483404248,-159753.591762127,4450544.44146086,527028.727845953,50183.8108382752,27063.9102354279,13522.2053466938
-78382.821051772,335073.595867436,-1432128.51291315,-356413.783375247,-73032.3354881782,-239962.089081218,-264274.230204944,321979.806298677,83249.5932818991,32348.8345806906
298831.60745296,532456.618082301,1689826.70074917,-21039807.2081381,-530087.06405509,-54243.4465949769,-58788.3020069656,-128145.254607124,1780264.74601039,59577.220983929
-62501.6419215589,-314406.142125774,-495825.560730586,-338653.573452106,-160792.940610461,199045.474300123,183837.376736081,108934.829855426,74153.1393264607,43824.1444027228
9686.55359027592,162566.493607867,-1980790.10547588,-242420.41410499,-41401.9995959623,-149041.363287016,-172483.081856688,909108.479429001,128923.258071365,47901.276708953
-13434070.7709911,-3173035.53060707,-502880.92363682,-235790.66634638,-73077.2496835971,4092090.87551136,682861.911102438,78466.5874206247,42174.6193322972,21750.4927938143
-24076.8406487466,-132080.067947972,-139568.573511813,-76090.5300488302,-14170.8287265237,192348.318177165,164541.663605886,68627.0397096302,43178.038539902,24030.266865507
150343.242223068,315608.633479427,-1448736.06835819,-313678.754610975,-91169.1088235371,-133206.777824251,-168848.260743451,457876.735650689,102556.415888227,40108.5263704166
-3947050.79215726,-2365717.54390497,-737500.517527748,-405594.863982706,-164925.675500318,600005.354890983,275241.580639472,67999.3452027385,40406.6128926218,21258.6535347955
93248.5511012147,141512.233661171,394148.296715317,-1234832.39729397,-59642.5017626992,-42396.7481726244,-44287.248863426,-98947.7229326772,406988.149230624,43428.6475795857
396832.618203409,555006.575478556,1495838.74511843,68841169.6179801,-563353.859747701,-79160.1378089756,-86442.2912805471,-174404.474007685,-8363491.67339881,80827.6719509474
959729.905543526,1248549.44717318,-5173815.10959931,-874248.485027694,-239931.044108348,-193017.448720902,-222142.418893407,725941.224453845,124507.292893593,41629.3401372782
-2246071.43754328,-3069070.01130265,-1426353.34118653,-746617.154636333,-306026.605838309,357069.370209588,326747.050530298,104899.186749648,57591.1126338903,28119.1991926786
-4997867.69201508,-3485574.30613646,-911352.387347001,-468899.659840172,-193490.593645946,1825703.03756035,700053.365012641,111675.972667592,60679.1930721872,32156.047637582
-132856.549242823,116456.011161789,-2363975.74029438,-405424.14417491,-93409.7428611235,-139665.002921262,-164682.581580812,626084.308940173,113362.192477399,43757.6126370789
149229.859635187,-236097.925628015,-309883.556969539,-164322.430133558,-39693.3794558926,158299.379408193,143807.27643353,54545.9117586198,33051.2505683949,18249.6220243607
33927.5056718782,147590.325028183,-354395.460969112,-83873.2006705488,1091.81038912301,-97799.1156231793,-125330.909145158,155157.026153854,50341.3014879239,22408.2072623613
133658.013318349,332601.748026929,-2249606.20541353,-363009.110094814,-83469.3092505233,-109778.802551509,-138752.98073727,547369.446288245,99551.1726377337,37450.0501028345
-2429684.34497025,-3334784.41056433,324261.541409981,153053.933175202,105122.862099897,-618600.434112421,-1039288.27479883,181752.731172311,80641.4402251357,37390.2932433097
-1025484.25289737,-1176382.17429721,-755065.999288854,-457274.521534402,-202135.914422702,74712.3487842995,63388.337779535,31950.7723396202,22245.8493472504,14018.9279145698
-1256322.09498589,-1120263.37763226,-455390.864922426,-241349.809847445,-79257.7009735047,393252.718301942,209461.010080304,49589.674076119,28474.5093303379,14860.4496004079
2307032.42833159,5105887.57610619,-2203338.4827937,-977142.606681631,-420701.905964833,-368910.522524597,-678323.668046539,241628.29329615,111260.184697002,52838.3663212584
9360.0744525951,198004.166843614,-1157719.98458709,-274836.077749744,-71251.2646696445,-101241.441851367,-134607.062380204,364900.539866721,93652.188198533,40264.5281946998
2060876.29796187,2911424.65254617,-1409655.66473155,-537483.177338471,-212391.763069848,-283888.228217528,-348403.75219115,145511.835782093,62337.1529515922,31458.0606598494
1471985.46986384,3476066.84549796,-966659.533031819,-403969.579243135,-131937.37984339,-302979.785644844,-536654.443418198,102836.971855097,44759.9670985507,19637.30746657
-544693.453530395,-993198.710143459,-987741.626089385,-653900.420551264,-316439.652342483,136255.563421304,125895.707511331,72079.4893632362,49234.9225224698,29072.9943173119
-2582674.33976376,-1718888.61209813,-538331.568988313,-295407.28041038,-111572.191632756,995967.870316477,439059.404549439,75892.8274861163,41499.4820142025,20795.3298374279
-3655291.61204276,-4666515.12853668,-1007453.47642688,-466942.966628535,-188450.022542729,824440.472294016,830501.421078659,141546.212475954,70873.4788108652,35974.7805463871
-6568.15208893081,-84673.3884100153,-137956.545152225,-84322.6321352856,-20922.0253913046,68385.8143010043,69499.9186074406,47339.6012257941,33596.4131443974,20236.5045885525
-223053.841990226,-379250.192835377,-322719.156071344,-194885.644503562,-70244.2878322514,150512.208940134,135400.33061208,63429.949066616,41770.8387436495,24853.3205863876
173288.389967997,334016.380261548,2290542.58937189,-1237654.80604888,-220738.501364153,-113674.44182841,-125436.215438647,-459192.365589256,251296.35669967,58093.563655199
767130.786792217,2670418.80962393,-499264.804128965,-235166.859643098,-81101.835011499,-271168.230927896,-727807.391325176,100609.352311959,50931.9105951575,25613.0474032827
-400326.854299084,-455100.146841711,-285768.648319982,-163312.979359972,-59191.6916913091,145231.448895906,103941.258570718,40509.0614154074,26322.2327739686,15360.5598298115
166370.92288888,384097.310032434,2808320.75767706,-1407640.73525821,-273512.321889611,-75801.533988168,-81995.884834709,-323390.423624826,164827.49838561,40135.1274495033
