"n_TOTAL_costs_6mo","n_TOTAL_costs_1yr","n_TOTAL_costs_5yr","n_TOTAL_costs_10yr","n_TOTAL_costs_life","n_HEALTH_SECTOR_costs_6mo","n_HEALTH_SECTOR_costs_1yr","n_HEALTH_SECTOR_costs_5yr","n_HEALTH_SECTOR_costs_10yr","n_HEALTH_SECTOR_costs_life","n_CRIMINAL_costs_6mo","n_CRIMINAL_costs_1yr","n_CRIMINAL_costs_5yr","n_CRIMINAL_costs_10yr","n_CRIMINAL_costs_life","n_TX_costs_6mo","n_TX_costs_1yr","n_TX_costs_5yr","n_TX_costs_10yr","n_TX_costs_life","n_HRU_costs_6mo","n_HRU_costs_1yr","n_HRU_costs_5yr","n_HRU_costs_10yr","n_HRU_costs_life","n_TOTAL_qalys_6mo","n_TOTAL_qalys_1yr","n_TOTAL_qalys_5yr","n_TOTAL_qalys_10yr","n_TOTAL_qalys_life"
8736.77229433517,19510.8154142151,108739.719969369,203668.511749932,450657.315762683,4119.10481342757,7875.91075922324,34189.636446004,61576.3132248211,144552.699023553,4617.66748090761,11634.9046549918,74550.0835233651,142092.198525111,306104.61673913,2857.51319348846,5169.76893217947,19735.2233058271,34206.6718843717,70059.5672588711,1258.14260747222,2699.1767420096,14417.4899846352,27294.6130802683,74269.7804888265,0.321322908845999,0.635459361968013,2.87270999185175,5.08064641279889,10.3858937262297
9667.16407678215,21155.4475209783,117312.183778426,221414.592972736,491185.663439032,4039.06300077657,7710.12262879208,32997.7547335848,58956.8096738664,136865.812142288,5628.10107600558,13445.3248921863,84314.4290448409,162457.783298869,354319.851296744,2919.80772027447,5335.79386745632,20392.0487470947,34978.6894379029,70373.4602484937,1115.82597539953,2367.45156746473,12570.6572403263,23908.3602241682,66281.8208073621,0.336092956282548,0.662981544117823,2.99291196333896,5.29800759800732,10.7848850635404
15553.1736882139,30419.5793284568,132966.797224486,231797.318121876,465136.866240945,4083.07741410887,7759.50215207358,32462.0470526289,57200.2572493855,135372.265637499,11470.096274105,22660.0771763833,100504.750171857,174597.060872491,329764.600603446,2609.31093173447,4598.01463484628,16032.6451736947,26494.5202555809,49447.5886091591,1470.32352212682,3154.54679387439,16392.9795135855,30632.4081063653,85693.5717874479,0.349073683484663,0.684599470762572,3.01701110972249,5.21704025032628,9.81931502470224
10300.2698799414,21485.8953647367,107536.327762114,195968.35772604,418168.08982948,4059.7090555399,7741.43385598561,32755.3965680084,58108.5730433434,136242.259479051,6240.56082440149,13744.4615087511,74780.9311941057,137859.784682697,281925.830350429,2896.44158893642,5216.10077649562,18792.691033981,31452.6126620182,61598.2167666068,1159.82090223587,2518.37303194023,13925.5967019332,26580.358022231,74410.021308756,0.329583356226361,0.649679633279925,2.90225943312359,5.08293409670288,10.1194070279776
12624.4162642171,27295.6179010651,141724.151432009,256930.074163312,529000.78016219,4773.19528512578,9363.30773874232,41348.1974956967,73491.8628169221,167815.412726219,7851.22097909127,17932.3101623228,100375.953936312,183438.21134639,361185.367435971,2787.07737295034,5031.52183721874,19216.3371393104,32747.274570941,62182.2335427956,1982.65614974515,4324.76730832361,22094.1357565592,40667.9442386086,105391.42951343,0.326032586171221,0.640309662170875,2.81490183252262,4.85815944344712,9.22712598107706
12228.7721949385,24744.7068226142,120207.709087956,220721.816443939,485917.464521071,4225.45526369558,8072.42177372492,35168.5857451629,63363.8361437149,148354.288645314,8003.31693124297,16672.2850488893,85039.1233427934,157357.980300224,337563.175875757,2916.85950730808,5401.53832775659,21569.53034384,37658.6486955139,77972.5210151793,1305.17082956843,2664.02084018446,13564.0461615082,25635.2365078579,70171.3172450692,0.360365312240481,0.71128568769431,3.23061795554843,5.75525283415079,11.8593398560341
14713.0745234999,29824.3799216688,142162.229107626,256251.980386322,538239.885384847,4178.4127686758,7952.90513510119,33548.7302244835,59514.3576467715,138866.831043308,10534.6617548241,21871.4747865677,108613.498883143,196737.622739551,399373.054341539,2952.31038651472,5401.36266062051,20497.4550545716,34833.5085578372,68002.9877749839,1222.66706449326,2544.63729125995,13015.528199932,24608.9688087962,70645.0051475677,0.335768081153133,0.662553200894324,2.98095599640736,5.24112454151508,10.3390804563212
18261.6811364092,33670.676481298,131510.546822632,223659.136669305,442960.103884284,3995.72493621888,7587.04276865016,31851.3308601461,56208.4608343709,132693.885690253,14265.9562001903,26083.6337126479,99659.2159624864,167450.675834934,310266.218194032,2764.04845269172,4924.15208127384,17716.2168158229,29525.6858412916,54874.0149243912,1228.22976872579,2655.93427683073,14098.3836571067,26608.5479522453,77585.4614477789,0.3170653797749,0.621972447608275,2.72239061743512,4.68680106474387,8.88506911311393
15650.097778209,32580.432536122,163881.023608414,300033.716576186,644698.5722431,4036.25040634336,7729.83024273303,33087.0986951284,59147.3709004243,136805.874300002,11613.8473718657,24850.602293389,130793.924913285,240886.345675761,507892.697943098,2783.49476152655,5019.60962302189,18527.3011920846,31629.9312799821,64289.1548011935,1249.31092753715,2703.27460741962,14523.2100900391,27443.2651810588,72297.6952298488,0.355911901709963,0.700181759828837,3.1564652306854,5.60452665917534,11.4671721423777
11654.4586494784,24995.1147895503,130693.686213183,239330.08348056,508180.468559156,4753.29438581495,9110.46224859459,38944.7221879119,69097.2278643105,157698.431323311,6901.16426366345,15884.6525409557,91748.9640252715,170232.85561625,350482.037235846,3135.61985514579,5730.29114582229,22203.083962216,38076.8263399861,74663.535316674,1614.2395510363,3373.26636031052,16705.9690238103,30948.9637387971,82810.1134503492,0.350124461850532,0.689715918836917,3.09396064611895,5.4330850955421,10.7020560081665
