"n_TOTAL_costs_6mo","n_TOTAL_costs_1yr","n_TOTAL_costs_5yr","n_TOTAL_costs_10yr","n_TOTAL_costs_life","n_HEALTH_SECTOR_costs_6mo","n_HEALTH_SECTOR_costs_1yr","n_HEALTH_SECTOR_costs_5yr","n_HEALTH_SECTOR_costs_10yr","n_HEALTH_SECTOR_costs_life","n_CRIMINAL_costs_6mo","n_CRIMINAL_costs_1yr","n_CRIMINAL_costs_5yr","n_CRIMINAL_costs_10yr","n_CRIMINAL_costs_life","n_TX_costs_6mo","n_TX_costs_1yr","n_TX_costs_5yr","n_TX_costs_10yr","n_TX_costs_life","n_HRU_costs_6mo","n_HRU_costs_1yr","n_HRU_costs_5yr","n_HRU_costs_10yr","n_HRU_costs_life","n_TOTAL_qalys_6mo","n_TOTAL_qalys_1yr","n_TOTAL_qalys_5yr","n_TOTAL_qalys_10yr","n_TOTAL_qalys_life"
35501.7767601269,83641.7678080981,437718.857765632,776922.122736111,1535348.62482527,2999.25549423619,5976.80733592802,28850.2391356911,53140.3676083628,130217.449500401,32502.5212658907,77664.9604721701,408868.618629941,723781.755127748,1405131.17532487,1543.79324260456,2949.00275246914,14536.1717582772,26660.3869430037,53914.5394585292,1452.00507286064,3020.80121923276,14276.6791901164,26404.3743362953,76071.6656091704,0.334110831062287,0.65230733566738,2.85689724225706,4.96719527716105,9.5949050708031
28604.4060470209,65227.9090136435,318160.659137822,561157.652335696,1150115.5875833,3417.81191151552,7003.44629579165,34609.15489716,63568.5005285148,149120.898736229,25186.5941355054,58224.4627178519,283551.504240662,497589.151807181,1000994.68884707,1620.02021196264,3325.39877354239,18788.6468118039,35229.843427481,73875.3182613054,1794.32406667908,3671.00619198442,15782.8593999506,28262.6243192715,75012.0199877458,0.339280194808844,0.662726859287087,2.93983989004015,5.17618551698869,10.4205705510623
33699.7414000889,78842.2310267433,399947.13965414,702708.521219356,1399569.07607972,3470.24235308343,7181.79978268369,36199.801880761,66840.6459252639,157574.027780155,30229.4990470055,71660.4312440596,363747.337773379,635867.875294092,1241995.04829956,1578.81322264707,3158.31945903374,17062.7687989361,31811.8942517375,65233.8091864266,1887.97707557782,4016.51037625132,19100.6489872989,34955.9259517363,92113.5998914343,0.356871740442863,0.698582854236543,3.07681052370356,5.37035222718852,10.485930543693
24146.2353981684,55300.9142930832,285679.611082719,514309.198299415,1079049.75157771,2820.13495679579,5812.50537646297,30709.2904329827,57622.7693627137,139241.955138321,21326.1004413726,49488.4089166202,254970.320649736,456686.428936701,939807.796439391,1726.31236294003,3480.3841440858,18959.8225187917,35612.352384726,76000.7471629148,1090.36799544368,2325.13434163233,11712.3516329692,21935.1924209625,63011.8230898729,0.358360967759316,0.703838350214161,3.16268737397878,5.60483121899317,11.401389155237
22257.2454991898,46148.691263295,206545.756485505,358211.788276787,709222.714631106,3344.47901288278,6925.01429273925,34095.9440458695,62039.4826302969,145340.399001119,18912.766486307,39223.6769705557,172449.812439636,296172.30564649,563882.315629987,1559.67113978489,3105.09012983431,16211.0196222202,29709.1712077146,59321.3139874404,1781.34646347471,3812.91882318014,17847.9396243776,32255.9464493271,85783.247410811,0.33960121242301,0.665238078640183,2.92694228607382,5.07644785397219,9.7740883233091
26533.59210212,58604.9697329155,288915.6213757,509347.924933866,1012829.97894666,3209.60014953141,6665.7497607776,34076.4598492498,62776.6323568994,149513.730791047,23323.9919525886,51939.2199721379,254839.16152645,446571.292576967,863316.248155616,1621.65768461807,3280.31056925186,17396.4163072997,31937.6297336867,64497.7059291349,1584.48325641036,3378.43459142208,16642.720705383,30763.5078411766,84774.9072546738,0.331753384656286,0.648948306957548,2.85357800442731,4.95658042191747,9.67081013868117
21520.7396075658,48523.1419524153,242085.217137148,430348.157543942,899744.031343969,2939.25095398646,6136.7638635113,32526.3297242805,60937.3209286791,147327.338837663,18581.4886535793,42386.378088904,209558.887412868,369410.836615263,752416.692506305,1620.70746310803,3332.13076783793,19054.3609265507,36159.9382819837,77536.1733171599,1315.0788693456,2797.59981189724,13433.9545409935,24699.9309405246,69554.6167398697,0.344200797104936,0.668220729691926,2.92434379457812,5.12920848613732,10.3912512392222
27690.4721101862,60192.1729545189,288034.152318862,508001.995179616,1038904.08650125,3068.29343258085,6474.17582121119,34014.4996826636,63116.1816606306,148913.303034632,24622.1786776053,53717.9971333077,254019.652636199,444885.813518985,889990.783466619,1690.3112452734,3417.41305666448,18487.3850272227,34428.2123704954,71855.469426299,1374.52827564673,3049.77703757742,15490.2593574807,28613.8693273205,76824.6739622298,0.358336657398145,0.704473974834318,3.16659095911791,5.5756074641322,11.125700221878
22634.3185494916,49929.2190446445,250682.416984211,448211.242751112,937623.60826891,3123.10795342026,6347.65089809027,32262.684923586,60414.6248486235,144040.192941477,19511.2105960713,43581.5681465542,218419.732060625,387796.617902488,793583.415327433,1657.76140890723,3280.48984368625,17350.1950005096,32883.258052931,70996.0223353627,1461.89650435357,3060.19594689838,14875.8719013934,27457.4912248847,72825.1922591467,0.334965767239671,0.655534196768293,2.91119541147272,5.12912962861637,10.3980864202805
20435.3149337597,45737.2541409392,232671.664483177,422337.172568408,914101.159264525,3122.82663253186,6376.60658590919,32266.1288680179,59910.2307662504,141938.421335025,17312.4883012278,39360.64755503,200405.535615159,362426.941802158,772162.7379295,1646.25552998466,3348.59082323533,18217.6995368425,34265.2971369618,74975.0075217168,1473.12255815814,3021.05135630078,14011.6431930287,25570.4250936745,66742.4481486692,0.339098360790785,0.669005884293149,3.03761322088461,5.42163739670738,11.3551009972282
