"n_TOTAL_costs_6mo","n_TOTAL_costs_1yr","n_TOTAL_costs_5yr","n_TOTAL_costs_10yr","n_TOTAL_costs_life","n_HEALTH_SECTOR_costs_6mo","n_HEALTH_SECTOR_costs_1yr","n_HEALTH_SECTOR_costs_5yr","n_HEALTH_SECTOR_costs_10yr","n_HEALTH_SECTOR_costs_life","n_CRIMINAL_costs_6mo","n_CRIMINAL_costs_1yr","n_CRIMINAL_costs_5yr","n_CRIMINAL_costs_10yr","n_CRIMINAL_costs_life","n_TX_costs_6mo","n_TX_costs_1yr","n_TX_costs_5yr","n_TX_costs_10yr","n_TX_costs_life","n_HRU_costs_6mo","n_HRU_costs_1yr","n_HRU_costs_5yr","n_HRU_costs_10yr","n_HRU_costs_life","n_TOTAL_qalys_6mo","n_TOTAL_qalys_1yr","n_TOTAL_qalys_5yr","n_TOTAL_qalys_10yr","n_TOTAL_qalys_life"
30653.9960779716,69760.4634432372,395877.22814587,734728.846457994,1505046.06271802,4102.58349761794,7776.47064452527,32443.7272435481,57154.9102794418,134245.131058979,26551.4125803536,61983.992798712,363433.500902322,677573.936178552,1370800.93165904,2921.47772520465,5290.9903957624,19403.4253572358,32131.9558521422,59956.5542232736,1177.65809728955,2478.52265821646,13003.5587156058,24948.4781516947,74059.396791768,0.32216887766025,0.636702714344811,2.86224358575557,5.00933229912645,9.71367147941819
22321.0902827327,50361.5228285498,279772.203934563,521422.91557412,1120116.26773346,4178.1715483938,8146.70269182061,36667.5370856423,66051.5042249985,152044.437601609,18142.9187343389,42214.8201367292,243104.666848921,455371.411349121,968071.830131849,2996.11366275298,5626.79674926693,23353.8745823117,40552.6509398708,80335.1276324636,1178.61034635308,2512.94947375897,13277.0075108939,25424.5703443452,71479.0944096667,0.337520749526484,0.664417930358932,2.98628922024851,5.27347323105834,10.6293689571868
26220.9199464649,61158.9497079947,350484.151339321,651239.123163862,1359060.60101188,4522.42805070616,8790.53149773673,39094.2024825853,70146.7638014342,161282.109303201,21698.4918957588,52368.418210258,311389.948856736,581092.359362427,1197778.49170868,2856.31327315083,5311.49467897914,21480.1130757707,36870.1283882595,71118.5001312112,1662.66638005455,3472.08487076413,17577.9328463919,33204.1333735829,89937.5862382023,0.354330173385651,0.696456972690739,3.10908254706655,5.44988777945447,10.669620746733
24134.8144465044,52416.191219165,273406.215078351,501699.175028191,1070256.06360447,4122.49376104209,7899.25596136753,34478.9553957849,61720.0899895208,143481.50685856,20012.3206854623,44516.9352577975,238927.259682566,439979.08503867,926774.556745907,2944.97651015213,5495.95957013244,22757.9973191428,39779.8597738187,80597.2523520452,1174.0686938829,2396.33403480305,11684.1595319845,21865.5794945318,62655.8977566857,0.363720535903095,0.713516357432581,3.20031301334201,5.66813578484296,11.5201448148928
16785.9234070452,36394.2875099212,188151.231421751,340982.559609439,697857.185187018,4358.30829933833,8448.87739684727,36872.0885671274,65334.2097315838,149050.731626033,12427.6151077069,27945.4101130739,151279.142854623,275648.349877855,548806.453560985,2988.71785940828,5453.91468606701,20815.4090414755,34963.2726608055,65346.2976334568,1366.12964731728,2987.96031850046,16019.6561543893,30296.2914494292,83467.5968879509,0.338534849394154,0.666483141452283,2.96604359172141,5.16154013475651,9.95103609508584
23663.7357935379,52082.4121097665,272391.85307866,493192.192576836,1001973.72924147,4307.93788076053,8344.80724990203,36963.8144854521,65985.0733624032,152948.669274059,19355.7979127774,43737.6048598645,235428.038593208,427207.119214432,849025.059967409,2819.70403796932,5223.309946949,21059.4365671687,36017.2469764766,69072.7759089441,1484.77906766591,3114.50974819597,15867.2359840035,29892.5902066372,83635.0563671583,0.333154056170383,0.653131991783778,2.88475301111782,5.01604337205476,9.78760618138586
17160.862001997,38665.397038604,215012.304533429,401412.705833426,875776.223843905,4170.26407004215,8097.63861160843,36069.5752549991,64875.3795257237,151522.180135613,12990.5979319548,30567.7584269955,178942.72927843,336537.326307703,724254.043708292,3077.88760605993,5779.61957467462,23910.141188097,41638.0637629125,83857.7400651262,1088.9262988923,2311.0472157959,12122.2687224957,23161.4572756668,67430.8054557749,0.339263200159569,0.665387048410263,2.96204304896499,5.2094321596526,10.5557106004766
22814.2344059008,50069.7169422768,264114.808442367,483936.318152079,1020514.70451178,4332.73585916384,8408.78066579453,37390.4955987067,66902.598734127,153035.542754668,18481.498546737,41660.9362764822,226724.31284366,417033.719417953,867479.16175711,2887.53011037109,5402.10603220804,22371.8200983053,38817.9394980091,76876.1143640192,1441.75958899283,2999.72512160084,14982.3044690958,28011.4126895368,75927.911552025,0.369807533042557,0.72524688921075,3.23662631522593,5.68969492059052,11.3244972228945
17441.2620629145,39381.8005232348,221134.567970451,415238.354786857,908143.814549341,4274.25342645204,8235.15575502693,36044.452945761,64630.1430928417,148497.72829266,13167.0086364625,31146.6447682079,185090.11502469,350608.211694015,759646.086256681,3006.47724223317,5580.27890417344,22340.8065412569,38563.709607527,77380.8827059687,1264.32996760385,2647.93032231469,13667.350615626,25993.1928876935,70899.2041482171,0.334974784058131,0.657519221339251,2.93921080359526,5.18597966949446,10.5177103179677
19104.8919142738,41895.1670811069,220572.988701874,408924.812701847,902001.024732255,3845.29241876229,7549.25079656833,34385.5336603256,62222.9432206303,144342.141468483,15259.5994955116,34345.9162845386,186187.455041548,346701.869481216,757658.883263772,2768.69813202037,5174.74238557247,21592.6325488517,37942.1882781014,78920.9997923299,1073.1505068333,2367.56477983093,12756.4246670665,24206.8661027059,65201.3356123554,0.34290379274296,0.675546472609569,3.06015384428688,5.45875560285535,11.4239255400995
20680.4110340692,45178.6105871452,245580.792948482,454808.186133543,947968.545359242,4448.88907671697,8707.54337085196,39185.4036192065,70195.0046921632,161596.362651254,16231.5219573522,36471.0672162932,206395.389329276,384613.18144138,786372.182707988,3278.18608841612,6207.6171479964,26083.789783908,45103.7459913706,86247.1319271376,1167.2605153068,2492.99243336551,13065.4184094531,25018.2232834901,75115.7444207908,0.340246462493546,0.669599479331915,2.98281349336598,5.20337963109649,10.0463264770249
