"n_icer_TOTAL_6mo","n_icer_TOTAL_1yr","n_icer_TOTAL_5yr","n_icer_TOTAL_10yr","n_icer_TOTAL_life","n_icer_HEALTH_SECTOR_6mo","n_icer_HEALTH_SECTOR_1yr","n_icer_HEALTH_SECTOR_5yr","n_icer_HEALTH_SECTOR_10yr","n_icer_HEALTH_SECTOR_life"
3817901.87055078,-222036732.104903,-515679.499389735,-237963.829439985,-98504.6215984045,-600675.948658984,36677397.8310796,95326.841811515,47831.7078879253,23292.0045391461
923265.72467789,-2200279.22421838,-109299.66198658,-40000.7035539128,-405.855113515695,-767729.345360171,1480937.09468287,71012.7114698297,38805.6805187365,21832.6737604558
548762.989846759,295770.345543951,83801.8465826205,65055.162174558,56344.6604736204,383242.295788866,255785.095830586,90317.2035555347,55687.748038258,31063.041061148
5885509.97041118,1235595.77836026,226854.43244976,140064.441711135,89511.9909972921,1437171.93791753,338822.169032052,77679.9912975378,47875.2216860552,27139.6990408069
-637270.094314174,-432759.738851423,-58533.943893185,-23890.8716481339,16484.9495675612,-420822.272274599,-435831.42906257,580126.634830921,154055.666880834,59835.5891056142
-641918.728177512,-362275.05925422,-148988.025356976,-91144.912598807,-37918.5385503186,532839.855176897,236007.445585781,61073.693114753,36444.4433746589,19656.8902837228
-594123.49754804,-471668.64596229,-158478.414176459,-85670.9119405522,-34129.3781661045,258979.586784638,222505.090874447,81212.5298797624,48761.716398955,26532.3032765357
978576.336237977,1292326.09286091,-664615.718165368,-227354.518160056,-74497.2869042609,-270113.382233658,-375087.586567561,209747.058999792,76626.4447169713,30242.800157846
-1812529.52195199,-4329659.41091959,605982.480716097,330314.3589972,190823.108809244,-213335.370674224,-578894.130538279,99089.4388339255,54481.2773762016,27834.30961519
-569482.307290245,-967787.586798848,96855.8763675524,54805.7796975298,39739.4879667957,-213036.452504129,-487279.573361686,77513.6724793071,38702.4623661392,18929.1664784573
861044.526498328,-6448942.91993381,-153158.705157713,-69323.2355493371,-18828.9527115737,-770435.885855024,5366621.92814226,102735.108164783,50874.1758082526,24481.8028995723
1685636.00502343,-11359826.6434027,-23477.1637078647,28203.3923130035,45466.5939370991,-669764.242176444,6104824.06979979,107136.38269856,56662.7182557895,29586.6375503145
-63085.9778103416,-49620.2354468375,-36408.8368251277,65058.9044397373,43999.5270525279,-75156.5976631972,-82250.4424564416,-246743.662462781,218968.0326956,45333.175201571
704947.515573055,383028.90150251,103036.902689703,72636.4048802167,55776.1229061684,335017.982110132,199197.732106762,54117.4129636319,32939.6161050314,19584.8485448402
-290266.099701905,-360280.008326743,-801577.975877429,-5361228.73448659,461820.264772518,-156781.012981537,-174110.862097532,-325424.475606873,-2090156.917284,165245.945828102
-650666.773874945,-1075625.32596066,229358.565907426,119630.658338808,76552.9596759508,-261906.774083984,-514787.322154731,134826.24085256,63319.2205731968,29569.6034731713
-353080.04307917,-435316.804494177,723340.18700308,204564.831771744,99751.2610725235,-106455.708869031,-136941.220433777,261633.938756052,73996.1703434025,32201.1788818838
1371590.61805394,2595886.08095751,-501314.038428043,-217568.719328925,-88042.7811700054,-118599.055528166,-229768.758614709,57810.2906919789,32175.8798515787,19506.1794649174
925404.601633677,2350751.26810322,-232993.189053487,-100140.425501543,-31515.6181429554,-733098.390956872,-1944690.97003509,201763.923703684,97952.0501372325,48885.061065998
25801.3445605993,114048.426517991,-606839.624889379,-112792.099628472,-25758.6627215905,-335867.2141668,-329270.175268576,819525.22107263,161764.089582114,57434.9785051458
165087.215532805,185253.1029357,1837851.07364127,-238265.502885444,-52090.600655646,-173999.165476051,-208397.879083984,-2219913.68026352,308874.943366298,91421.9935670498
-222693.000086376,-106969.484322024,-308840.598633266,-103244.550685746,-25521.3364428236,-272595.576284395,-331038.595758964,417703.503920564,120626.820346606,46719.4478678418
422266.065589362,38880.3493758581,-140181.183482263,-74274.9365689365,-16753.0133642051,378729.73890704,299313.431948717,114131.059550861,67301.3847833608,35779.7759057937
-609019.927198907,-583788.369873942,-283500.137478008,-163099.633959694,-69371.6901791305,123053.46505783,118486.454155096,57707.8321893225,35681.4618354829,19559.0121271425
-17152.5018726801,-45340.6494637522,38608.9264419498,23209.3700970326,24974.8064318797,-175104.492891388,-234260.833921165,155641.377943105,59910.5585561108,27892.9153226747
-308137.895981608,-331099.602218984,659413.569676677,150195.337008689,77880.2605705843,-111998.962260783,-138672.409624111,378101.49761879,82299.0917270854,31945.5955581962
8502199.42360025,1829318.53055139,280652.681874092,169920.548675917,108769.616232816,2336272.33750951,566241.261300381,93762.0640462726,52349.471814363,27055.4151772473
-611563.157392115,-744128.800790494,700845.300688599,217984.890277824,104915.329882906,-269834.860474932,-343689.030390592,414643.789463186,134750.335109004,55487.467327894
-5611546.48428356,-4473591.04613795,-944369.287728697,-500542.197391187,-242398.717908373,531282.171920445,488201.02022528,130764.698932752,72685.3450683088,37339.9670245064
626927.341005694,352092.684329948,102419.915699611,72226.2661283938,56539.287647261,128731.438960397,66678.3076384679,20738.992179881,15076.5605527255,11027.5954136434
-1123872.50375796,-1368065.80072612,1128683.82884951,403622.519827315,192673.766010416,-216329.004682925,-291909.483754778,267445.833905087,91496.4339673694,38127.2219930467
-69194.5051398807,-25936.2883484633,-270446.720705556,17049.6072595787,27188.5170576701,-102012.47579719,-103665.647645174,2785552.74525361,89489.6810185893,32840.5984691421
1044917.76180422,943116.392278467,385553.559820115,235604.755281473,139273.267699583,297387.07499042,294995.61656511,132992.767477869,79151.8264234526,42720.695582439
-2200879.62469698,2994756.23394879,127611.482981602,77047.9313266473,60182.6643106767,-224492.457642175,234439.879000645,12639.6823852617,9241.72887004323,6803.56544274045
-388830.385149821,-245821.049457048,-112118.163627959,-40634.6204406289,9385.27481009014,-551408.540009757,-703540.499078969,296981.597249632,111559.538460601,45907.5536510748
651747.286894094,568943.080293134,-2597532.43494847,-218559.820424494,-55411.5448622431,-101171.876769274,-118425.788366902,930394.609424719,93208.7907390959,33101.7683387502
-561244.106232282,-489116.632097853,-196858.295409836,-107923.991528828,-43623.4553334341,230244.590437656,212848.780382315,90432.2728028004,54837.7841039608,29892.7033128204
-468822.773576695,-416432.767871111,-232588.944704144,-154986.830567682,-81083.0404368583,89293.7875012344,87519.3966181124,57745.1187069658,41317.6146660301,25255.7045026356
-227665.840964594,-223798.866318877,-173661.887006635,-125214.799283432,-64863.8297363977,117319.063710812,130152.270803334,110198.992820813,81732.7436246882,49276.6275781454
23994266.5237871,2833016.07192652,355104.122119139,200248.846696818,124211.535287583,5864019.14547258,732795.050401314,105795.104600415,59323.8839967603,33530.6188925105
45126.4036590922,39368.6498775849,23572.1472811909,20104.8196393662,20760.3417448789,71676.80504272,79406.4781532965,72756.9885834438,55864.3132453794,34237.103829654
998144.44234703,800871.577679549,288861.437530935,166051.633380075,87231.0668197921,900101.614814007,758595.42859238,274515.418657531,152417.986675383,69790.993802846
-382794.618927424,-365277.200587315,-586049.746692174,8578848.83126499,270754.886053739,-119838.854466898,-128743.366820633,-271387.84694914,4030953.42124296,111218.474150115
-692916.55746388,-572117.444296182,-292281.023847866,-186186.541930226,-95252.1714068194,74025.6664715932,64701.7828888967,40984.0616471381,30189.8312167248,18913.2162288775
990411.337176321,-2055058.76175517,-175799.87089915,-91110.0643809895,-33275.9109937461,-380571.164388322,791687.832860538,65291.9500491505,38390.1693427428,20746.1000629357
237301.112983456,243676.711618336,58381.5985356386,26611.701028312,24474.7895185998,260986.328310481,281660.590253237,136573.624426165,78513.6530937341,39189.806854879
-406540.260284588,-362143.376638279,-181360.258187259,-111807.093156994,-57817.6872200037,79109.6723648416,72279.9420726657,40519.3553542297,28200.150736335,18400.4657477623
