"n_inc_costs_TOTAL_6mo","n_inc_costs_TOTAL_1yr","n_inc_costs_TOTAL_5yr","n_inc_costs_TOTAL_10yr","n_inc_costs_TOTAL_life","n_inc_costs_HEALTH_SECTOR_6mo","n_inc_costs_HEALTH_SECTOR_1yr","n_inc_costs_HEALTH_SECTOR_5yr","n_inc_costs_HEALTH_SECTOR_10yr","n_inc_costs_HEALTH_SECTOR_life","n_inc_qalys_TOTAL_6mo","n_inc_qalys_TOTAL_1yr","n_inc_qalys_TOTAL_5yr","n_inc_qalys_TOTAL_10yr","n_inc_qalys_TOTAL_life","n_inc_costs_TX_6mo","n_inc_costs_TX_1yr","n_inc_costs_TX_5yr","n_inc_costs_TX_10yr","n_inc_costs_TX_life","n_inc_costs_HRU_6mo","n_inc_costs_HRU_1yr","n_inc_costs_HRU_5yr","n_inc_costs_HRU_10yr","n_inc_costs_HRU_life","n_inc_costs_CRIMINAL_6mo","n_inc_costs_CRIMINAL_1yr","n_inc_costs_CRIMINAL_5yr","n_inc_costs_CRIMINAL_10yr","n_inc_costs_CRIMINAL_life"
2516.04320917639,4329.67209054027,9945.21826056647,10830.0429752137,10069.2103473063,-1300.76447555514,-2142.48441402292,-4214.13124930762,-4521.26212158292,-4599.5376998572,0.00516021859789301,0.00836498740317126,0.00550725041783862,-0.00897871289329544,-0.0429405838673809,-1357.95122880198,-2340.65868210449,-4918.75288784826,-5327.90334453518,-5632.09521027662,57.1820687930776,198.151945692674,704.273449706787,805.989725633826,1031.41875631151,3816.80768473154,6472.15650456319,14159.3495098741,15351.3050967966,14668.7480471636
7059.95571503462,10767.8387957808,21158.1894753039,22837.5326737721,20505.0860678354,-1161.21455236261,-2006.012385963,-4425.79946406263,-5000.09501460117,-5255.47883381438,-0.0014567374028176,-0.00355662462687711,-0.0393318465277104,-0.0839878722413081,-0.175436224356259,-1384.97650191234,-2504.65490369109,-5858.55979019027,-6646.8156498189,-7418.56153323326,223.752753887765,498.59625015759,1431.99016503727,1645.17799880601,2159.71075412017,8221.17026739723,12773.8511817438,25583.9889393666,27837.6276883733,25760.5649016497
-6791.62883785393,-10106.5033115194,-16984.7182175036,-18621.4098706751,-20800.8500028091,-958.989536215121,-1553.23695424236,-3186.96845709283,-3545.42830135538,-3627.980944068,0.0121943777354853,0.0163619354909105,-0.00142212895538707,-0.032165079576898,-0.0939823717760522,-1135.89757805453,-1951.20543845934,-4174.80307929596,-4614.34134159808,-4971.5268220225,176.903227912191,397.946935152461,987.523814002157,1068.35825745756,1342.50882752129,-5832.6393016388,-8553.26635727702,-13797.7497604107,-15075.9815693197,-17172.869058741
-1109.88497430048,-1149.34231036315,-199.678667444459,-600.030953258014,-2829.56996621581,-1035.66312439055,-1807.7668041117,-4117.00547055011,-4637.79611069938,-4763.73964318339,8.64899052855916e-05,-0.00109663955111872,-0.0330708633859476,-0.0730111332831429,-0.147069557137089,-1386.92069477801,-2517.88823764151,-5932.34075407836,-6642.00587878707,-7181.62999335051,351.243374397007,710.058710761623,1814.43367316977,2002.56437448244,2414.90508233814,-74.2218499099263,658.424493748542,3917.32680310564,4037.76515744138,1934.16967696755
3676.90648010794,5763.10653088722,10547.0408199408,10513.6131113949,8218.54378548951,-1016.76966353645,-1623.49862622394,-3198.68272918955,-3572.34226878163,-3830.02111796322,0.00749385279935494,0.0107828278285876,-0.00281419004329075,-0.0292228670074905,-0.0878578958561089,-1187.40102202052,-2033.86880050605,-4200.29211866138,-4615.1453644949,-5071.13697624941,170.627205827383,410.349912157604,1001.35253465026,1042.41112524833,1240.54292861633,4693.67614364439,7386.60515711116,13745.7235491304,14085.9553801765,12048.5649034526
-406.173435230463,-257.355712744971,378.405484019415,-416.761366123566,-4188.65788307035,-1164.85894869033,-1988.16400611214,-4468.37995086557,-5093.13704422188,-5314.32535879771,-0.00501957096758998,-0.0105093650204702,-0.0684615513895408,-0.138073302927534,-0.294030760039083,-1555.8790062341,-2855.30344459922,-6683.13351549084,-7590.30900313972,-8611.7288189754,390.993647447082,867.014021276635,2212.90767723309,2493.48923761071,3289.6700301728,758.685513459866,1730.80829336717,4846.78543488498,4676.37567809832,1125.66747572744
-2814.83520835021,-3787.18280398699,-4748.29074340098,-6094.10872303799,-10696.387912206,-1304.94353031762,-2254.69735958831,-5156.09379278458,-5886.68914343567,-6086.85960037872,0.000707894548894805,0.000126830697045222,-0.0345950648446198,-0.088041798825218,-0.204972283308281,-1380.99490045276,-2513.41597954758,-6181.51535479478,-7137.19932409218,-8100.73412117609,76.0411827024216,258.671731774925,1024.61469161012,1248.84327602302,2010.24407838039,-1509.8916780326,-1532.48544439869,407.803049383598,-207.419579602312,-4609.52831182722
-8760.96606161327,-13631.5371791131,-26382.66898745,-29891.267810159,-33395.9718399006,-1095.14921270577,-1813.27065572233,-3703.24881206194,-4178.88625515255,-4308.67524192297,-0.00191648045849263,-0.00536140506279925,-0.0467356978017333,-0.0885875916237078,-0.163436238706383,-1362.19704268656,-2359.82336959172,-4940.86570712997,-5518.48830243116,-6102.50365167698,267.034668191216,546.497244568925,1236.97755103738,1338.54176569965,1791.99238845399,-7665.81684890749,-11818.2665233908,-22679.4201753881,-25712.3815550064,-29087.2965979776
1315.1691615712,3079.90517209785,8358.43452941286,8327.57933922636,6052.38675931026,-1434.75756497277,-2368.08216771181,-4654.77291917777,-5041.63069765786,-5169.60168800893,0.00311576132751523,0.00259265464852221,-0.0227892373722334,-0.052596578320852,-0.113374428732483,-1323.23727676783,-2349.3576535075,-5134.84848089916,-5616.72095145619,-5968.27991874915,-111.527771128124,-18.7622682045248,479.486885117407,573.998727920829,796.763949975604,2749.92672654397,5447.98733980966,13013.2074485906,13369.2100368842,11221.9884473192
7764.01656026955,12218.8590911679,22480.5831034839,22566.6335542254,18483.58598312,-1490.29101507173,-2437.69334752268,-5226.3664294288,-6049.59825573902,-6647.80793894513,-3.77493832857678e-05,-0.00461641140334357,-0.0574564996321003,-0.119849609131754,-0.251411789852977,-1624.13415077668,-2857.56293287393,-6427.0045042923,-7349.43103610813,-8398.90452862297,133.831878477986,419.818558359299,1199.90888434733,1298.46918583834,1748.25000604511,9254.30757534128,14656.5524386906,27706.9495329127,28616.2318099644,25131.393922065
3440.2766955125,5502.66109099729,11442.5794185551,11536.2453236839,8514.06651285838,-977.613110958233,-1627.3278171929,-3412.20078766128,-3924.32909857599,-4164.93500716903,-0.000887437040689998,-0.00250563486370459,-0.0365126629457695,-0.08217451197876,-0.180562299422348,-1363.14989933612,-2426.05581173422,-5425.6192803447,-6143.14032606459,-6883.05636671941,385.525737142932,798.68017423173,2012.80673728507,2217.77370235782,2716.28473093313,4417.88980647073,7129.98890819019,14854.7802062164,15460.5744222599,12679.0015200274
2386.02662926494,4703.2104091634,13650.4141505384,14990.0602207241,12645.9813669717,-1766.36611058209,-3018.67392754399,-6759.51198371197,-7604.84266383597,-7892.21991524618,-0.00121750061882864,-0.00309245888442877,-0.0365432061326381,-0.0780667722367268,-0.161864168705305,-1602.41546980219,-2875.69075513358,-6915.67491237104,-7858.32311681157,-8571.44208020374,-163.962049295129,-143.03895718919,155.146571849513,251.376057213067,675.130438210843,4152.39273984703,7721.88433670739,20409.9261342504,22594.9028845601,20538.2012822179
-5292.36744233982,-7407.17006213045,-13950.4163024717,-18893.9709171884,-27894.0104889324,-895.002098981853,-1549.47194289148,-3731.17953366291,-4485.25353901219,-4918.27676566178,0.000123967644266088,-0.0023264943945247,-0.0626331032701901,-0.148091288500408,-0.319533523083877,-1241.4141367189,-2325.65339119037,-6286.44240115583,-7572.80900940053,-8933.33321814657,346.396730299377,776.110941191726,2553.99947066617,3084.87742563275,4008.97152830867,-4397.36534335797,-5857.69811923897,-10219.2367688089,-14408.7173781762,-22975.7337232706
3046.33884540989,4483.92857498208,7343.08352637351,6881.54116508554,3841.78874983615,-1034.74304922938,-1887.9926359005,-4640.99290247475,-5335.97350122281,-5553.13799243956,0.00770022160918993,0.00745030096825949,-0.0405713356967063,-0.0963477811925948,-0.192481297254439,-1468.44141387633,-2705.901395285,-6565.87525596364,-7457.98826277792,-8276.04680194831,433.683979087236,817.846661948311,1923.98078163421,2120.29705670727,2719.44416009531,4081.08189463927,6371.92121088258,11984.0764288483,12217.5146663084,9394.92674227571
2314.9105828649,4625.29977181162,10645.2499592807,10736.705281371,8699.98450156115,-1348.20415127992,-2267.39783594618,-4512.85174174478,-4919.18820216048,-5118.85964058302,0.00423347194630508,0.00398610915061093,-0.0202500318665204,-0.0517930472955204,-0.121870908723764,-1478.57829749292,-2595.04360827545,-5333.9600442711,-5812.9642315901,-6353.92190960335,130.366376413737,327.609142907014,820.611440047933,892.877348581558,1233.35829892773,3663.11473414481,6892.69760775781,15158.1017010254,15655.8934835315,13818.8441421442
-965.04924548746,-1072.29499677108,260.458650383211,387.57984615225,-1075.74902978225,-1335.1190664687,-2260.87263150068,-4955.55009717477,-5523.30766546479,-5662.67238213476,0.0084680004439675,0.0113421882773759,0.000676746327769262,-0.0218780413133803,-0.0727591280339048,-1189.41664326497,-2078.60453951343,-4834.5217299105,-5443.68897115679,-5837.81494229368,-145.705689031783,-182.285430666168,-121.384908937103,-80.3408047158118,173.748438461742,370.069820981234,1188.5776347296,5216.00874755799,5910.88751161704,4586.92335235252
-4564.11738119501,-6649.44342659634,-11140.4406645997,-12825.7237075951,-15803.3269591409,-1240.0343586965,-2141.01232549246,-4794.24325274099,-5416.32584596978,-5595.89098818834,0.00327963027456973,0.00360054714627622,-0.0285143288163119,-0.0741675573657954,-0.163809023515984,-1423.12135954883,-2541.15524255151,-5846.75796174587,-6585.37764138434,-7211.22969791858,183.076383092391,400.093501021091,1051.72257217812,1167.48232527882,1612.00568238017,-3324.08302249851,-4508.43110110387,-6346.19741185872,-7409.39786162533,-10207.4359709526
