"n_icer_TOTAL_6mo","n_icer_TOTAL_1yr","n_icer_TOTAL_5yr","n_icer_TOTAL_10yr","n_icer_TOTAL_life","n_icer_HEALTH_SECTOR_6mo","n_icer_HEALTH_SECTOR_1yr","n_icer_HEALTH_SECTOR_5yr","n_icer_HEALTH_SECTOR_10yr","n_icer_HEALTH_SECTOR_life"
487584.61709427,517594.573890075,1805840.9380392,-1206191.03249205,-234491.696209917,-252075.459765651,-256125.240931108,-765196.954846572,503553.47980433,107113.999988043
-4846416.17725979,-3027544.35045216,-537940.405630267,-271914.647488115,-116880.570948652,797133.752532619,564021.395680538,112524.578802689,59533.5359876156,29956.6344014681
-556947.552812842,-617683.850247047,11943163.2083468,578932.498088691,221327.144758326,-78641.9411483779,-94929.9033176866,2240984.156198,110226.007458779,38602.7813036364
-12832537.746869,1048058.41553924,6037.90306633804,8218.34871307978,19239.6714948851,-11974381.5300846,1648460.33709758,124490.413888,63521.7658204762,32391.0653973272
490656.352420539,534470.792124489,-3747806.88499904,-359773.498907549,-93543.59907446,-135680.49583573,-150563.344980775,1136626.41114642,122244.756747035,43593.3626755177
80917.9584974524,24488.226666758,-5527.27007114282,3018.40658032421,14245.6451920662,232063.448492214,189180.221853517,65268.4588673845,36887.1964111335,18074.0455797595
-3976348.19019987,-29860143.4212466,137253.413593165,69218.3576932147,52184.5575390233,-1843415.14192326,-17777221.2257447,149041.310254588,66862.4360472464,29696.0130517939
4571382.93416466,2542530.73950654,564507.865045113,337420.481382174,204336.395062891,571437.714302155,338208.106733798,79238.119601257,47172.3655487005,26363.0347591613
422102.023655331,1187934.98927957,-366771.138186347,-158329.298313402,-53384.055178716,-460483.783626958,-913381.25926706,204253.123663067,95854.7277905167,45597.5985573173
-205672672.88832,-2646830.62742589,-391262.663883622,-188291.256998738,-73519.169462693,39478552.6372716,528049.416427035,90962.1446293063,50476.5789355935,26441.9100744349
-3876643.11694453,-2196114.51401247,-313386.603314861,-140387.147375645,-47153.0687197517,1101614.04824631,649467.263073954,93452.5315978531,47756.0377795773,23066.4707997927
-1959774.46940483,-1520864.32994958,-373541.776848822,-192015.883214293,-78127.1202151935,1450813.3164495,976140.359615999,184973.150937482,97414.5906887931,48758.2889923896
-42691522.2409174,3183833.18677358,222732.318440165,127583.270484788,87296.0377356409,-7219642.70822793,666011.466237825,59572.0048800256,30287.0856512253,15392.0525089029
395617.035459629,601845.293778728,-180991.909688831,-71423.9713660832,-19959.2833414757,-134378.346721145,-253411.592893215,114390.931991216,55382.4222537771,28850.2731000349
546811.36717708,1160354.52042319,-525690.528758158,-207300.126986343,-71386.8846361092,-318462.994057777,-568824.823976201,222856.525436186,94977.7713231008,42002.309609306
-113964.241248351,-94540.3982501309,384868.952657272,-17715.4728158965,14785.073142726,-157666.390702638,-199333.019009252,-7322610.99001394,252458.964966247,77827.6559264979
-1391656.07068126,-1846786.93444505,390696.226320667,172929.029391361,96474.0929403002,-378101.875785125,-594635.27028295,168134.529261597,73028.2355027063,34161.0667598071
328819.333886927,338653.828819503,746144.548399356,-1649139.16957205,-168607.737421522,-47367.9258964959,-56312.629442429,-142011.829424399,327935.059267761,37710.0769288251
6816.82069711905,214829.336369744,-229743.256652844,-75584.6799376124,-11035.6587202816,-97939.6228611585,-135144.945406087,73472.4857315887,32814.0661326238,17269.0079575849
316511.475687682,438494.736254639,-332764.693613569,-103693.980621975,-28242.7952619824,-178801.165872854,-243800.501928201,185884.527122655,66158.1555988828,27574.1807521509
341588.830300062,406380.534200987,-391375.646754904,-116701.667375631,-34650.4317561099,-172526.513416579,-237892.395824029,298246.929010572,101688.204098995,42843.0209434171
259166.36027651,119759.324744798,10373.4841815703,12681.0086370108,17577.9657071341,312986.253864862,232763.243659164,81261.3984497456,51682.7130802312,29887.1721670602
-122245.374725166,-110071.1098233,15007.7156682638,9441.93855131105,20307.7305932634,-152364.162860974,-207742.921998147,263128.665872412,84023.9511229128,36184.3013569615
318503.040415932,218903.638457409,2948.06996012973,-593.986571156919,12755.9359264722,235968.161884712,239488.200869656,98482.8789761278,56997.9158500611,29970.9597257364
769723.203937737,801916.899307965,481661.13445398,324701.900287556,195016.952110577,232583.940637921,270161.350075207,195632.904104618,133264.786468379,76302.2266584788
-6131833.8202999,-1941501.77086865,-1325176.8678696,-2706352.55185788,1043863.21640551,-1893933.59991205,-688085.3332501,-658106.61204932,-1437514.37450685,548987.63360212
-969366.08127738,-735794.303132382,-306124.830775709,-181369.829058713,-82695.1089493117,132505.102295184,108354.808967336,52950.4998377478,34830.307987253,19116.1507361266
106241.839921186,85074.7466828145,25369.3624300133,22179.0870019741,26307.3626927689,169510.059869802,163365.643847471,90506.3004226802,61880.7827400639,39012.6704926409
-6314391.64081417,-2609214.55052122,-413422.95688075,-212434.997271857,-88635.2239454395,894407.804416191,400941.727062844,68853.3138429177,37732.8485317399,18917.5499470199
350316.092792457,584908.856811163,-273419.604541189,-96068.6326196142,-26339.0496667282,-190304.868413376,-283457.633851041,120429.010151199,50477.2023619775,23300.9190907334
1108780.20341118,1169451.41307358,-89738.0523150039,-31627.2906859047,5196.23751197185,-861422.52616029,-1318556.05361277,138414.874436197,63614.0292845636,30722.0775632145
1329.93503778926,28826.9579622762,226151.466952442,-292267.819303458,-28171.0845970008,-101689.754996968,-103941.663961081,-277989.913197255,382721.38974906,68965.9534475033
75645.8811061588,119145.532711649,-1166244.6943356,-109297.933433861,-18089.5438237953,-107712.057095792,-134233.749176124,1102764.21380754,126596.763551732,46001.2212114141
-421091.186843236,-457813.970114518,66127.0422608289,42833.8081298248,41655.7119240639,-226386.260591594,-374962.325568077,140957.146393215,58640.9609447536,26335.2589133621
-46856.8144861574,-212119.5648895,-110498.096326871,-56001.7489710727,-13145.1262684581,704290.153937972,543912.667289138,121415.943606615,66900.0839564308,34903.4682624216
516346.13002625,520599.074598818,190110.945852981,126168.067808737,88357.3695774322,588041.535029419,531704.974059926,166294.80654029,100186.606893221,55720.0810813643
-750014.93203197,-882335.220002064,1143790.38361747,367008.828663262,188576.904030685,-132965.369808311,-181545.950062096,302526.552828555,97641.3782772479,44483.7389450053
2005366.87695518,3725134.43649388,-314297.739219282,-125684.293187708,-41247.7594713607,-807558.490571042,-1706946.99126851,170372.882923093,75573.1579915595,34044.5312822142
525121.79667565,392490.735232833,133594.550873041,86391.7820564505,60603.7426163286,164319.213274503,142045.233130197,61092.7721889129,37596.007202763,20732.6182457828
-926750.220795883,-694863.471187821,-559224.512868527,-754042.666053341,671076.249354545,-427334.403011847,-351157.902093584,-348824.021167986,-502147.627094896,442597.953551813
-431145.388958843,-623719.431829617,89256.3272894498,43773.9390563195,37651.2278399542,-255742.954275363,-469237.290398712,138238.486877961,63111.3524698018,29864.9529458305
-434577.041858995,-524114.934498235,546671.510152032,213711.701287946,122525.064908128,-123431.576311986,-161345.052842216,179612.420211129,65318.0748814093,31760.0776769057
4929460.15397044,4145762.20649596,2089956.47407229,1275259.18021215,621276.998572651,568204.736683333,524419.399074272,296252.495344086,179854.619078816,84608.2948278586
-397250.358289003,-467492.280468037,-2734.10015522875,11163.5128288584,29549.2942961945,-262645.542322509,-528608.130931075,96783.4437995536,45077.3083377284,21351.3775959594
-1320691.57574147,1423036.01266884,42690.1773350868,27368.265941832,27098.7343657501,-1138414.25692737,1589559.06737156,89139.1510843464,47267.1255474553,24577.020466511
-6077729.72283666,4078177.61834015,376840.319434114,209372.076080965,120859.690370544,-1151398.20434858,850947.313461236,87716.1534657163,47368.8834317622,24307.1300685915
997504.928129886,725206.33292435,229489.806456069,143997.052892334,97130.2482511156,107289.887067615,76921.2077893517,29797.189944733,19923.9852745517,12828.5290135358
193813.745508648,254920.953719729,-314392.592625681,-81417.6201071829,-16663.9431923143,-153334.038496826,-217537.099301235,349222.042757051,115856.295913599,50732.7449900902
-5401023.47922386,-1509666.89049346,-170767.157762711,-71934.2719859106,-18679.6315499637,1702465.13934645,562239.642920452,102860.118550921,57982.1562163567,30451.0943519054
-96207.7108160055,-141515.715382217,-118894.196230621,-70321.715406229,-23298.2771912878,145285.849920969,128412.195093018,62791.5204051357,40962.7941290964,23579.545130215
1717566.65683563,1909987.67546993,-2107909.7617802,-548419.265554205,-195453.119504505,-258105.410059442,-322052.557504635,428384.255491,118264.441504927,46851.3626766208
-200516.938937584,-106675.693080367,-69117.1154881259,-12038.4528907459,18879.844846623,-122655.69628883,-203989.399818011,103890.935227582,44905.3671203316,21000.2208835162
1188908.05166724,1711352.61220788,-1928802.40923838,-602159.36212352,-214770.804903467,-273040.005544883,-391884.184733352,439488.087160172,142466.727348829,56495.8434226429
559559.699091981,599571.862553969,-54293295.8644078,-427468.943453699,-100111.199019591,-236391.792203524,-234470.319401348,19248852.8890836,162515.25248258,51203.2009544647
-1039174.42301702,-709771.680831983,-223827.057401135,-126166.737458554,-56425.684453142,286532.742361107,199328.239723654,62081.5029235709,37459.4582482048,20592.5142796039
-2658653.14868402,8332034.24515502,289919.028870674,156515.274412323,90581.6142060442,-761768.803286788,2549758.08826759,101090.055116928,53713.1034477413,26585.7491964228
947251.680250947,974650.304304375,-2498977.22507458,-403773.415503203,-123601.528306356,-156110.214330532,-168516.704206757,508988.702033774,93190.467670787,36005.0728306335
635974.998198188,417290.610922042,162487.778751287,120628.053789419,93967.9475736869,127399.62909396,100884.710091781,50147.803957689,35747.2193421992,23659.540391624
34880.2857384413,151647.149534966,-943408.372809645,-148563.361150451,-21195.539938242,-219511.269795011,-249600.240777325,717188.04588204,133000.659484262,49265.2301876281
2637781.57562348,6131527.60938418,-490539.045207416,-231379.002563704,-100068.216915191,-923750.74212512,-2248815.63977433,197372.632280286,99522.1853038172,49170.6437457301
-132226.258873492,-119609.67509413,-101477.545689906,-183733.137967084,157311.674497989,-61976.6403702594,-67833.9301261026,-105358.361997812,-212166.311564402,147511.408140057
-316363.182719829,-269739.10563908,-3027764.29982643,226722.544362752,96817.8038845339,-115528.62607871,-129707.000446095,-2151503.35752303,146186.430914412,45787.9797231436
962820.590146684,452456.310470066,49669.1251698138,35045.1242483244,33339.926737853,695826.472978974,451492.309456492,102400.507869527,56750.2408835436,30694.4489855269
