n_inc_costs_TOTAL_6mo,n_inc_costs_TOTAL_1yr,n_inc_costs_TOTAL_5yr,n_inc_costs_TOTAL_10yr,n_inc_costs_TOTAL_life,n_inc_costs_HEALTH_SECTOR_6mo,n_inc_costs_HEALTH_SECTOR_1yr,n_inc_costs_HEALTH_SECTOR_5yr,n_inc_costs_HEALTH_SECTOR_10yr,n_inc_costs_HEALTH_SECTOR_life,n_inc_qalys_TOTAL_6mo,n_inc_qalys_TOTAL_1yr,n_inc_qalys_TOTAL_5yr,n_inc_qalys_TOTAL_10yr,n_inc_qalys_TOTAL_life,n_inc_costs_TX_6mo,n_inc_costs_TX_1yr,n_inc_costs_TX_5yr,n_inc_costs_TX_10yr,n_inc_costs_TX_life,n_inc_costs_HRU_6mo,n_inc_costs_HRU_1yr,n_inc_costs_HRU_5yr,n_inc_costs_HRU_10yr,n_inc_costs_HRU_life,n_inc_costs_CRIMINAL_6mo,n_inc_costs_CRIMINAL_1yr,n_inc_costs_CRIMINAL_5yr,n_inc_costs_CRIMINAL_10yr,n_inc_costs_CRIMINAL_life,,BNX-Dominant,BNX-Dominated,BNX-LC-LE,BNX-MC-ME,,BNX-Dominant,BNX-Dominated,BNX-LC-LE,BNX-MC-ME
-5393.04167,-8089.027104,-14407.99889,-16000.30446,-17819.48257,-1253.511524,-2063.597553,-4128.615303,-4514.067934,-4639.574108,-0.001891108,-0.004908861,-0.028765222,-0.050239524,-0.092580376,-1336.548305,-2271.268515,-4737.724116,-5189.54463,-5496.19211,83.03055132,207.6427229,608.6566867,674.5835248,854.9088804,-4139.530146,-6025.42955,-10279.38358,-11486.23652,-13179.90847,,0,0,1,0,,0.4%,49.5%,49.8%,0.3%
5124.61362,8110.671236,15351.6976,15851.81684,14222.67969,-1063.677196,-1788.707101,-3724.738803,-4087.667591,-4224.625443,-0.010946775,-0.017287857,-0.048530385,-0.075671493,-0.133468597,-1101.319201,-1927.992533,-4332.920773,-4818.150874,-5202.67042,37.64016924,139.275782,607.9909124,730.0994554,977.2548333,6188.290816,9899.378336,19076.4364,19939.48443,18447.30513,,0,1,0,0,,,,,
-2657.117916,-4099.552674,-5808.860691,-5762.754638,-8205.913702,-1044.457987,-1790.534384,-4034.496069,-4570.42949,-4828.420054,0.006938832,0.008791799,-0.020950085,-0.072392213,-0.194831195,-1351.10486,-2481.184951,-6128.586593,-7028.578038,-7910.360929,306.6370805,690.6043471,2093.27628,2456.46432,3078.356917,-1612.659929,-2309.018291,-1774.364622,-1192.325149,-3377.493649,,0,0,1,0,,,,,
196.9796761,927.054757,4723.707283,5363.6584,3583.789847,-1392.131607,-2344.702917,-4959.899036,-5529.77929,-5700.914199,0.002473445,0.001259541,-0.040225624,-0.093172726,-0.208910714,-1469.700044,-2637.035659,-6112.22337,-6928.915071,-7862.612432,77.56216884,292.3021475,1151.783829,1397.998454,2158.939316,1589.111283,3271.757674,9683.606318,10893.43769,9284.704046,,0,1,0,0,,,,,
-1619.00139,-2057.091758,-1626.921519,-1806.309692,-3991.118155,-1240.999596,-2173.045234,-4626.965766,-5061.854649,-5220.891449,-0.001933293,-0.004738346,-0.041626356,-0.077176044,-0.136277782,-1476.261477,-2668.530919,-5979.535739,-6616.622218,-7233.992613,235.2465629,495.4143315,1351.536009,1552.837914,2009.610721,-378.001794,115.953476,3000.044247,3255.544957,1229.773294,,0,0,1,0,,,,,
-5019.204998,-7634.101822,-12918.1409,-13960.9434,-15704.65871,-1177.574591,-1962.5693,-4004.76809,-4408.581419,-4545.587606,0.001615509,0.001948798,-0.015882682,-0.042577261,-0.103935271,-1296.581601,-2224.341553,-4746.665906,-5269.037787,-5723.85282,119.0038482,261.7560487,741.645363,859.9880973,1177.319642,-3841.630407,-5671.532522,-8913.372813,-9552.361986,-11159.0711,,0,0,1,0,,,,,
3248.499825,5601.188852,12897.95359,14149.50745,12718.24229,-941.345302,-1669.227907,-3938.180675,-4472.515955,-4615.612142,0.01070492,0.016244771,0.008093864,-0.024257422,-0.10216691,-1216.521655,-2187.745766,-5322.609458,-6087.738548,-6709.297095,275.1697351,518.4889334,1383.936218,1614.167733,2091.314903,4189.845127,7270.41676,16836.13427,18622.0234,17333.85444,,0,1,0,0,,,,,
-4450.119907,-6338.570873,-9571.853497,-10488.66146,-12329.18967,-1114.078223,-1857.497329,-3700.050264,-4026.58605,-4110.698675,0.00334549,0.005650108,-0.002745598,-0.023643044,-0.07243629,-1359.046059,-2316.586452,-4806.333074,-5261.652417,-5619.805865,244.9646879,459.0752699,1106.075037,1234.688796,1508.431728,-3336.041684,-4481.073544,-5871.803234,-6462.075408,-8218.490997,,0,0,1,0,,,,,
-2431.129231,-3962.586796,-8706.486387,-10945.34814,-14947.70393,-1524.504498,-2529.463594,-5056.347448,-5627.894161,-5922.037311,-0.010928557,-0.018940247,-0.079793383,-0.140446583,-0.267643589,-1523.779925,-2696.614534,-5883.486722,-6615.496652,-7489.382374,-0.740026481,167.0805134,826.0937904,985.5986965,1563.527753,-906.6247334,-1433.123202,-3650.13894,-5317.453976,-9025.666624,,0,0,1,0,,,,,
4246.313564,7031.475776,13702.51,13563.13103,10666.01251,-1409.933418,-2351.920362,-4997.234667,-5577.85054,-5791.579724,0.00475008,0.00577448,-0.01928656,-0.05606254,-0.130142061,-1539.951487,-2697.940319,-6022.395492,-6694.942874,-7180.118191,130.009898,345.9810757,1024.540977,1115.925137,1386.302553,5656.246982,9383.396138,18699.74467,19140.98157,16457.59223,,0,1,0,0,,,,,
