"variable","mean","sd","q50","q025","q975","min","max"
"n_CRIMINAL_costs_10yr",168320.277898329,36254.3666875253,164218.256501079,108769.266040936,248846.072527544,71040.3917952495,363684.330956436
"n_CRIMINAL_costs_6mo",8389.32449028624,3541.24751943727,7594.85836335621,3842.21232931964,17114.673645374,1946.71489908375,32092.9199465437
"n_CRIMINAL_costs_life",342431.904902274,72149.3603541926,334852.351030904,223394.79520044,502473.662493023,146241.407550442,727792.038119336
"n_HEALTH_SECTOR_costs_10yr",60353.5860514349,4303.95302683994,60095.1348440345,52844.4463237324,69564.3903850224,47292.6980237941,87307.6255728248
"n_HEALTH_SECTOR_costs_6mo",4170.61228918214,229.194596951292,4150.29529945308,3774.74397701291,4690.26535730429,3511.92434837994,5448.25627141512
"n_HEALTH_SECTOR_costs_life",140200.343797299,9128.2485316429,139685.855752864,123702.385289954,159228.204302542,113103.187524492,188635.941227272
"n_HRU_costs_10yr",27273.7640148881,4307.84377721135,26480.301434268,20932.7292683298,37695.4591156703,17780.9902438031,56733.4203548033
"n_HRU_costs_6mo",1287.31846353887,218.107588782411,1256.24782209415,943.542794657027,1811.43950860886,722.763373733026,2644.27838350098
"n_HRU_costs_life",75229.8333898082,10383.8651827756,73518.7419011241,59347.3834091394,99609.2526651891,49422.3427980544,135618.930416459
"n_TOTAL_costs_10yr",228673.863949764,36206.106703965,224925.36605347,168926.729989409,309131.814714037,131583.658520876,422918.832822563
"n_TOTAL_costs_6mo",12559.9367794684,3541.13128800761,11755.1609520204,7978.49247131035,21278.9805252927,6253.29073794236,35941.643544023
"n_TOTAL_costs_life",482632.248699574,71664.4593515793,476280.843849171,363572.280483263,638935.108530308,284524.412227232,865062.535663069
"n_TOTAL_qalys_10yr",5.27526710401336,0.23994465036606,5.27898449775213,4.78191693319716,5.72434553712655,4.17077507004744,5.9712222324122
"n_TOTAL_qalys_6mo",0.341718580464973,0.0128278167933117,0.342024769360783,0.316078973966751,0.365574717619317,0.296238564126535,0.381335119732041
"n_TOTAL_qalys_life",10.43844106176,0.655933778345911,10.4719776034853,9.03435719163426,11.6278194105062,6.86448457282,12.3322366622762
"n_TX_costs_10yr",33006.2272829877,3136.80929564415,32954.3510996364,26802.5736880896,39110.3877908939,21820.8648549826,44481.6615263914
"n_TX_costs_6mo",2879.85049715261,122.513840111511,2881.8994300625,2639.05927860546,3121.0002002275,2408.68823022141,3311.22462603247
"n_TX_costs_life",64743.2572459689,7499.86369026222,64569.7390370376,50386.033345663,79665.2206418133,39323.3511169878,92713.2814687372
