"n_icer_TOTAL_6mo","n_icer_TOTAL_1yr","n_icer_TOTAL_5yr","n_icer_TOTAL_10yr","n_icer_TOTAL_life","n_icer_HEALTH_SECTOR_6mo","n_icer_HEALTH_SECTOR_1yr","n_icer_HEALTH_SECTOR_5yr","n_icer_HEALTH_SECTOR_10yr","n_icer_HEALTH_SECTOR_life"
2865519.97735339,1572806.3633507,434029.794842486,272642.036717886,166989.020859961,605297.043347097,362201.34064256,112107.422893834,69328.4792813894,38854.3627051814
-441449.444448846,-443343.583587785,-297751.564830772,-196174.976188874,-98724.3329461312,131847.193569231,139292.755157737,101522.181666844,71202.1332908075,41172.5168934295
-378022.772420533,-495843.645930746,159771.836927159,60909.7309397193,39248.8972321809,-136719.581723589,-193091.255398758,93811.5039176043,38437.2281487088,17259.3864373322
73796.7039254565,451089.773211767,-157666.432142932,-78385.5557115527,-27169.8960025055,-487306.683527664,-1052348.76902747,155375.542705764,74233.7871774674,34824.0624921225
967820.313521463,464111.049787455,49580.9839265978,33779.0472998312,35793.1691619308,749870.533422056,477790.489019855,102852.897026686,61106.5391848979,34982.8096611558
-2875630.21531861,-3352075.67421035,1008954.98813104,388610.117354211,172414.161308754,-657925.499944216,-833045.666469203,299598.306893393,118035.519058278,48550.3729506441
282519.49097667,329449.551717164,4537063.45684294,-362291.165131828,-89763.4180859983,-114221.053111263,-131887.226758949,-1771079.0914129,149515.162750472,44691.1941286132
-1277009.3091746,-1051158.94113884,-10884171.9589552,661616.34481552,214124.43462397,-306424.338941499,-297708.14328818,-4136683.90560832,252376.956382484,72589.0743965165
214251.223166371,194470.519885697,97458.5136179182,70596.2904568947,51369.3076215622,130694.279527677,119099.072308465,52323.3902089186,33060.3217664303,17892.6607615965
993135.642893892,1482520.98763599,-555021.596841939,-204061.18138036,-72841.4401538336,-247553.104375543,-366240.640944381,153603.599861328,66241.2201172516,31664.1556952897
-1129161.31562002,-1033585.57759005,3297957.35137906,539827.730322856,234547.282162289,-216361.129262118,-226684.381037224,934991.514283883,153648.861165777,60573.9900298392
2388871.38567195,929815.35724956,137932.430819429,87779.5157620516,67621.7195119046,618757.977005964,274402.211928489,58192.5603986134,36036.91947181,22031.7362007473
-1187657.47668063,-1279125.55080374,-13467193.9873753,2304529.86435388,3147459.36223895,457463.345243962,565729.137362349,6415790.2384703,-1011018.17916856,-1287422.16732333
-536732.034017165,-456940.669645237,-221652.703203499,-142352.880422986,-74250.2133248305,122922.115040366,112554.323763491,63164.6591431411,44062.3274907458,27492.8267742961
312983.284560599,560556.392355905,-102527.307217922,-28771.9724913663,4376.78047753923,-66769.577803912,-88804.4060865783,27070.0642900781,15757.2681764723,9225.09466969983
118777.991423281,385056.353499016,-101304.19666958,-30691.8299723001,4404.53472471141,-166775.444048412,-304371.133812417,71755.4959742722,38142.8780352866,21656.2538331373
456218.424332954,517559.034460294,-5844350.68594823,-383863.08184804,-118633.371600589,-83777.8490676052,-101966.28097675,1474830.70841305,110123.637694294,41262.9859896794
-74347.0732924071,-73021.2905331318,-64345.5265286895,-155363.714787873,83853.2431590405,-67893.8555827071,-73433.6209767141,-123684.62327194,-360358.875359343,125071.364314479
-116720.718229244,-98158.9478486184,18343.2776494493,8795.92897003626,15959.1301826331,-103434.085814054,-142527.680673882,306012.667306602,82495.1665065979,31449.3445290044
321160.481324052,362786.670315182,-291000.382707073,-67689.7688123351,-9343.68599242915,-193429.70022972,-231956.900338298,242400.219003877,77484.8174436566,33164.5887822183
1200571.34760068,1791384.20396866,-276013.285366573,-102327.087785187,-28607.6270855377,-608698.697717933,-1116823.1754713,268264.478554238,119151.072222761,53808.948394498
-1438378.63433628,-747536.199812557,-229474.402961885,-125428.462340618,-49455.5706687616,1001413.84711792,471594.279988345,112569.078957854,65086.0278399136,35039.5770374278
630801.431898397,667985.307606106,1238286.45316201,8630584.70873381,-695652.519784357,-104587.722868136,-115461.37697593,-237838.707555645,-1747026.94280437,150665.807014541
162565.867638916,221803.039616335,810326.378134033,-1134964.75577996,-161148.241359141,-90337.6814332154,-101851.991699475,-270280.942252588,382518.217003406,64123.6520002563
-219830.441312918,-239874.785150888,24297.379848795,14690.4303371748,17479.2829067752,-311642.201089812,-497935.411043546,201786.225739443,84781.6534739355,38364.3263471596
155504.468249299,194362.997124118,-179503.193773198,-27169.8420206876,13367.5002835327,-287949.32192212,-294483.586094457,293938.373397198,85197.4869695627,33280.1475281634
