"n_TOTAL_costs_6mo","n_TOTAL_costs_1yr","n_TOTAL_costs_5yr","n_TOTAL_costs_10yr","n_TOTAL_costs_life","n_HEALTH_SECTOR_costs_6mo","n_HEALTH_SECTOR_costs_1yr","n_HEALTH_SECTOR_costs_5yr","n_HEALTH_SECTOR_costs_10yr","n_HEALTH_SECTOR_costs_life","n_CRIMINAL_costs_6mo","n_CRIMINAL_costs_1yr","n_CRIMINAL_costs_5yr","n_CRIMINAL_costs_10yr","n_CRIMINAL_costs_life","n_TX_costs_6mo","n_TX_costs_1yr","n_TX_costs_5yr","n_TX_costs_10yr","n_TX_costs_life","n_HRU_costs_6mo","n_HRU_costs_1yr","n_HRU_costs_5yr","n_HRU_costs_10yr","n_HRU_costs_life","n_TOTAL_qalys_6mo","n_TOTAL_qalys_1yr","n_TOTAL_qalys_5yr","n_TOTAL_qalys_10yr","n_TOTAL_qalys_life"
11870.0935186378,25267.2742469742,129816.940476974,237325.980690884,504696.857833361,3014.91871836438,6072.18435746492,30021.851654169,55792.7845571594,133509.070279831,8855.1748002734,19195.0898895093,99795.088822805,181533.196133725,371187.787553531,1608.35965713909,2932.94934323319,13864.7018576785,26227.3551403195,56280.9303541708,1403.11459124342,3132.28220336703,16120.3839922211,29491.172992398,77000.1854614627,0.337549223364568,0.66106276715967,2.93546996164927,5.15901984804588,10.2970985587306
16762.7688047322,32580.5870131762,140177.105562766,244372.488829764,504597.798336226,2806.4765049281,5710.87667042419,29807.0054856781,56620.5468409676,139495.7677263,13956.2922998041,26869.710342752,110370.100077088,187751.941988796,365102.030609926,1513.02561956491,2856.88383430146,14777.3616965243,28715.4788197759,62810.8151429178,1290.0083722353,2847.0562105079,14993.3940225789,27832.124135641,76464.6901568016,0.337178776497288,0.666202514473327,3.00135432467066,5.29102433557315,10.5433693929045
7783.84757389716,17754.4908933347,105268.828548357,199725.493257709,443731.389434519,3328.18084781395,6747.81531226065,33301.336762533,61911.7803296223,149330.309283758,4455.66672608321,11006.6755810741,71967.4917858244,137813.712928087,294401.080150761,1618.18472518064,2997.4245174165,15583.8000407073,30607.4554866201,67801.5667837203,1706.54866434648,3743.42926938894,17680.8009108847,31230.3159931368,81299.1955284378,0.361576270850353,0.707744685818504,3.12646520420017,5.49030763741976,11.0344881756045
8203.46636720219,18128.8014676,96579.8341417301,177641.343754511,392820.597443646,2867.45702701819,5884.87179052666,31042.1778009881,59191.0499198315,145732.413779105,5336.009340184,12243.9296770734,65537.656340742,118450.293834679,247088.183664541,1557.17069131452,2967.45207164652,16426.4376361373,32513.5708454159,73475.995890698,1306.85133138531,2910.5157764428,14580.3213839932,26607.0811167893,72046.6890926436,0.353265928804793,0.690475474190334,3.06144948580779,5.41778247153039,11.1286365541068
9394.92040239208,20928.1845066681,114439.992481484,213095.209382104,475271.297900362,2647.21770943001,5464.12506744367,29650.1727193358,57159.2011691059,142415.742324313,6747.70269296207,15464.0594392244,84789.8197621486,155936.008212998,332855.555576049,1447.91500543893,2773.84206359762,16697.9976406215,33848.7800375595,78487.0829486183,1195.84447428676,2683.27123646993,12914.6137130451,23234.3925022459,63700.2872962045,0.323367291428535,0.633169435597268,2.7871181672715,4.90707899311543,10.220072417402
8288.87568115514,18961.9396263873,109724.454651928,205967.740181774,451281.648028103,2874.03791982363,5805.14562345849,29455.3064290715,55345.9961123893,134459.14363578,5414.83776133151,13156.7940029288,80269.1482228565,150621.744069385,316822.504392322,1606.95305659472,3027.75337574114,15285.9186453139,29186.7505796597,62868.9427827582,1263.63873479748,2770.44054797,14133.0387907525,26086.2543568104,71370.3201261657,0.355561798901369,0.699640133159534,3.13113493575912,5.5239265461803,11.0633659209295
11717.0274666216,24010.7813387139,112615.583704486,199983.536188323,419009.401214779,3083.26547899629,6097.28318338767,29990.9140016167,56250.1272930511,137342.475651235,8633.76198762534,17913.4981553262,82624.669702869,143733.408895271,281666.925563544,1534.79574448427,2850.90691260631,14240.5910819478,27505.8661140936,59627.3760556253,1545.02956916613,3239.45172626746,15714.4140269824,28672.4134781046,77498.0567973465,0.335259992115957,0.657993681012118,2.91258000589587,5.10327770984922,10.1245636201064
10734.710917968,24409.3558808222,135667.142273537,250692.092586529,539761.542968085,2840.60634552906,5683.94825590247,28490.2084482261,53545.0566975998,130962.115835582,7894.10457243897,18725.4076249197,107176.933825311,197147.03588893,408799.427132503,1550.32934018927,2881.67259755915,14338.3325597864,27398.7654466826,59284.6637438899,1286.82360041075,2795.29002242314,14114.6020506564,26070.5629347442,71450.0886595834,0.349214742501535,0.689258916488027,3.09045964607545,5.44573918067212,10.9202854385368
13302.6325517,26918.1530945184,128918.133466388,233548.939204611,499859.87581755,2712.26059577326,5756.19627247771,31089.906358873,58730.97918982,143504.349300149,10590.3719559268,21161.9568220406,97828.2271075154,174817.960014791,356355.526517401,1403.71753473639,2707.40758882736,15419.1039160652,30142.3794214189,65604.1757331981,1305.08427575274,3041.77752265721,15633.2626640208,28512.5841201595,77672.4038348092,0.3593625339729,0.708772464880318,3.17764553240292,5.606829673224,11.2036392086381
17857.7944407152,35786.1157673013,158506.659918591,274020.013676076,544943.948619316,2977.72944059431,6019.9318301652,29512.8764050034,54620.1162517576,134385.299684007,14880.0650001209,29766.1839371361,128993.783513588,219399.897424319,410558.648935309,1410.18775200999,2518.97690185353,11784.6438325022,22353.5646422149,47439.793141703,1564.09361814149,3493.9861323055,17691.2402532967,32191.9706259334,86710.6208288595,0.344221637861224,0.673483694746166,2.94657576757777,5.10429830351393,9.83475537428805
10956.1446655687,25024.7984668957,138294.085236681,253787.908047492,536314.559806569,3149.63101962576,6385.23743592529,31383.3994067325,58117.6847870025,138199.338403243,7806.51364594296,18639.5610309704,106910.685829949,195670.22326049,398115.221403326,1512.80746460997,2763.15290715621,12979.4071377509,24672.4217547902,53837.7094406077,1633.37732687342,3615.12993499209,18367.445660522,33371.8209528808,84134.4924513357,0.335736963623542,0.660043222955941,2.92282008296421,5.11661793340566,10.2290134127307
10453.1527693884,23234.3992908491,125135.499714697,227878.345270013,482711.12058169,3258.6519884379,6634.94022902182,32391.7297030108,59602.536316079,141899.961130712,7194.5007809505,16599.4590618273,92743.7700116861,168275.808953934,340811.159450978,1563.52037521681,2897.92500786508,13991.3378929459,26758.7677889787,57896.2395999652,1691.68837326066,3730.07210721221,18364.0076526705,32770.7469658856,83773.7550404205,0.335156168228969,0.653085334614754,2.84826382247,4.96732782782761,9.93513109436744
14133.8355732927,29127.0314212093,142071.748474699,256013.307582306,539792.94932257,2867.00362413054,5810.90030864802,29988.5425226959,56801.7727792122,139938.649295048,11266.8319491622,23316.1311125613,112083.205952003,199211.534803093,399854.300027522,1551.55395048078,2916.62605970203,14362.167423427,27311.0519896905,59208.0527441203,1312.01166455986,2887.35142654702,15590.0882250868,29417.3744663048,80503.2574389814,0.316251456060124,0.624317637131221,2.79802051978855,4.91323155819296,9.92450818563644
13926.459279902,26940.3448167675,114388.498817926,199362.697580033,416791.78131153,2930.08541995876,5814.81549152953,29000.9510827836,54762.1343715165,132671.627405546,10996.3738599432,21125.529325238,85387.5477351422,144600.563208516,284120.153905984,1559.4990500861,2871.39416401347,14391.5027506705,28132.8497390689,63349.7047475181,1367.14663250768,2936.4947453729,14573.4421485088,26557.2227664114,69103.5800323019,0.330104437584534,0.647134406729074,2.88534527386609,5.10048079385375,10.4670368164297
13377.8582170641,27778.0697227627,132313.169273352,233489.770817158,472189.565467041,4169.5483113035,8608.49785651167,39462.1696905098,70741.5218977041,168077.673690759,9208.30990576057,19169.5718662511,92850.9995828427,162748.248919454,304111.891776282,1519.26392757385,2780.06580225387,13875.0103807431,26285.6851253132,52907.2983100126,2646.83814866497,5821.46874206933,25550.5069971356,44382.6249751405,114936.716493076,0.34298363853567,0.670355574814847,2.89079128758591,4.93368922352797,9.09861791170113
11339.2364403822,24420.0549774581,120551.87441593,214110.323814523,439611.346816996,3791.25616592234,7850.16486288408,37372.0334928943,67803.0146285861,157754.149151058,7547.98027445985,16569.890114574,83179.8409230358,146307.309185937,281857.197665939,1463.73679913766,2720.2400892059,14448.6907482309,27697.696444172,58092.311117167,2324.05452169565,5122.89432796264,22885.661861467,40029.2281351853,99420.5369732864,0.334874457056457,0.653623159954009,2.84564956453086,4.92148984435049,9.54635014818976
15494.9339355418,28683.0507379918,112553.138044752,192568.479303001,392571.745658956,3354.73278502271,6819.43436640535,33524.9167575512,61998.1790156071,148037.192241332,12140.201150519,21863.6163715865,79028.2212872004,130570.300287394,244534.553417624,1537.36458846166,2866.75041406025,14553.0295091255,27900.8221132257,59272.0468541966,1813.91794057064,3945.70867037246,18934.7432967194,34022.1694726469,88528.747223524,0.334219034107859,0.648939200039566,2.80094816364126,4.84872653183091,9.49520115173848
8902.76352433715,19891.1859356069,113377.750085584,213823.698367038,476514.195719028,2680.0498797591,5392.78096051143,27765.0434566989,52904.9560909417,129206.564420732,6222.71364457805,14498.4049750955,85612.7066288854,160918.742276096,347307.631298296,1508.20768727893,2801.59841403528,14484.1532932241,28535.2748391564,65059.0800429231,1168.39905301021,2584.23515190858,13244.1814714279,24295.4290976067,63925.4725855581,0.354036324131647,0.694569010804995,3.08216112218805,5.44028482416657,11.1850111014826
