"n_TOTAL_costs_6mo","n_TOTAL_costs_1yr","n_TOTAL_costs_5yr","n_TOTAL_costs_10yr","n_TOTAL_costs_life","n_HEALTH_SECTOR_costs_6mo","n_HEALTH_SECTOR_costs_1yr","n_HEALTH_SECTOR_costs_5yr","n_HEALTH_SECTOR_costs_10yr","n_HEALTH_SECTOR_costs_life","n_CRIMINAL_costs_6mo","n_CRIMINAL_costs_1yr","n_CRIMINAL_costs_5yr","n_CRIMINAL_costs_10yr","n_CRIMINAL_costs_life","n_TX_costs_6mo","n_TX_costs_1yr","n_TX_costs_5yr","n_TX_costs_10yr","n_TX_costs_life","n_HRU_costs_6mo","n_HRU_costs_1yr","n_HRU_costs_5yr","n_HRU_costs_10yr","n_HRU_costs_life","n_TOTAL_qalys_6mo","n_TOTAL_qalys_1yr","n_TOTAL_qalys_5yr","n_TOTAL_qalys_10yr","n_TOTAL_qalys_life"
17114.443937696,33084.1438353927,143775.48062256,253036.123055964,522550.692967648,4122.70712257015,7872.33007821435,33627.2630376195,59787.620762818,137663.231927187,12991.7368151259,25211.8137571784,110148.217584941,193248.502293146,384887.461040461,2800.94418415869,4990.27463760373,18254.54696039,31056.1172226162,61455.7207637377,1318.32454115207,2875.12998923027,15336.3738439788,28658.0591534733,75981.1318710655,0.339379380006471,0.666032781123605,2.96763028868547,5.21664171206289,10.4040147801824
11984.9512401929,25009.7327919416,125800.974056549,229603.247634823,491461.866027962,4233.46173549459,8089.54004215775,34708.7303020368,61981.0749806717,144974.046269525,7751.48950469827,16920.1927497838,91092.2437545123,167622.172654152,346487.819758437,2946.03502930979,5330.28232167037,20221.4726889012,34722.6550251493,69247.5413790952,1283.98599062279,2752.33054824402,14451.1957774562,27185.8490555101,75507.0036364123,0.348001799664764,0.683279234429364,3.04963662845767,5.36631039642487,10.6764260762597
10301.8886288301,21556.6716315742,110868.938385954,205907.037602712,453484.138005646,4238.8813264885,8228.45917656094,36589.4927734587,65812.6583442597,153619.001916814,6063.00730234163,13328.2124550133,74279.445612495,140094.379258452,299865.136088832,2941.28353220381,5451.56154379805,21763.0351489768,37758.1153653367,76050.7524612774,1294.16002206967,2769.98159579339,14790.4894668948,27982.054352873,77341.9217430867,0.354915187871648,0.700076581629929,3.16151587361289,5.59179461248325,11.2829728276301
7998.19833947826,17169.0922728797,91933.8132958454,172344.606548171,388802.667694296,4222.91704763714,8123.78042837363,35620.6920766026,64207.2401980162,150882.254495001,3775.28129184112,9045.3118445061,56313.1212192427,108137.366350155,237920.413199295,2962.5756342702,5489.78549507206,22129.8277809628,38818.6607466439,80396.3894782345,1256.91242383026,2627.1204259836,13455.9576587686,25319.2495268253,70278.5161955443,0.35048439498546,0.688347939380828,3.09091689229843,5.48535534459683,11.2765182298033
11182.5843781652,23183.1995021061,116748.66236668,216014.714665646,480804.968166127,4032.30595397706,7785.60549311087,34439.3754976069,62440.6071965086,147824.129962722,7150.27842418819,15397.5940089952,82309.2868690736,153574.107469137,332980.838203406,3049.4344434756,5635.37399148982,22934.4528391718,40703.3224867108,86079.5459901917,979.428319778336,2143.28948522271,11468.3359214122,21663.020287506,61519.354456313,0.325214394605435,0.638028218848541,2.83368178304431,4.993508466914,10.3746737113174
13286.3423666571,26543.0290697772,122372.864564501,219477.92735848,466216.754549874,4017.42581093645,7689.17042532071,33211.1153990237,59449.5484512581,138664.743606139,9268.91655572065,18853.8586444565,89161.7491654777,160028.378907222,327552.010943734,2863.32574016683,5186.56645553537,19869.421285552,34243.3427085982,68309.8808784691,1150.65706898023,2495.66834864712,13305.5968774638,25133.6875998522,70135.9149456018,0.353823930569454,0.697378522688829,3.14367108460755,5.55869194876088,11.1499893537635
8749.66826599632,18868.7329439122,100929.683635687,187513.127395943,408366.08088182,4282.95223930837,8155.77893521348,34552.5987726273,61396.5823535245,142641.546311819,4466.71602668796,10712.9540086987,66377.0848630601,126116.545042419,265724.53457,3032.31490887481,5492.96755659047,20392.0119735776,34476.1845143399,67289.7196461244,1247.20376477864,2655.91557010115,14125.149738265,26849.527361555,75136.9891438831,0.324756790406343,0.642385681644687,2.910004353124,5.13769866733474,10.2431344205494
15130.7047797321,30678.6542860607,145063.792077635,260818.193723406,551317.236960655,3895.44557293657,7459.53243722619,32061.53846376,57407.7100388782,134879.544187013,11235.2592067955,23219.1218488345,113002.253613875,203410.483684527,416437.692773641,2818.41605930488,5054.40538829777,18836.7143671,32284.3296530849,64452.8373489846,1073.57917463877,2398.15479737866,13187.7495276207,25048.017537643,70199.9790522118,0.34577232917676,0.683294739083565,3.08959631445596,5.46104427586245,10.9742526282826
15631.2487506616,30616.119102901,136986.157987008,243896.425321079,514374.833456811,4132.72770873547,8020.93193156618,35421.4560566503,63576.7185094093,148560.115574469,11498.5210419261,22595.1871713348,101564.701930358,180319.70681167,365814.717882343,2861.31043313404,5284.92812829438,21044.3772606204,36480.1292581882,72841.2941960162,1267.97385522437,2729.06262619948,14340.5837077257,27022.5879881766,75494.9029463505,0.370231158966249,0.727788025750707,3.26042972663197,5.75340233376324,11.4862001056273
13343.7121564476,28310.7273969287,144426.633747002,260471.070296316,534510.547337787,4102.92829019042,7866.64499706551,33409.5584772034,59018.2998489699,138920.696594229,9240.78386625715,20444.0823998632,111017.075269799,201452.770447346,395589.850743559,2683.43932400381,4778.72806287044,16871.0238945379,28008.1513289197,53538.5780189485,1416.04893751205,3080.98614164002,16502.1172718409,30936.6038928851,85149.172173689,0.339676355133163,0.668441345644388,2.97194419693567,5.17069477974772,9.97798979221683
16671.9592935242,33138.6762989848,151219.524085443,268271.585727257,553106.094845306,4244.85106520297,8164.760500157,35047.8420766578,62240.1121022073,142535.906564022,12427.1082283212,24973.9157988278,116171.682008785,206031.473625049,410570.188281284,2809.03252331757,4987.21330608127,17843.3039191174,30068.6764926633,59582.4946184733,1432.37519630143,3170.60830207702,17168.2616160208,32098.47199746,82727.1891151989,0.330674963580778,0.652192999415664,2.92673930855497,5.14344811804827,10.3006046709365
13731.3448641405,27896.2439611979,132277.869512218,236565.012356058,494723.002228369,4107.7590274153,8010.71927938593,35405.036895252,63168.7524149098,145813.535195738,9623.5858367252,19885.524681812,96872.8326169663,173396.259941148,348909.467032631,2907.82067903973,5287.03845949507,19739.0106736626,33338.3805316901,65156.9465212932,1196.50171662698,2716.76916644988,15630.172810772,29758.3798016248,80428.7871385391,0.336528444741809,0.658099066248676,2.90004547929349,5.06628789853012,10.1127645785997
10917.4641053033,24429.8031721832,133167.788170597,245732.147228297,528638.307062756,4105.8894815294,7888.38119677964,34230.4017887272,61312.2111908075,144501.292386214,6811.57462377394,16541.4219754035,98937.3863818694,184419.936037489,384137.014676541,2638.63392487885,4722.76662253076,17990.4246779268,31171.665073317,63109.8182855107,1463.81177484862,3158.66662321952,16203.3452424011,30066.5466269972,81162.8638704519,0.318959620266675,0.627989855426036,2.79868167907032,4.90877027499892,9.92096417093251
8953.89911631157,18922.3498570995,98631.356693225,182901.020207895,402226.574595926,4068.89878255834,7789.82025817718,33491.2843699125,59857.4989139328,138064.725785103,4885.00033375323,11132.5295989223,65140.0723233125,123043.521293963,264161.848810823,2871.78945252753,5253.82901726701,20163.9871770129,34686.5947068417,70574.6312689892,1193.67530114953,2529.093999908,13291.8391803377,25099.9581388778,67274.190129786,0.339368949200085,0.664681531536093,2.95643460369138,5.21612072557289,10.6632006530491
