"n_icer_TOTAL_6mo","n_icer_TOTAL_1yr","n_icer_TOTAL_5yr","n_icer_TOTAL_10yr","n_icer_TOTAL_life","n_icer_HEALTH_SECTOR_6mo","n_icer_HEALTH_SECTOR_1yr","n_icer_HEALTH_SECTOR_5yr","n_icer_HEALTH_SECTOR_10yr","n_icer_HEALTH_SECTOR_life"
405945.369149457,889563.679753262,-7826214.23995524,-1001335.03294939,-1001335.03294939,-92390.9151406996,-115328.867737044,672139.399358797,95273.526315531,95273.526315531
3571191.34495518,-8791106.67352049,-826458.746144725,-408425.022024118,-408425.022024118,-432158.72894788,676054.611224393,44314.5720131844,25522.274011967,25522.274011967
2942602.45166481,8318093.42983041,-1532689.40588167,-647124.419069688,-647124.419069688,-413990.925258822,-756736.290518359,89687.6086531287,41567.7993297277,41567.7993297277
-2130.94625493523,-298069.944443502,-326197.672971941,-199196.110137563,-199196.110137563,242996.967163877,215617.795875678,100188.728393704,64723.9353403007,64723.9353403007
5130825.00432472,-7834467.19199826,-470432.502421788,-202476.987436952,-202476.987436952,-950735.592870911,1223924.68018373,70998.7678232205,38719.4592848895,38719.4592848895
-2048914.59539071,-1559046.12657607,-530032.550147647,-271694.093880805,-271694.093880805,784150.830637077,401334.603074647,92617.610795293,53956.976539107,53956.976539107
882995.848751701,3478776.87501494,-718128.595486138,-360684.701193651,-360684.701193651,-249314.216951339,-691988.460659369,93987.1514263278,49088.4850379538,49088.4850379538
-425097.251111849,-487291.086306442,-341532.408853633,-210940.604468012,-210940.604468012,110230.680357777,93131.1230348249,48204.1657764393,33188.7237303741,33188.7237303741
-575930025.640974,-5313495.19583922,-1054700.53335404,-579997.612226205,-579997.612226205,127666479.945546,950872.288712,134988.937710889,74151.5428855693,74151.5428855693
-349611.564785891,-587422.243070491,-536749.830090411,-361341.811969413,-361341.811969413,189851.190432571,179287.268045167,94026.0060462094,62306.6870516402,62306.6870516402
-211035.510818771,-566347.272233165,-220439.064489939,-99566.2225506477,-99566.2225506477,1253628.62044528,289325.006159572,37056.3617428607,21748.7497482739,21748.7497482739
27602.8420406596,46449.256425618,132657.286361315,170364.060177071,170364.060177071,-98767.6648535143,-101456.646827406,-111376.981644251,-122494.729840964,-122494.729840964
-1481290.76495225,-1393583.91587937,-557728.959005063,-306170.790191477,-306170.790191477,385957.583002411,314830.563073834,104467.620121349,61969.4537455078,61969.4537455078
-23521.2935470568,88157.7604836909,949711.134897086,-1129096.37146408,-1129096.37146408,-89607.8212518826,-101816.787659836,-310028.966961261,364598.79113844,364598.79113844
3239871.7598589,11949804.8044661,-1781470.40688495,-874582.77729183,-874582.77729183,-874153.535351023,-2013445.05338076,181101.512307839,89696.4479379214,89696.4479379214
-3134299.62549578,-3950499.38172619,-1560722.97823625,-828790.160966159,-828790.160966159,558898.570524188,465607.998412213,120490.868454292,66888.5855162671,66888.5855162671
-13266.3200842212,-111339.005219914,-109356.996625549,-52621.9101677285,-52621.9101677285,79133.731428421,72262.2900368274,37814.3134014129,26859.3072999936,26859.3072999936
41607.0757469437,265924.008122085,-5581585.33282795,-407041.602052702,-407041.602052702,-127156.983970618,-140249.401107937,1348295.62306993,108184.151344021,108184.151344021
-908698.149701449,-1187418.97107565,-700608.584859288,-412420.368772349,-412420.368772349,142697.361577944,141609.114169695,63027.6565747913,38601.3684504163,38601.3684504163
620151.381589841,751331.694020889,2337585.94154409,-2213039.26750175,-2213039.26750175,-106958.758573338,-110039.359373328,-290513.990854922,293882.7371654,293882.7371654
