"variable","mean","sd","q50","q025","q975","min","max"
"n_inc_costs_CRIMINAL_10yr",23469.2322175534,12910.4204205279,21942.5391823488,1597.5550504378,53330.3514111654,-8729.04241486435,76008.0248130342
"n_inc_costs_CRIMINAL_6mo",3929.39830653152,3117.6966762502,3926.35298599807,-2265.83027529353,10400.1836527091,-4902.51573721811,16556.2377623589
"n_inc_costs_CRIMINAL_life",18603.2444491565,12046.7653060956,17405.2763084499,-2515.26816774009,46235.9296324039,-11199.1868856616,70124.5901104885
"n_inc_costs_HEALTH_SECTOR_10yr",-3217.66949953829,712.459819115269,-3217.45508586117,-4691.97739538126,-1842.3412337012,-5764.08187269788,1289.39198074948
"n_inc_costs_HEALTH_SECTOR_6mo",-1031.26370372816,206.765466842417,-1035.80557132721,-1420.80422674985,-602.374326132358,-1672.82519428679,111.45669465748
"n_inc_costs_HEALTH_SECTOR_life",-3434.95063819357,692.236256152807,-3399.12490228482,-4893.96362081919,-2127.22135717288,-6184.18878216992,-85.511274346587
"n_inc_costs_HRU_10yr",1283.19460658026,770.111287877042,1192.3950133564,-26.4742387923891,3005.5735140747,-597.420873723291,6641.06915618286
"n_inc_costs_HRU_6mo",231.514576248082,203.553527610719,220.010244198514,-144.841962113195,677.970790315355,-344.838245684395,1283.49091597422
"n_inc_costs_HRU_life",1631.71636901153,877.807873550665,1520.89936935307,157.084736663728,3575.79464079394,-492.760019872643,6787.27704170253
"n_inc_costs_TOTAL_10yr",20251.5627180151,12825.4482107723,18910.0267824743,-1755.34249321243,49994.6932593502,-12068.0512175201,72283.369850728
"n_inc_costs_TOTAL_6mo",2898.13460280336,3143.30704117543,2873.59882347528,-3360.24264965881,9534.80902813284,-6133.23066743631,15501.5171350194
"n_inc_costs_TOTAL_life",15168.2938109629,11922.1884662611,14118.3328747629,-6019.22048084129,42661.2259207435,-15030.5294135954,66169.6112287079
"n_inc_costs_TX_10yr",-4501.64931022146,691.95725041074,-4462.47163079004,-5952.30443237988,-3244.83883128735,-7101.22601057801,-2382.53025109316
"n_inc_costs_TX_6mo",-1262.78575635877,119.323365680995,-1258.30432439796,-1492.85357091467,-1039.45633903529,-1726.34071657783,-908.024998066465
"n_inc_costs_TX_life",-5068.17470671535,927.033541999935,-5001.87762005379,-7059.04473325716,-3485.01285519479,-9305.04321501825,-2484.91381669405
"n_inc_qalys_TOTAL_10yr",-0.0575360796217377,0.0371644024589697,-0.0548022403627244,-0.143085850174553,0.00810385445602097,-0.201133816646104,0.0601898585168392
"n_inc_qalys_TOTAL_6mo",0.00197700809131535,0.00654248233885685,0.00196262612187015,-0.0109995572247178,0.0137803913389813,-0.0168338737541429,0.0276319586255538
"n_inc_qalys_TOTAL_life",-0.125716173236599,0.0653415886989247,-0.118497878580891,-0.274398478382225,-0.0153151769811263,-0.387117680230446,0.0649590976327552
