"variable","mean","sd","q50","q025","q975","min","max"
"n_CRIMINAL_costs_10yr",436230.313471374,87305.8400279023,428757.993886048,286504.889296216,625758.861691669,186512.587426962,751478.223810654
"n_CRIMINAL_costs_6mo",21386.724737534,4037.90411842874,21015.1839879598,14614.1749804386,30388.7695006229,9790.63520335461,40487.471646636
"n_CRIMINAL_costs_life",867808.807621078,176906.128281058,855290.365078633,563846.333135833,1234753.22935877,383531.386051588,1577343.91113017
"n_HEALTH_SECTOR_costs_10yr",61106.8175920704,4985.84737386031,60948.5863763896,52722.7610915668,72024.0186055738,47674.2667167275,91436.1676044151
"n_HEALTH_SECTOR_costs_6mo",3184.85450564953,309.745786624416,3131.13403886949,2713.35622515759,3918.51919059979,2489.97493066239,5066.07436972771
"n_HEALTH_SECTOR_costs_life",145587.219734725,10260.1485098532,145596.319985311,126929.110312487,166674.894393714,117089.866285766,201977.670994617
"n_HRU_costs_10yr",29021.0072794968,5204.70238519471,28060.7958566757,21774.2694643549,41893.4567576488,18990.5430441405,63066.2709614784
"n_HRU_costs_6mo",1558.25024101271,320.2908600602,1499.79171530198,1084.595302715,2332.46269819458,891.177746799671,3366.97247659751
"n_HRU_costs_life",79023.0065836196,12401.7390360437,76800.1518135967,60325.6692956916,108597.356859273,52626.4626750549,150621.004037353
"n_TOTAL_costs_10yr",497337.131063445,86746.9438008301,489450.184333381,347177.485100187,687861.204268048,246752.581022465,811785.073544838
"n_TOTAL_costs_6mo",24571.5792431835,4071.13452053745,24187.3800358053,17738.7315380234,33507.758189133,12802.624645164,43388.5959323858
"n_TOTAL_costs_life",1013396.0273558,174963.852761666,999680.058884281,712056.685866838,1382047.17100159,526605.593562659,1722088.455493
"n_TOTAL_qalys_10yr",5.20414881213536,0.2477090326788,5.21522494784478,4.69832760830328,5.65571912278175,4.35656794971471,5.9228252403717
"n_TOTAL_qalys_6mo",0.342546074716901,0.0124796910249498,0.34312117300274,0.31686189341897,0.365156365386241,0.302165813774237,0.372077241864991
"n_TOTAL_qalys_life",10.2976065550274,0.729269959253051,10.3636113709298,8.72889236373492,11.5545640132058,7.54316971056024,12.3473866780527
"n_TX_costs_10yr",32011.7169512529,3237.90987165987,31974.6926271275,26176.5085003354,38390.1282645549,20591.1972898845,42733.8948082402
"n_TX_costs_6mo",1623.15212974538,62.2970917550408,1625.04168532153,1495.2024741906,1739.39818009552,1419.57251538792,1810.79506355196
"n_TX_costs_life",66335.0405239031,8425.3250388673,66086.5645464421,50695.6593829066,83176.027189478,41166.8996156633,94796.7933484293
