"n_TOTAL_costs_1yr","n_TOTAL_costs_5yr","n_TOTAL_costs_10yr","n_HEALTH_SECTOR_costs_1yr","n_HEALTH_SECTOR_costs_5yr","n_HEALTH_SECTOR_costs_10yr","n_CRIMINAL_costs_1yr","n_CRIMINAL_costs_5yr","n_CRIMINAL_costs_10yr","n_TX_costs_1yr","n_TX_costs_5yr","n_TX_costs_10yr","n_TOTAL_qalys_1yr","n_TOTAL_qalys_5yr","n_TOTAL_qalys_10yr"
48029.1774075895,257129.549454091,455483.602246876,4689.40642311064,19141.7741333045,34180.5567606992,43339.7709844788,237987.775320787,421303.045486176,4323.60636024632,15811.1928919559,25641.1104123901,0.630118843598493,2.6857875820688,4.45010249582172
45148.3504339714,220235.450307368,378464.833067395,5537.95086219487,23306.5297783402,39888.096221298,39610.3995717765,196928.920529028,338576.736846098,4703.75113717362,18392.8430309991,30047.2057051902,0.639332864538183,2.73430338066291,4.51778439200214
66824.8317162055,337218.268022164,584184.473479937,5749.84021478127,23986.117916269,41876.0774910121,61074.9915014242,313232.150105895,542308.395988925,4475.9970480782,17348.4502240322,28423.559231369,0.654736006501072,2.78652414804811,4.60385448998706
35499.0069165161,178432.021647684,314438.545114794,5634.47205640951,24614.4517819477,43351.7012252678,29864.5348601066,153817.569865737,271086.843889526,4668.01350730099,18796.4263016576,31487.2508659118,0.694533276405421,3.04893806640698,5.18084699370156
90124.67574117,494495.736077309,881432.392524545,5134.37861301569,20146.051070589,34162.0584583012,84990.2971281543,474349.68500672,847270.334066244,4648.57972905184,16652.1877175141,26882.3474666098,0.679016860662291,2.9650582594611,4.99932677256554
42123.9762688056,201706.556472952,349181.719212507,4935.76804240026,19612.7205538139,33128.9538102632,37188.2082264054,182093.835919138,316052.765402243,4171.92616251227,14854.0527167163,23978.3291166873,0.691762478351992,2.98880736886322,5.02184444479888
59471.7675483884,311531.404939373,548552.12182798,4981.74901510108,20055.0036160337,34126.7184715493,54490.0185332874,291476.40132334,514425.403356431,4764.54743818062,18610.9199775373,30778.6012441325,0.65792518878546,2.85821281572998,4.81502399581566
44558.5442645177,229646.186111009,401175.875828352,5243.2508588272,21877.4106086713,38505.502807411,39315.2934056905,207768.775502338,362670.373020941,4442.22209542605,16771.4101368702,27326.4261339245,0.718101974256097,3.07199679778375,5.1061654950066
62732.7553782742,323511.386170866,569625.474970167,5553.52913632088,22722.3381543833,38808.9190066441,57179.2262419533,300789.048016482,530816.555963523,4384.51436007272,16866.153128972,27934.693538309,0.661475644374055,2.8679354024847,4.83482234796602
43884.547268939,208646.375241903,353177.616508152,5718.25221373076,24057.8063498329,40226.9959093947,38166.2950552082,184588.56889207,312950.620598757,4762.13683599334,17967.1573417118,28968.7839067577,0.659623100640662,2.77802704753812,4.54194649923445
59294.7146313338,293028.835888098,510939.687433806,11382.9664196999,55927.6950491174,97891.6291135075,47911.748211634,237101.14083898,413048.058320299,4613.85989015456,17031.3477666447,27796.4435052751,0.65495626380545,2.84322152975091,4.7673224192354
55060.7126863271,273528.662612688,463354.627576316,5289.6528578916,21814.3541308753,36549.0387411279,49771.0598284355,251714.308481813,426805.588835188,4556.6399538934,17367.1151722012,27712.2451100476,0.644650556695933,2.67497107546561,4.31241217267947
44019.1366342663,208212.183296963,359098.480879718,5567.27981083419,22543.3461334937,38386.0679499906,38451.8568234321,185668.83716347,320712.412929728,4534.7548321596,18831.3070773947,31762.848289281,0.640323942587713,2.73808270418655,4.55816845371703
70048.0143691866,362895.887030168,640582.915037547,4986.64440513931,21667.0923593205,37724.7690352189,65061.3699640473,341228.794670848,602858.146002328,4514.74002700906,18550.2682388891,31319.9860342083,0.693697674889011,3.03185735139341,5.14709732243792
53564.6464444243,286239.13465105,501520.725573868,11194.089022179,55553.0000000779,96635.2086154961,42370.5574222453,230686.134650972,404885.516958372,4003.98809634476,13424.4185630382,21288.5044135319,0.652703329028368,2.81378799242983,4.69980388844871
43399.989559152,223665.408951093,394214.290374722,5422.21382032658,22925.9642440927,39367.8183559329,37977.7757388255,200739.444707,354846.47201879,4800.59938177099,18858.4552162178,31313.9051697275,0.69608184425471,3.03782101674658,5.13484290583851
56090.5184127266,281705.826080888,485879.196113996,6092.87068616253,23290.7520871714,39084.0684644736,49997.6477265641,258415.073993716,446795.127649522,4398.87473757979,16302.0792334608,26330.4711603541,0.641501198470658,2.73498402802196,4.52254411914978
49794.4628821455,253927.132489264,441002.315535233,6736.71840174985,31099.9472291636,55973.9506009696,43057.7444803957,222827.1852601,385028.364934263,4490.0480648683,17341.3616311705,28168.0856109979,0.669022927963334,2.85788199620594,4.71760224172801
78025.0983312753,403488.590942806,695655.07016613,4742.10616737834,18834.9581314592,31636.9216165798,73282.9921638969,384653.632811346,664018.14854955,4134.0282063217,14686.7467326143,23501.6953782367,0.694004962889494,2.9761772647318,4.91993883947908
44105.3660504749,225946.349421527,398059.768377867,6358.77204589065,23811.2165511556,39674.5479854128,37746.5940045843,202135.132870371,358385.220392455,4142.0650013446,14939.0834576073,24157.2142020405,0.697254788032356,3.01257693838514,5.06414572675107
44586.6586878332,214231.668974148,367490.561980518,6327.46313096677,28783.5621805885,49668.0430140506,38259.1955568664,185448.10679356,317822.518966468,4441.66572122871,17554.4348429634,28799.6370006721,0.661853343228973,2.84526375231556,4.71979031940385
53979.8169066931,291731.958263576,513440.557430002,5176.76354233707,18223.0469023235,29943.6389903746,48803.053364356,273508.911361253,483496.918439628,4182.10877463946,14695.6476653301,23624.7794904071,0.650903679519551,2.75848275365797,4.54562327563744
57208.1889107783,296262.796896426,518011.213242129,4375.87088202879,16501.4236480655,27778.3950574712,52832.3180287495,279761.373248361,490232.818184658,4252.95058583341,15450.8817369426,25023.1726058696,0.667099572067911,2.8503958319929,4.72453864080769
41226.7508824002,206751.856845644,361058.882056961,5145.53552835754,22159.3028633758,38633.7212637021,36081.2153540426,184592.553982268,322425.160793259,4523.75604158278,18103.3265542197,30153.7024960077,0.588841486447915,2.50707653183326,4.16174291055886
57456.4289626119,290689.363020106,507841.039045365,5408.38558777575,22795.4999820038,39130.0594625017,52048.0433748361,267893.863038102,468710.979582863,4868.85102060144,19275.8158390832,31967.3023834357,0.689009194278393,2.99045528511798,5.0428787405906
52952.8816896748,263734.040959683,455573.01335572,5061.55860211426,23426.1463149478,42063.4693694219,47891.3230875605,240307.894644735,413509.543986298,4346.11087928611,17259.8043017745,28580.9196214072,0.665508353203199,2.82134111868214,4.66045949187864
62892.2593844192,315465.460945955,546187.770610319,8786.30075030997,40226.572891192,69029.7138268353,54105.9586341092,275238.888054763,477158.056783484,4599.04043322589,17732.9023173245,28993.825007601,0.657687924406161,2.7995616430386,4.63034612616865
67592.9556169623,356265.255774978,611693.518789711,4942.97878502909,20333.982375244,34842.0584966102,62649.9768319333,335931.273399734,576851.460293101,4387.89345426816,16281.7800039034,26224.2390018762,0.647527929870067,2.68709099718711,4.34939599869529
51193.4895580974,242406.007783205,395598.345138638,7937.4451439521,29184.0994432657,47847.5558410271,43256.0444141453,213221.908339939,347750.789297611,4283.82877455288,15145.2180510703,23319.6275449373,0.625179795530742,2.52280144681157,3.95444962163611
