"n_TOTAL_costs_1yr","n_TOTAL_costs_5yr","n_TOTAL_costs_10yr","n_HEALTH_SECTOR_costs_1yr","n_HEALTH_SECTOR_costs_5yr","n_HEALTH_SECTOR_costs_10yr","n_CRIMINAL_costs_1yr","n_CRIMINAL_costs_5yr","n_CRIMINAL_costs_10yr","n_TX_costs_1yr","n_TX_costs_5yr","n_TX_costs_10yr","n_TOTAL_qalys_1yr","n_TOTAL_qalys_5yr","n_TOTAL_qalys_10yr"
49341.1350554265,264479.774580974,468614.645589502,6001.36407094771,26491.9992601875,47311.600103326,43339.7709844788,237987.775320787,421303.045486176,4323.60636024632,15811.1928919559,25641.1104123901,0.621701506626606,2.65916485468904,4.40945776214209
47043.404561053,229890.793837262,395385.45769682,7433.00498927653,32961.873308234,56808.720850722,39610.3995717765,196928.920529028,338576.736846098,4703.75113717362,18392.8430309991,30047.2057051902,0.629909239243512,2.70115052433648,4.46574805319382
68872.0642064146,347593.384121692,602219.528914967,7797.07270499037,34361.2340157972,59911.1329260421,61074.9915014242,313232.150105895,542308.395988925,4475.9970480782,17348.4502240322,28423.559231369,0.64565745166035,2.75589705980935,4.55612702462956
36527.8027645721,184211.055730518,324792.884259823,6663.26790446548,30393.4858647809,53706.0403702969,29864.5348601066,153817.569865737,271086.843889526,4668.01350730099,18796.4263016576,31487.2508659118,0.684026123488818,3.0092960587984,5.11578395813525
91066.7300587426,500131.591873895,891671.230860519,6076.43293058827,25781.9068671744,44400.8967942749,84990.2971281543,474349.68500672,847270.334066244,4648.57972905184,16652.1877175141,26882.3474666098,0.669476303881043,2.93282708844053,4.94841817107544
43031.4634799667,207150.009700884,358869.88918736,5843.25525356136,25056.1737817467,42817.1237851162,37188.2082264054,182093.835919138,316052.765402243,4171.92616251227,14854.0527167163,23978.3291166873,0.682490645861588,2.95900320785908,4.97530163449051
60790.5251461317,318895.183791627,561766.117262464,6300.50661284435,27418.7824682873,47340.7139060331,54490.0185332874,291476.40132334,514425.403356431,4764.54743818062,18610.9199775373,30778.6012441325,0.648203439316233,2.82355415291837,4.75950823781417
45661.0079773351,235733.22572098,411854.128504257,6345.71457164461,27964.4502186415,49183.7554833161,39315.2934056905,207768.775502338,362670.373020941,4442.22209542605,16771.4101368702,27326.4261339245,0.708106060345166,3.0384427364965,5.05367046469111
63499.5043604994,328031.936854928,577781.772947896,6320.27811854613,27242.8888384453,46965.2169843731,57179.2262419533,300789.048016482,530816.555963523,4384.51436007272,16866.153128972,27934.693538309,0.652456572912113,2.83730848944735,4.78624881403572
45252.7374722057,216010.981212084,365718.980869378,7086.44241699748,31422.4123200132,52768.3602706209,38166.2950552082,184588.56889207,312950.620598757,4762.13683599334,17967.1573417118,28968.7839067577,0.650703511629141,2.74672109640651,4.49270579069562
60006.3968399497,297336.042953,518662.78509064,12094.6486283157,60234.9021140199,105614.726770342,47911.748211634,237101.14083898,413048.058320299,4613.85989015456,17031.3477666447,27796.4435052751,0.645751062896862,2.81145719889217,4.71695998597144
57644.0912825837,287287.960693464,486602.883635053,7873.0314541482,35573.652211651,59797.2947998645,49771.0598284355,251714.308481813,426805.588835188,4556.6399538934,17367.1151722012,27712.2451100476,0.635450240108811,2.64277620405489,4.26267276930878
45597.7087281846,216473.656104351,373557.463898833,7145.85190475245,30804.8189408808,52845.050969105,38451.8568234321,185668.83716347,320712.412929728,4534.7548321596,18831.3070773947,31762.848289281,0.631229852821935,2.70606142120378,4.50772715428116
71030.2644746015,368184.188491971,650021.515697733,5968.89451055421,26955.3938211238,47163.3696954057,65061.3699640473,341228.794670848,602858.146002328,4514.74002700906,18550.2682388891,31319.9860342083,0.683512472968206,2.99558490083466,5.0889115824945
54494.6740880645,291536.955059788,510852.751911588,12124.1166658192,60850.8204088163,105967.234953216,42370.5574222453,230686.134650972,404885.516958372,4003.98809634476,13424.4185630382,21288.5044135319,0.64478774291827,2.78978313357824,4.66293058904025
44315.5301695777,228703.337945273,403202.874471997,6337.75443075222,27963.8932382726,48356.402453207,37977.7757388255,200739.444707,354846.47201879,4800.59938177099,18858.4552162178,31313.9051697275,0.685563873031329,2.9997555956386,5.07347214043061
57079.1974196007,287234.870942658,495569.975450908,7081.5496930366,28819.7969489418,48774.8478013855,49997.6477265641,258415.073993716,446795.127649522,4398.87473757979,16302.0792334608,26330.4711603541,0.632564780452803,2.70464784067442,4.47502899251342
51149.9818923961,261091.575805551,453398.019175887,8092.23741200038,38264.3905454508,68369.6542416235,43057.7444803957,222827.1852601,385028.364934263,4490.0480648683,17341.3616311705,28168.0856109979,0.659170121720099,2.82258927735378,4.66174712135855
78886.8361638918,408432.379565901,704258.770697009,5603.84399999482,23778.7467545545,40240.6221474585,73282.9921638969,384653.632811346,664018.14854955,4134.0282063217,14686.7467326143,23501.6953782367,0.685147477373987,2.94693238549117,4.87420082209343
44942.9281693406,230829.22246061,406821.783981195,7196.33416475634,28694.089590239,48436.5635887406,37746.5940045843,202135.132870371,358385.220392455,4142.0650013446,14939.0834576073,24157.2142020405,0.688013112048031,2.98314936152221,5.01860846654586
45556.9364233546,219571.901295698,376791.116203807,7297.74086648821,34123.7945021379,58968.5972373392,38259.1955568664,185448.10679356,317822.518966468,4441.66572122871,17554.4348429634,28799.6370006721,0.652589648014622,2.8122012726837,4.66737509383347
55025.0176299413,297669.103509721,523959.965230938,6221.96426558525,24160.192148468,40463.0467913105,48803.053364356,273508.911361253,483496.918439628,4182.10877463946,14695.6476653301,23624.7794904071,0.64266048041825,2.73267981034994,4.50595809403594
58017.2275478025,300823.599597478,526013.424405485,5184.90951905294,21062.2263491169,35780.606220827,52832.3180287495,279761.373248361,490232.818184658,4252.95058583341,15450.8817369426,25023.1726058696,0.658161794659148,2.82131787378233,4.67947104106054
42409.9007354642,212854.908852424,371716.712764315,6328.68538142159,28262.3548701554,49291.551971056,36081.2153540426,184592.553982268,322425.160793259,4523.75604158278,18103.3265542197,30153.7024960077,0.580390541662804,2.47818907414207,4.11655041212601
58783.7141471456,297867.523208277,520576.169157935,6735.67077230944,29973.6601701748,51865.1895750724,52048.0433748361,267893.863038102,468710.979582863,4868.85102060144,19275.8158390832,31967.3023834357,0.678793068373795,2.95414129398023,4.98465791857228
54858.1681703059,272999.60897916,471292.765129003,6966.84508274535,32691.7143344256,57783.2211427047,47891.3230875605,240307.894644735,413509.543986298,4346.11087928611,17259.8043017745,28580.9196214072,0.656171863939979,2.79011678902532,4.61198758463233
63764.1910338521,320261.463435589,554567.457362647,9658.23239974291,45022.575380826,77409.4005791636,54105.9586341092,275238.888054763,477158.056783484,4599.04043322589,17732.9023173245,28993.825007601,0.648242700471006,2.76721841892821,4.57974522072544
69702.9232093648,366062.701566093,627870.504401524,7052.94637743158,30131.4281663589,51019.044108423,62649.9768319333,335931.273399734,576851.460293101,4387.89345426816,16281.7800039034,26224.2390018762,0.638534955311417,2.65797467391659,4.30498541332492
54124.8606638003,256680.91958189,418460.056067524,10868.8162496551,43459.011241951,70709.2667699125,43256.0444141453,213221.908339939,347750.789297611,4283.82877455288,15145.2180510703,23319.6275449373,0.616856959903983,2.4956070767068,3.91353373253733
56525.5121805927,289303.866847273,500619.766045856,6604.58552742652,28048.5269074237,47688.1450150592,49920.9266531662,261255.339939849,452931.621030797,4631.78923187488,17831.0445088839,29014.0473811238,0.676579929081231,2.90348734708966,4.80533213903237
53282.7047880264,249913.304534669,421335.714441396,12678.1161900525,44754.2626382501,71908.7088167795,40604.5885979738,205159.041896419,349427.005624617,4099.28828065739,14967.1133925687,24056.9361313062,0.645208472662202,2.73523360680084,4.48436473083529
