"variable","mean","sd","q50","q025","q975","min","max"
"n_CRIMINAL_costs_10yr",174191.37326524,32995.5091658304,171736.123995401,116337.770509963,245870.847778673,87953.2398742772,345688.474003761
"n_CRIMINAL_costs_6mo",9269.70136529426,3119.29435720181,8654.13095563749,4982.88590972422,16921.3570113605,3035.87059458214,32104.9240414325
"n_CRIMINAL_costs_life",346839.966582414,67919.4701138533,341422.717334819,228826.746076955,495926.278204388,162942.342038896,674262.003792786
"n_HEALTH_SECTOR_costs_10yr",55641.7457518929,4528.18379138081,55209.25561008,48073.0497347021,65848.7615729168,42151.146990751,100970.767987199
"n_HEALTH_SECTOR_costs_6mo",3023.93858814346,293.478401545316,2975.83728274896,2585.26625040413,3726.42786924533,2248.55487458633,5478.69486533011
"n_HEALTH_SECTOR_costs_life",135277.641571647,9278.03623021567,134796.995107531,118804.780049313,154821.721979999,106630.440574104,213525.184648811
"n_HRU_costs_10yr",28631.6934912557,4591.48938506295,27833.4836834528,22001.7411712516,39756.9825368347,18435.9647832842,76507.9338535616
"n_HRU_costs_6mo",1500.20678491826,301.279790056609,1447.72893350117,1060.61720540715,2236.23998545593,822.40285052877,4002.62277453491
"n_HRU_costs_life",76849.7014202031,10556.5029657969,75360.0557510906,60483.9606087889,101861.327769632,51332.9903728073,163966.496710029
"n_TOTAL_costs_10yr",229833.119017133,32976.768273435,227667.11345981,171421.0412035,301297.099451582,142101.74259212,396375.634992815
"n_TOTAL_costs_6mo",12293.6399534377,3131.70443890043,11701.1996439483,7955.82712710336,19896.3639033054,5803.70796253305,34750.9454455008
"n_TOTAL_costs_life",482117.608154061,67335.2718437032,477718.561774775,364060.282796912,628790.871966267,311918.29750752,798237.257637963
"n_TOTAL_qalys_10yr",5.21092490731405,0.238432000775185,5.21600189310784,4.72293794835388,5.65049924453188,4.25348001052889,5.95008670251232
"n_TOTAL_qalys_6mo",0.344088890023805,0.0125354174455855,0.344433085321111,0.318701649607987,0.367186709825483,0.296945599843574,0.382693387867748
"n_TOTAL_qalys_life",10.3072884764249,0.644921303433091,10.3419596149917,8.95349505207833,11.4640002528166,7.23015017200396,12.2017824748619
"n_TX_costs_10yr",26935.4108920887,2675.78129509025,26874.1708300042,21866.8486342899,32333.0545355894,17697.4975977409,37812.1599686025
"n_TX_costs_6mo",1520.28070057075,62.0880111186695,1519.98461104086,1398.02839799472,1641.32973676253,1300.49265531879,1738.01638332267
"n_TX_costs_life",58198.8168313246,6922.42913794015,57979.9377010105,45335.5633232523,72025.0302798312,36700.0199591954,86794.5824699284
