"variable","mean","sd","q50","q025","q975","min","max"
"n_CRIMINAL_costs_10yr",169095.459219863,35874.841273508,165582.650616127,109234.574168948,251022.103620823,78669.5463342065,357559.171739182
"n_CRIMINAL_costs_6mo",8471.93110809436,3596.95528975944,7696.02245950459,3867.27514430188,17572.2189294839,2302.33033761199,32373.0805983861
"n_CRIMINAL_costs_life",343668.855660106,70990.0504584852,337264.430508213,222714.594061259,501906.880604832,166927.656679966,699115.390693985
"n_HEALTH_SECTOR_costs_10yr",63237.5765345781,4925.33004505329,62696.1240070477,55070.7313835222,74659.8368392024,50114.2665885616,92678.5364450197
"n_HEALTH_SECTOR_costs_6mo",4264.40434511696,256.016830667546,4237.42923989541,3843.13699549102,4844.98239363979,3550.99566951626,5779.20362052516
"n_HEALTH_SECTOR_costs_life",146933.548614746,10270.1092002528,146096.075504896,129123.687344969,169736.262002664,117542.658357874,203691.155237102
"n_HRU_costs_10yr",30110.0691626523,5254.36790580892,29194.7927994557,22443.7463251929,42588.9015366672,18004.6086754852,65111.9217601796
"n_HRU_costs_6mo",1387.76900090492,250.279609846893,1349.5695292539,1001.63521928178,1973.88038111007,743.940636998089,3011.99847000747
"n_HRU_costs_life",81768.6901531388,12354.2404344021,80026.0238154928,62419.1254897746,110292.005140346,50681.7520168733,149727.963294478
"n_TOTAL_costs_10yr",232333.035754441,35884.7729593333,229019.924104429,171860.742987123,313538.045027058,140421.190441644,416387.481126214
"n_TOTAL_costs_6mo",12736.3354532113,3604.53533655242,11956.0781023259,8078.05278732884,21799.2390440537,6406.83312409315,36352.7811767111
"n_TOTAL_costs_life",490602.404274852,70210.2198897436,484764.9493811,369234.632372661,646554.446365855,312770.752186897,837041.48602322
"n_TOTAL_qalys_10yr",5.2598480648296,0.238205224810506,5.26710263337472,4.77593632761195,5.69980936519728,4.19914299035954,5.97911710822046
"n_TOTAL_qalys_6mo",0.341322063313793,0.0127300890648844,0.341435124504936,0.31597732530395,0.364877497132439,0.291686727615954,0.38108370324131
"n_TOTAL_qalys_life",10.4073521126426,0.648603255234573,10.44664027849,9.04749321635769,11.5793574528931,7.00619698240206,12.5612297987544
"n_TX_costs_10yr",33053.87182669,3155.62240064294,33066.3094518062,26912.2531682697,39156.148764274,21989.6560705119,44976.7598922047
"n_TX_costs_6mo",2873.19178557787,119.974449737266,2872.441042838,2635.87537209863,3105.43103068323,2440.22091355945,3331.68806016996
"n_TX_costs_life",64937.1086789822,7680.28378157241,64845.2937576128,50445.4777147465,80464.0755502847,38730.2121638183,97164.0132428151
