"n_inc_costs_TOTAL_6mo","n_inc_costs_TOTAL_1yr","n_inc_costs_TOTAL_5yr","n_inc_costs_TOTAL_10yr","n_inc_costs_TOTAL_life","n_inc_costs_HEALTH_SECTOR_6mo","n_inc_costs_HEALTH_SECTOR_1yr","n_inc_costs_HEALTH_SECTOR_5yr","n_inc_costs_HEALTH_SECTOR_10yr","n_inc_costs_HEALTH_SECTOR_life","n_inc_qalys_TOTAL_6mo","n_inc_qalys_TOTAL_1yr","n_inc_qalys_TOTAL_5yr","n_inc_qalys_TOTAL_10yr","n_inc_qalys_TOTAL_life","n_inc_costs_TX_6mo","n_inc_costs_TX_1yr","n_inc_costs_TX_5yr","n_inc_costs_TX_10yr","n_inc_costs_TX_life","n_inc_costs_HRU_6mo","n_inc_costs_HRU_1yr","n_inc_costs_HRU_5yr","n_inc_costs_HRU_10yr","n_inc_costs_HRU_life","n_inc_costs_CRIMINAL_6mo","n_inc_costs_CRIMINAL_1yr","n_inc_costs_CRIMINAL_5yr","n_inc_costs_CRIMINAL_10yr","n_inc_costs_CRIMINAL_life"
3983.46537107341,2172.75362537299,NA,NA,2172.75362537299,-1544.1775291881,-3212.82700981018,NA,NA,-3212.82700981018,-0.0420403795185581,-0.129998413400703,NA,NA,-0.129998413400703,-1610.98987762565,-3116.98748946713,NA,NA,-3116.98748946713,66.8904111115344,-95.3963632297773,NA,NA,-95.3963632297773,5527.64290026151,5385.58063518318,NA,NA,5385.58063518318
-1088.18555338667,-3648.59050236723,NA,NA,-3648.59050236723,-1294.6972815624,-2326.39473157474,NA,NA,-2326.39473157474,-0.0245988815110849,-0.0689097737822885,NA,NA,-0.0689097737822885,-1217.40122077405,-2207.68281694686,NA,NA,-2207.68281694686,-77.3731509124791,-119.190452491909,NA,NA,-119.190452491909,206.511728175727,-1322.1957707925,NA,NA,-1322.1957707925
-1199.51126811531,-7375.05815927683,NA,NA,-7375.05815927683,-1540.65871909236,-2913.00164343796,NA,NA,-2913.00164343796,-0.0505325917828635,-0.135419232327558,NA,NA,-0.135419232327558,-1427.7321802917,-2737.45920151032,NA,NA,-2737.45920151032,-112.958925400862,-175.606655787881,NA,NA,-175.606655787881,341.147450977052,-4462.05651583886,NA,NA,-4462.05651583886
2206.8562639692,549.199017511593,NA,NA,549.199017511593,-1014.67703027373,-2046.42460325525,NA,NA,-2046.42460325525,-0.000906898693461056,-0.0535294457225945,NA,NA,-0.0535294457225945,-1370.33263069221,-2477.7805866352,NA,NA,-2477.7805866352,355.675409992496,431.485101946442,NA,NA,431.485101946442,3221.53329424292,2595.62362076684,NA,NA,2595.62362076684
-7700.38477830437,-20359.4734974181,NA,NA,-20359.4734974181,-1806.68877939157,-3496.7097354004,NA,NA,-3496.7097354004,-0.050431463997118,-0.148157413339185,NA,NA,-0.148157413339185,-1546.31513825602,-2889.26810735271,NA,NA,-2889.26810735271,-260.303146206368,-607.022842561136,NA,NA,-607.022842561136,-5893.6959989128,-16862.7637620177,NA,NA,-16862.7637620177
-2848.85628717192,-8797.15283058598,NA,NA,-8797.15283058598,-673.204588582883,-1553.26379235855,NA,NA,-1553.26379235855,-0.0280314329699429,-0.100170647747471,NA,NA,-0.100170647747471,-1252.15009831756,-2348.79761423511,NA,NA,-2348.79761423511,578.922754654481,795.448558133213,NA,NA,795.448558133213,-2175.65169858904,-7243.88903822743,NA,NA,-7243.88903822743
-845.946834380102,-6760.10972526087,NA,NA,-6760.10972526087,-39.919949858418,-140.690425658845,NA,NA,-140.690425658845,-0.0682513823585331,-0.149412374638148,NA,NA,-0.149412374638148,-1141.45861498419,-1981.39484582984,NA,NA,-1981.39484582984,1101.40396931942,1840.02499769165,NA,NA,1840.02499769165,-806.026884521685,-6619.41929960202,NA,NA,-6619.41929960202
1060.17494498055,-7718.24559934687,NA,NA,-7718.24559934687,-881.905615482245,-2205.58799224576,NA,NA,-2205.58799224576,-0.0461934955643442,-0.172420748424991,NA,NA,-0.172420748424991,-1573.47233382095,-2997.3425557852,NA,NA,-2997.3425557852,691.601887877228,792.108353312698,NA,NA,792.108353312698,1942.08056046279,-5512.65760710111,NA,NA,-5512.65760710111
589.167543288084,-2834.93696655495,NA,NA,-2834.93696655495,-1249.9914165131,-2256.70044934436,NA,NA,-2256.70044934436,-0.0610111858068408,-0.139555721197582,NA,NA,-0.139555721197582,-1287.6903202014,-2261.91823635115,NA,NA,-2261.91823635115,37.665919432455,5.03772484919091,NA,NA,5.03772484919091,1839.15895980119,-578.236517210586,NA,NA,-578.236517210586
10554.5324012067,11679.5223391644,NA,NA,11679.5223391644,-616.424274445506,-1692.36977269563,NA,NA,-1692.36977269563,-0.0469486727431423,-0.149119370765535,NA,NA,-0.149119370765535,-1529.78316139554,-2937.06338847225,NA,NA,-2937.06338847225,913.375437447569,1244.90026467608,NA,NA,1244.90026467608,11170.9566756522,13371.8921118601,NA,NA,13371.8921118601
6395.14165232468,9291.25873329677,NA,NA,9291.25873329677,-1532.42499079886,-3026.17862567535,NA,NA,-3026.17862567535,-0.0359144836976222,-0.116395439098604,NA,NA,-0.116395439098604,-1217.31778416753,-2368.45791824167,NA,NA,-2368.45791824167,-315.040188993529,-657.260648236113,NA,NA,-657.260648236113,7927.56664312354,12317.4373589721,NA,NA,12317.4373589721
2315.40032506184,-759.143103060967,NA,NA,-759.143103060967,-1999.84029097619,-4019.90084844406,NA,NA,-4019.90084844406,-0.0506022001614366,-0.162024991712188,NA,NA,-0.162024991712188,-1722.09181094724,-3276.84623441374,NA,NA,-3276.84623441374,-277.633313267027,-742.323490180781,NA,NA,-742.323490180781,4315.24061603804,3260.75774538309,NA,NA,3260.75774538309
-7820.78130431428,-18860.4303107736,NA,NA,-18860.4303107736,-1490.59477034014,-2979.53314557744,NA,NA,-2979.53314557744,-0.0206456229449808,-0.0903350107856851,NA,NA,-0.0903350107856851,-1258.07540826388,-2474.50121496762,NA,NA,-2474.50121496762,-232.520383874742,-505.033588664442,NA,NA,-505.033588664442,-6330.18653397414,-15880.8971651961,NA,NA,-15880.8971651961
