"n_inc_costs_TOTAL_1yr","n_inc_costs_TOTAL_5yr","n_inc_costs_TOTAL_10yr","n_inc_costs_HEALTH_SECTOR_1yr","n_inc_costs_HEALTH_SECTOR_5yr","n_inc_costs_HEALTH_SECTOR_10yr","n_inc_qalys_TOTAL_1yr","n_inc_qalys_TOTAL_5yr","n_inc_qalys_TOTAL_10yr"
-15438.8399525853,NA,NA,-2695.52266630907,NA,NA,-0.253863188390254,NA,NA
-25665.3932620775,NA,NA,-3381.80502267376,NA,NA,-0.262444528997001,NA,NA
-18669.7848103228,NA,NA,-3096.10931615603,NA,NA,-0.248785040774941,NA,NA
-26036.3065085533,NA,NA,-3712.72194670337,NA,NA,-0.263284917610569,NA,NA
-22637.2668800532,NA,NA,-3084.6845736318,NA,NA,-0.294605146591162,NA,NA
-23688.6315269447,NA,NA,-2826.13164236072,NA,NA,-0.27377462385165,NA,NA
-21791.2850744501,NA,NA,-2606.18472571868,NA,NA,-0.245312914753638,NA,NA
-21473.8294530935,NA,NA,-3386.31340616789,NA,NA,-0.282156523758799,NA,NA
-10787.792183243,NA,NA,-2726.40704737259,NA,NA,-0.281373137152421,NA,NA
-9962.90217864458,NA,NA,-2955.59480877557,NA,NA,-0.278328186709505,NA,NA
-17477.1819436416,NA,NA,-3610.12864426049,NA,NA,-0.213646176444541,NA,NA
-33466.7803424749,NA,NA,-2898.10637096619,NA,NA,-0.294810284544788,NA,NA
-18971.5079848499,NA,NA,-3245.29717433549,NA,NA,-0.247695676333102,NA,NA
-27674.2570672809,NA,NA,-2834.3367580233,NA,NA,-0.271938077700916,NA,NA
-16766.3571005769,NA,NA,-3244.97836644121,NA,NA,-0.286268358140887,NA,NA
-18178.2542046106,NA,NA,-3844.76540201432,NA,NA,-0.257672673911126,NA,NA
-28636.8218082013,NA,NA,-2986.43353182046,NA,NA,-0.324714293258699,NA,NA
-18187.7065662697,NA,NA,-2570.10453637046,NA,NA,-0.234987146437499,NA,NA
-24102.0314331218,NA,NA,-2640.02836439129,NA,NA,-0.26981559285176,NA,NA
-19814.6206839831,NA,NA,-3860.25632727701,NA,NA,-0.225612183746278,NA,NA
-18436.0878715102,NA,NA,-2415.24616180272,NA,NA,-0.247096425872735,NA,NA
-26475.5306966272,NA,NA,-3139.42113028664,NA,NA,-0.281797054030212,NA,NA
-30094.9710281395,NA,NA,-3006.92517561725,NA,NA,-0.265447823926956,NA,NA
-20959.4958381694,NA,NA,-3685.67211674681,NA,NA,-0.295946239891363,NA,NA
-20328.9010957605,NA,NA,-3530.76421004263,NA,NA,-0.307164737453933,NA,NA
-17569.7607205126,NA,NA,-3190.45261319447,NA,NA,-0.201743795210814,NA,NA
-20001.4963355434,NA,NA,-3401.21796965192,NA,NA,-0.296284450549776,NA,NA
-24879.6524067596,NA,NA,-3679.83392342859,NA,NA,-0.252782367271174,NA,NA
-23330.6435703989,NA,NA,-3261.69274333101,NA,NA,-0.299644672261577,NA,NA
-26570.0662128317,NA,NA,-3026.8357630761,NA,NA,-0.275973069258751,NA,NA
-23487.451970325,NA,NA,-2824.13439495867,NA,NA,-0.261090370078591,NA,NA
-26252.2945695359,NA,NA,-3266.31711869591,NA,NA,-0.277747792612076,NA,NA
-25440.95955583,NA,NA,-3292.51803646281,NA,NA,-0.269850416938884,NA,NA
-28102.5121709101,NA,NA,-3058.37959430149,NA,NA,-0.192847881287561,NA,NA
-32369.1958627032,NA,NA,-3522.94339253329,NA,NA,-0.271933297480332,NA,NA
-24681.7531709162,NA,NA,-3846.50417863288,NA,NA,-0.281241787113106,NA,NA
-16417.2215478537,NA,NA,-2776.43741128315,NA,NA,-0.229354341588671,NA,NA
-15919.7569837808,NA,NA,-2733.6934246801,NA,NA,-0.276176659765327,NA,NA
-18112.1778936045,NA,NA,-3573.70245028952,NA,NA,-0.282685582569758,NA,NA
-24104.0111466228,NA,NA,-3543.64608168255,NA,NA,-0.227671797672699,NA,NA
-13099.4771122103,NA,NA,-3229.80758898836,NA,NA,-0.293466013933091,NA,NA
-17013.8123829979,NA,NA,-2947.40207669551,NA,NA,-0.280466098446759,NA,NA
-16979.8938609475,NA,NA,-2957.88198744298,NA,NA,-0.263431243526497,NA,NA
-21130.0758148591,NA,NA,-3132.61124683526,NA,NA,-0.251114754399036,NA,NA
-24079.7753651212,NA,NA,-3410.08861012513,NA,NA,-0.272651864276055,NA,NA
-15216.6664870537,NA,NA,-3365.30665920728,NA,NA,-0.288635517591253,NA,NA
-22442.2772440644,NA,NA,-3957.43951919748,NA,NA,-0.253821165593563,NA,NA
-34042.5919354023,NA,NA,-3398.97512060045,NA,NA,-0.275496361794825,NA,NA
-13643.7743902767,NA,NA,-2864.27700092495,NA,NA,-0.25942903800879,NA,NA
-19252.6076323078,NA,NA,-3784.87918175351,NA,NA,-0.287108866420474,NA,NA
-21270.2813716577,NA,NA,-3071.60539633581,NA,NA,-0.280020357677473,NA,NA
-33900.8308475394,NA,NA,-3046.51974091286,NA,NA,-0.24188658547931,NA,NA
-15925.47402661,NA,NA,-3088.52806599021,NA,NA,-0.235769849937523,NA,NA
-19081.4656318323,NA,NA,-3403.27495758046,NA,NA,-0.288320327971356,NA,NA
-26324.0016781186,NA,NA,-3489.07345033642,NA,NA,-0.221573006302983,NA,NA
-11350.5347438097,NA,NA,-3266.37566946594,NA,NA,-0.210565579840247,NA,NA
-18314.8954586031,NA,NA,-3473.34030181408,NA,NA,-0.283036772079392,NA,NA
-16265.9688517949,NA,NA,-3661.33511278462,NA,NA,-0.265850000980344,NA,NA
-19432.8461544973,NA,NA,-3110.50683964355,NA,NA,-0.269571663300108,NA,NA
-28231.6776667078,NA,NA,-3308.13998915412,NA,NA,-0.282092085527537,NA,NA
-20085.9557387778,NA,NA,-2691.03922061905,NA,NA,-0.248003155296089,NA,NA
-22066.159039438,NA,NA,-2814.18448199434,NA,NA,-0.263841325226368,NA,NA
-18547.5495200751,NA,NA,-3282.79799212131,NA,NA,-0.273381354565429,NA,NA
-23484.9221155738,NA,NA,-2532.43959884654,NA,NA,-0.223128915401071,NA,NA
-21256.7724431317,NA,NA,-2627.4925984143,NA,NA,-0.278144763415581,NA,NA
-22938.5939997176,NA,NA,-3703.02305010204,NA,NA,-0.234317593277313,NA,NA
-15068.1832610432,NA,NA,-3017.81747087582,NA,NA,-0.233445737887487,NA,NA
-17008.4885359897,NA,NA,-3010.7958009297,NA,NA,-0.273486466932033,NA,NA
-22541.5939927908,NA,NA,-3402.26623043449,NA,NA,-0.272112636011486,NA,NA
-19918.3299929934,NA,NA,-3132.3788842968,NA,NA,-0.301865361807554,NA,NA
-27071.773071947,NA,NA,-3785.68394945416,NA,NA,-0.297036939996969,NA,NA
-21037.9923939882,NA,NA,-3161.89418600022,NA,NA,-0.263258986761912,NA,NA
-17370.3221302876,NA,NA,-2985.09518400427,NA,NA,-0.240644109125225,NA,NA
-19757.9217619898,NA,NA,-3508.78433352388,NA,NA,-0.218317665999483,NA,NA
-17644.0241982512,NA,NA,-3547.03201771676,NA,NA,-0.280469873660979,NA,NA
-23444.5036441715,NA,NA,-3103.47512875349,NA,NA,-0.276530963132039,NA,NA
-16661.9006430029,NA,NA,-3456.83580735208,NA,NA,-0.306222670930764,NA,NA
-18302.490008336,NA,NA,-3252.02576059186,NA,NA,-0.252548889856656,NA,NA
-26295.2608496149,NA,NA,-3311.45301286923,NA,NA,-0.28215771488011,NA,NA
-27135.088389881,NA,NA,-2808.95470184593,NA,NA,-0.273363128388468,NA,NA
-19113.3385352,NA,NA,-3769.30479913255,NA,NA,-0.284906113529819,NA,NA
-21476.0774107868,NA,NA,-4242.01333341447,NA,NA,-0.304204276459983,NA,NA
-13861.1815747138,NA,NA,-2123.7726789727,NA,NA,-0.270054296770399,NA,NA
-19497.5375563798,NA,NA,-2849.01717380215,NA,NA,-0.267174670963704,NA,NA
-20993.2724981233,NA,NA,-3355.52296011804,NA,NA,-0.234998951168528,NA,NA
-19248.6094841544,NA,NA,-3825.80592618842,NA,NA,-0.294134750731778,NA,NA
-20934.6585570955,NA,NA,-3456.87046903499,NA,NA,-0.306323632673468,NA,NA
-22228.46865702,NA,NA,-2909.49942623977,NA,NA,-0.293253687928937,NA,NA
-22494.275847211,NA,NA,-3068.85575083917,NA,NA,-0.30735551794813,NA,NA
-14187.7352539501,NA,NA,-3089.68199522614,NA,NA,-0.234787544233149,NA,NA
-17458.5748017939,NA,NA,-2773.99882716165,NA,NA,-0.283664427094542,NA,NA
-22147.5200838821,NA,NA,-3507.19238218553,NA,NA,-0.291967286116728,NA,NA
-29107.9000280003,NA,NA,-2765.2911430317,NA,NA,-0.314037564683597,NA,NA
-13458.6364268971,NA,NA,-3055.87650861967,NA,NA,-0.309097327115878,NA,NA
-31067.8650315782,NA,NA,-2939.62272930689,NA,NA,-0.281343324216068,NA,NA
-14764.7747841919,NA,NA,-3557.08383836984,NA,NA,-0.244188304545188,NA,NA
-18094.74568246,NA,NA,-2974.75536317544,NA,NA,-0.282825843087009,NA,NA
