"n_TOTAL_costs_1yr","n_TOTAL_costs_5yr","n_TOTAL_costs_10yr","n_HEALTH_SECTOR_costs_1yr","n_HEALTH_SECTOR_costs_5yr","n_HEALTH_SECTOR_costs_10yr","n_CRIMINAL_costs_1yr","n_CRIMINAL_costs_5yr","n_CRIMINAL_costs_10yr","n_TX_costs_1yr","n_TX_costs_5yr","n_TX_costs_10yr","n_TOTAL_qalys_1yr","n_TOTAL_qalys_5yr","n_TOTAL_qalys_10yr"
39715.126139416,NA,NA,4997.17739712616,NA,NA,34717.9487422899,NA,NA,2782.1764657209,NA,NA,0.658490084029442,NA,NA
72037.3089840369,NA,NA,5843.39105413947,NA,NA,66193.9179298974,NA,NA,2807.47796419872,NA,NA,0.619747995743429,NA,NA
57277.6703738027,NA,NA,5479.13528719854,NA,NA,51798.5350866041,NA,NA,2871.11594905593,NA,NA,0.665396323438375,NA,NA
63179.731322447,NA,NA,6688.30102793314,NA,NA,56491.4302945139,NA,NA,3386.70384391572,NA,NA,0.62827729769962,NA,NA
58501.4605108259,NA,NA,5543.26805589313,NA,NA,52958.1924549328,NA,NA,2768.27909655344,NA,NA,0.668466254987536,NA,NA
64617.245975454,NA,NA,5543.76347196352,NA,NA,59073.4825034905,NA,NA,2618.81489710618,NA,NA,0.698337319717496,NA,NA
58048.4628739857,NA,NA,5232.27284367863,NA,NA,52816.1900303071,NA,NA,2565.71654924801,NA,NA,0.667736765882862,NA,NA
50033.2376685784,NA,NA,5795.9346420239,NA,NA,44237.3030265545,NA,NA,3100.40724021781,NA,NA,0.651836801686534,NA,NA
34660.0689880013,NA,NA,4793.3225757291,NA,NA,29866.7464122722,NA,NA,3032.6867317628,NA,NA,0.657970818559891,NA,NA
29301.2787357225,NA,NA,6031.30056690312,NA,NA,23269.9781688194,NA,NA,2646.03610117543,NA,NA,0.687352443895674,NA,NA
59277.3326083344,NA,NA,8498.06957712542,NA,NA,50779.2630312089,NA,NA,2987.89312547375,NA,NA,0.599048966710277,NA,NA
60732.5932753599,NA,NA,5289.37858952885,NA,NA,55443.214685831,NA,NA,2674.94817185748,NA,NA,0.646007059508981,NA,NA
55013.5303986517,NA,NA,7345.76261503886,NA,NA,47667.7677836128,NA,NA,2710.41438442179,NA,NA,0.657898156511407,NA,NA
68447.1438196373,NA,NA,5395.80829128062,NA,NA,63051.3355283567,NA,NA,2630.16356802637,NA,NA,0.678150481049367,NA,NA
43113.7519641225,NA,NA,6208.82846251288,NA,NA,36904.9235016096,NA,NA,2859.10761011139,NA,NA,0.672018202506636,NA,NA
