"","x"
"Total Costs (1-year)",33319.1385128783
"Total Costs (5-year)",118930.108644769
"Total Costs (10-year)",197173.792995395
"Total Costs (Lifetime)",394333.431254265
"Health Sector Costs (1-year)",1815.58950304507
"Health Sector Costs (5-year)",10172.6048111627
"Health Sector Costs (10-year)",21912.4193733148
"Health Sector Costs (Lifetime)",96619.0289431348
"Criminal Costs (1-year)",31503.5490098332
"Criminal Costs (5-year)",108757.503833606
"Criminal Costs (10-year)",175261.37362208
"Criminal Costs (Lifetime)",297714.40231113
"Treatment Costs (1-year)",6.86640491565576
"Treatment Costs (5-year)",29.1072613981724
"Treatment Costs (10-year)",56.7987349456136
"Treatment Costs (Lifetime)",196.910997609795
