"","x"
"Total Costs (1-year)",15644.8768324255
"Total Costs (5-year)",92775.9948656371
"Total Costs (10-year)",170671.98255582
"Total Costs (Lifetime)",368683.891234322
"Health Sector Costs (1-year)",1592.45937549716
"Health Sector Costs (5-year)",9559.41445656281
"Health Sector Costs (10-year)",21009.5839303307
"Health Sector Costs (Lifetime)",94891.0477239199
"Criminal Costs (1-year)",14052.4174569284
"Criminal Costs (5-year)",83216.5804090743
"Criminal Costs (10-year)",149662.398625489
"Criminal Costs (Lifetime)",273792.843510402
"Treatment Costs (1-year)",7.66034907345486
"Treatment Costs (5-year)",31.6551060343931
"Treatment Costs (10-year)",59.3911440070791
"Treatment Costs (Lifetime)",198.463763605651
