"","x"
"1",24667.6504041961
"2",55656.8534342656
"3",280422.160591275
"4",498460.252122461
"5",1011168.18561305
"6",3185.78105881101
"7",6594.65400964089
"8",33456.1059538166
"9",61697.0611679436
"10",146895.33403374
"11",21481.8693453851
"12",49062.1994246248
"13",246966.054637458
"14",436763.190954518
"15",864272.851579312
"16",1618.29419927752
"17",3248.98229738951
"18",17229.3179245046
"19",31823.1558905672
"20",65216.6517724793
"21",1564.0344896672
"22",3338.69347638084
"23",16189.9715732842
"24",29799.7489969401
"25",81447.6791528941
