"","x"
"1",21815.6949001398
"2",48619.6727788075
"3",261275.861742424
"4",479148.801248604
"5",997143.55499455
"6",4216.76086869681
"7",8181.27382225756
"8",36222.4373231534
"9",64782.5817488203
"10",150177.516903608
"11",17598.934031443
"12",40438.39895655
"13",225053.424419271
"14",414366.219499783
"15",846966.038090942
"16",2880.86856769419
"17",5318.58837972736
"18",21167.2255437223
"19",36209.4079799862
"20",70122.3128902865
"21",1332.44742417018
"22",2855.73981862831
"23",15018.8140297524
"24",28499.7572975948
"25",79825.57986188
