"","x"
"1",12221.5456630775
"2",25758.9876706739
"3",127549.323659357
"4",229073.080657879
"5",479503.475502666
"6",3001.48359790295
"7",5998.77807994875
"8",29690.5079801403
"9",55507.9363551809
"10",135230.963731603
"11",9220.0620651745
"12",19760.2095907251
"13",97858.815679217
"14",173565.144302698
"15",344272.511771063
"16",1519.58267313066
"17",2808.95474197772
"18",14063.650591737
"19",27002.2830445731
"20",57947.6740206694
"21",1478.44956817065
"22",3182.84507220634
"23",15589.8317374558
"24",28430.9107229559
"25",77052.8966274698
