"","x"
"1",12617.6517867619
"2",25977.3086148614
"3",126662.187472448
"4",228667.360011754
"5",480547.523105139
"6",4158.70681016477
"7",7951.48637404209
"8",33903.1518922084
"9",60257.9549849562
"10",140354.174307626
"11",8458.9449765971
"12",18025.8222408193
"13",92759.0355802399
"14",168409.405026798
"15",340193.348797513
"16",2878.78523214574
"17",5202.92525519287
"18",19389.1711418683
"19",32892.0704470703
"20",64074.936037619
"21",1276.47804044987
"22",2741.61904754305
"23",14477.5039912864
"24",27292.169387797
"25",76050.294315216
