"","x"
"Total Costs (1-year)",35467.7405952277
"Total Costs (5-year)",151353.737725529
"Total Costs (10-year)",264692.806739031
"Total Costs (Lifetime)",544837.29211862
"Health Sector Costs (1-year)",2824.37134876003
"Health Sector Costs (5-year)",13192.6625527623
"Health Sector Costs (10-year)",25821.7224996212
"Health Sector Costs (Lifetime)",90870.7987564002
"Criminal Costs (1-year)",32643.3692464677
"Criminal Costs (5-year)",138161.075172767
"Criminal Costs (10-year)",238871.08423941
"Criminal Costs (Lifetime)",453966.493362219
"Treatment Costs (1-year)",1449.8319669382
"Treatment Costs (5-year)",5695.35338184562
"Treatment Costs (10-year)",9771.87538988942
"Treatment Costs (Lifetime)",18563.2605829096
