"","x"
"Total Costs (1-year)",17210.3406411783
"Total Costs (5-year)",80074.2872933421
"Total Costs (10-year)",142488.353620781
"Total Costs (Lifetime)",312247.189828118
"Health Sector Costs (1-year)",4164.42097428131
"Health Sector Costs (5-year)",18429.3187955584
"Health Sector Costs (10-year)",34779.8904267814
"Health Sector Costs (Lifetime)",107914.708474601
"Criminal Costs (1-year)",13045.919666897
"Criminal Costs (5-year)",61644.9684977837
"Criminal Costs (10-year)",107708.463194
"Criminal Costs (Lifetime)",204332.481353517
"Treatment Costs (1-year)",2844.07624213655
"Treatment Costs (5-year)",11115.6362080163
"Treatment Costs (10-year)",19010.6493368548
"Treatment Costs (Lifetime)",35765.6024786261
