"","x"
"Total Costs (1-year)",33869.725200263
"Total Costs (5-year)",141976.190250754
"Total Costs (10-year)",244562.952998189
"Total Costs (Lifetime)",495575.334046428
"Health Sector Costs (1-year)",1939.80016727405
"Health Sector Costs (5-year)",9529.83174879327
"Health Sector Costs (10-year)",18103.7511311659
"Health Sector Costs (Lifetime)",56497.776304473
"Criminal Costs (1-year)",31929.9250329889
"Criminal Costs (5-year)",132446.35850196
"Criminal Costs (10-year)",226459.201867023
"Criminal Costs (Lifetime)",439077.557741955
"Treatment Costs (1-year)",8.80599692428966
"Treatment Costs (5-year)",38.3899053030744
"Treatment Costs (10-year)",69.9025961953558
"Treatment Costs (Lifetime)",176.135999986712
