"","x"
"Total Costs (1-year)",15803.7383330215
"Total Costs (5-year)",96865.8593572115
"Total Costs (10-year)",182519.808438487
"Total Costs (Lifetime)",402752.573334171
"Health Sector Costs (1-year)",1418.87741181425
"Health Sector Costs (5-year)",8050.2305314497
"Health Sector Costs (10-year)",17044.8546257707
"Health Sector Costs (Lifetime)",72580.575307495
"Criminal Costs (1-year)",14384.8609212072
"Criminal Costs (5-year)",88815.6288257619
"Criminal Costs (10-year)",165474.953812716
"Criminal Costs (Lifetime)",330171.998026676
"Treatment Costs (1-year)",7.37779757810036
"Treatment Costs (5-year)",28.6567436098716
"Treatment Costs (10-year)",52.0654315375665
"Treatment Costs (Lifetime)",161.040564134481
